Fecha, Pp, T. Máx, T. Mín, T. Med, VV Máx, VV, DWW, DV, Rag. G, HR, ET, EP 
2012-01-01,0,23.5,6.4,14.25,16.8,4.24,314.00 O,317.90 NO,<null>,64.55,<null>,<null>,
2012-01-02,0,18.6,4.9,12.96,9.2,4.15,69.90 NE,331.80 NO,<null>,73.12,<null>,<null>,
2012-01-03,0,17.6,2.3,9.78,9.9,2.78,328.20 NO,278.90 O,<null>,68.99,<null>,<null>,
2012-01-04,0,20.2,0.1,9.56,7.3,1.77,347.80 NO,313.60 O,<null>,52.85,<null>,<null>,
2012-01-05,0,20.5,0.6,10.87,14.5,3.01,59.30 NE,257.00 SO,<null>,49.93,<null>,<null>,
2012-01-06,0,18.2,4,11.07,7.1,1.38,52.00 NE,85.40 NE,<null>,49.73,<null>,<null>,
2012-01-07,0,22.1,-1.2,10.8,18.1,3.06,78.90 NE,102.00 E,<null>,46.51,<null>,<null>,
2012-01-08,0,23.6,4.4,12.89,29.2,5.16,101.60 E,119.00 E,<null>,44.59,<null>,<null>,
2012-01-09,0,21.1,5.5,12.26,27.9,5.99,105.80 E,109.30 E,<null>,39.89,<null>,<null>,
2012-01-1,0,23.5,5.7,13.2,27.2,4.45,93.60 E,118.20 E,<null>,37.99,<null>,<null>,
2012-01-11,0,23.7,-1.3,10.91,14.1,2.17,145.20 SE,266.40 SO,<null>,33.92,<null>,<null>,
2012-01-12,0,23.7,-2.3,11.04,18.1,3.64,142.90 SE,168.70 SE,<null>,32.84,<null>,<null>,
2012-01-13,0,22.7,3.4,13.84,17.5,2.9,108.60 E,199.00 S,<null>,31.55,<null>,<null>,
2012-01-14,0,18.7,6.8,12.28,12.7,1.54,324.00 NO,305.50 O,<null>,49.03,<null>,<null>,
2012-01-15,0,22.8,4.4,13.48,9.4,1.63,101.60 E,352.20 NO,<null>,61.08,<null>,<null>,
2012-01-16,0,24.9,4.6,14.23,12,1.5,146.60 SE,342.80 NO,<null>,60.12,<null>,<null>,
2012-01-17,0,24.8,3.7,13.98,9.9,1.28,86.10 NE,339.80 NO,<null>,46.47,<null>,<null>,
2012-01-18,0,24.3,4.2,13.4,11.5,1.66,99.00 E,248.20 SO,<null>,44.48,<null>,<null>,
2012-01-19,0,24.8,6,15.12,18.9,2.74,91.60 E,162.70 SE,<null>,48.75,<null>,<null>,
2012-01-2,0,26.4,3.6,14.54,10.8,1.94,75.70 NE,158.80 SE,<null>,36.29,<null>,<null>,
2012-01-21,0,26.5,2.4,14.21,19.6,2.58,76.00 NE,68.80 NE,<null>,34.07,<null>,<null>,
2012-01-22,0,24.8,4,14.34,11.1,1.75,49.50 NE,121.30 E,<null>,39.78,<null>,<null>,
2012-01-23,0,25.4,2.9,15.02,26.1,3.42,86.30 NE,71.20 NE,<null>,37.42,<null>,<null>,
2012-01-24,0,25,3.2,13.87,27.4,7.83,153.40 SE,135.30 SE,<null>,48.11,<null>,<null>,
2012-01-25,0,22.5,11.1,16.8,18.1,17.95,169.10 SE,133.80 E,<null>,43.7,<null>,<null>,
2012-01-26,0,18.8,5.9,13.59,13.9,5.31,332.20 NO,297.80 O,<null>,25.51,<null>,<null>,
2012-01-27,0,22.5,-2,10.84,24.3,3.52,86.90 NE,277.40 O,<null>,32.26,<null>,<null>,
2012-01-28,0,21.9,0.3,11.82,22.4,3.83,105.50 E,86.00 NE,<null>,42.39,<null>,<null>,
2012-01-29,16,19.4,3.8,11.34,21.2,4.49,358.90 NO,357.10 NO,<null>,74.83,<null>,<null>,
2012-01-3,2.6,12.2,8.7,10.39,13.8,2.22,75.70 NE,125.10 E,<null>,94.87,<null>,<null>,
2012-01-31,0.3,18.4,5.8,12.09,15.5,2.39,111.90 E,101.10 E,<null>,74.31,<null>,<null>,
Totales,18.9,22.035483870967745,3.6096774193548393,12.734516129032256,16.629032258064516,3.621935483870968,144.45 SE,204.91 S,0,49.03,0,0,
