Fecha, Pp, T_Max, T_Min, T_Med, VV_Max, VV, DWW, DV, Rag_G, HR, ET, EP 
2014-01-01,2,14.3,8.4,10.32,6,0.86,177.00 SE,52.90 NE,151.09,95.5,0.7,1.97,
2014-01-02,0.4,20.7,7.2,12.07,12.8,2.51,77.90 NE,30.50 N,374.62,80.04,2.3,4.15,
2014-01-03,0,17.5,2.9,9.52,7.2,1.68,199.60 S,39.00 N,360.84,77.7,2.1,4.14,
2014-01-04,0,19.8,0.2,9.47,16.6,3.23,253.70 SO,312.10 O,352.41,73.51,2.6,4.17,
2014-01-05,0,20.5,1.4,10.75,10.2,2.46,248.10 SO,272.00 O,350.61,70.16,2.4,4.19,
2014-01-06,0,17.8,4.1,10.43,3.9,0.82,3.60 N,2.00 N,208.91,78.89,1.1,2.81,
2014-01-07,0.2,17.8,3.8,8.77,4.1,1.09,232.20 SO,334.60 NO,305.98,77.5,1.8,3.65,
2014-01-08,0,20.1,-0.3,9.19,18.5,3.31,266.20 SO,8.90 N,403.28,72.2,2.8,4.65,
2014-01-09,0,20.4,-1.2,9.1,15.3,3.56,205.00 S,54.90 NE,394.45,66.21,2.8,4.8,
2014-01-1,0,20.9,-2,9.52,24.3,5.94,265.10 SO,294.20 O,400.51,62.61,3.2,5.23,
2014-01-11,2.2,14,0.3,6.78,9.2,0.68,274.80 O,14.00 N,119.62,85.88,0.3,1.93,
2014-01-12,2,16.8,2.7,9.38,14,3.1,194.60 S,285.90 O,255.47,85.43,1.5,3.33,
2014-01-13,0,21.3,-1.2,9.5,7.3,1.48,23.60 N,12.00 N,423.12,64.74,2.9,4.9,
2014-01-14,0,21.5,-1,9.83,5,1.51,293.70 O,13.20 N,416.87,63.33,2.7,4.88,
2014-01-15,0,18.5,-0.3,8.11,13,3.7,79.50 NE,43.20 N,420.53,58.39,3,5.29,
2014-01-16,0,20.7,-4.2,7.62,6.6,1.54,94.70 E,26.30 N,405.9,61.56,2.7,4.81,
2014-01-17,0,21.6,-2.4,8.8,6.6,1.78,7.80 N,12.00 N,427.95,52.57,3,5.24,
2014-01-18,0,21.6,-3.3,8.25,7,1.73,166.90 SE,29.60 N,417.01,59.34,2.9,5.02,
2014-01-19,0,22.3,-1.4,9.13,6.7,1.52,214.00 S,35.40 N,364.31,58.31,2.5,4.62,
2014-01-2,0,23.2,-2,10.23,7.5,1.85,198.70 S,26.10 N,407.59,59.67,3,4.9,
2014-01-21,0,23.4,3.3,12.18,13.6,3.68,78.90 NE,33.40 N,415.86,48.26,3.3,5.49,
2014-01-22,0,23.3,-1,10.56,8.5,1.86,168.40 SE,33.20 N,411.82,58.93,3,4.82,
2014-01-23,0,24.7,1.1,11.73,10.2,2.19,264.50 SO,1.00 N,393.22,60.18,3,4.68,
2014-01-24,0,23.8,2,12.4,4.5,1.42,353.20 NO,323.30 NO,414.8,67.75,2.8,4.52,
2014-01-25,0,25.7,5.6,13.35,6.6,1.34,206.00 S,6.60 N,348.49,69.52,2.5,4.03,
2014-01-26,0,25.8,2.1,12.95,15.1,3.18,271.50 O,302.70 O,382.1,56.38,3.2,4.76,
2014-01-27,0,24.6,0.2,12.47,14.5,3.23,228.00 SO,282.90 O,410.78,50.77,3.3,5.07,
2014-01-28,0,23.2,0.8,12.56,19.4,5.24,246.20 SO,262.80 SO,401.45,51.76,3.7,5.24,
2014-01-29,0,21,0,11.06,4.7,1.48,105.30 E,10.90 N,432.67,59.77,3.2,4.77,
2014-01-3,0,22.9,-1.1,10.62,6.5,1.49,231.60 SO,46.80 NE,437.88,61.91,3.1,4.79,
2014-01-31,0,24.7,-1.4,11.64,12.5,3.1,166.30 SE,320.90 NO,448.25,54.08,3.5,5.32,
Totales,6.800000000000001,21.109677419354835,0.7516129032258063,10.26741935483871,10.25483870967742,2.340645161290323,186.99 S,113.65 E,369.62548387096786,65.89838709677419,80.89999999999999,138.17000000000002,
