Mes, Anio, Pp, T_Max, T_Min, T_Med, VV_Max, VV, DWW, DV, Rag_G, HR, ET, EP 
Enero,2014,0.00,0.00,0.00,0.00,0.00,0.00,0.00 N,0.00 N,,,,,
Febrero,2014,6.80,21.11,0.75,10.27,10.25,2.34,186.99 S,113.65 E,369.62548387096786,65.89838709677419,80.89999999999999,138.17000000000002,
Marzo,2014,0.00,26.53,1.36,13.86,11.42,2.58,196.52 S,174.46 SE,440.32464285714286,44.17999999999999,101.9,149.42000000000002,
Abril,2014,2.80,27.34,3.61,15.72,15.96,4.07,228.59 SO,223.59 S,479.1729032258064,41.38032258064517,138.39999999999998,181.69,
Mayo,2014,1.20,30.36,5.96,18.94,14.21,3.84,214.67 S,205.56 S,493.6250000000001,32.84,150.90000000000006,153.61,
Junio,2014,24.60,29.69,10.88,20.08,12.82,3.25,165.36 SE,157.19 SE,437.8412903225806,49.06064516129033,133.9,154.69000000000003,
Julio,2014,147.00,29.61,13.61,20.80,13.63,3.28,102.91 E,124.62 E,434.6303333333333,63.358333333333334,127.80000000000001,135.14999999999998,
Agosto,2014,83.40,27.16,12.08,19.05,11.63,3.14,137.06 SE,103.17 E,435.6438709677419,69.07354838709679,126.79999999999997,134.33999999999997,
Septiembre,2014,100.40,28.43,11.57,19.26,12.75,3.35,126.72 E,119.90 E,460.928064516129,67.59193548387097,131,142.32999999999998,
Octubre,2014,100.80,26.90,12.34,18.62,11.05,3.25,127.28 E,122.10 E,392.8213333333332,75.657,98.2,116.19000000000001,
Noviembre,2014,17.00,27.31,8.18,16.92,10.06,2.64,,75.35 NE,378.4429032258065,65.28161290322582,96.10000000000001,128.13,
Diciembre,2014,22.00,23.08,3.65,12.83,10.60,2.81,182.17 S,178.72 SE,306.25766666666664,63.25766666666667,68.5,116.53000000000002,
