Fecha, Pp, T_Max, T_Min, T_Med, VV_Max, VV, DWW, DV, Rag_G, HR, ET, EP 
2013-02-01,0,28.6,8.2,19.01,5.7,1.45,227.90 SO,26.60 N,390.89,28.69,1.9,<null>,
2013-02-02,0,28.6,4.6,15.06,3.9,0.97,59.30 NE,8.50 N,416.96,43.8,3.1,4.62,
2013-02-03,0,24.8,0.3,12.61,5.5,1.41,169.50 SE,35.40 N,448.09,47.47,3.2,4.89,
2013-02-04,0,25.9,1.6,14.06,15.3,3.99,264.50 SO,273.00 O,453.9,43.51,4.3,5.61,
2013-02-05,0,25.9,0.6,13.78,12.8,2.1,273.00 O,292.60 O,453.43,43.82,3.5,5.32,
2013-02-06,0,25.5,1.3,14.75,15.2,3.95,242.30 SO,260.90 SO,460.57,39.91,4.1,5.84,
2013-02-07,0,26.4,-0.2,13.24,14,3.24,258.00 SO,283.50 O,469.33,40.55,4,5.72,
2013-02-08,0,26.4,3.1,14.41,15.6,3.49,235.20 SO,288.90 O,447.4,38.72,4.2,5.7,
2013-02-09,0,24.7,0.2,13.04,23,5.2,271.00 O,306.30 O,455.89,45.19,4.3,5.8,
2013-02-1,0,23.8,1.5,13.31,22.8,6.8,287.20 O,264.60 SO,461.3,44.62,4.5,6.14,
2013-02-11,0,24,1.2,13.31,14.5,4.96,254.90 SO,257.80 SO,458.09,46.96,4.1,5.73,
2013-02-12,0,25.5,1.5,14.11,18.3,4.92,262.10 SO,266.10 SO,471.34,45.25,4.4,5.93,
2013-02-13,0,24.8,2.9,14.55,27.8,8.9,261.10 SO,249.50 SO,469.3,42.7,4.8,6.68,
2013-02-14,0,24.1,-1.4,11.14,10.1,1.66,277.50 O,340.60 NO,483.08,40.08,3.6,5.5,
2013-02-15,0,23.9,-3.8,10.03,5.3,0.82,155.00 SE,36.50 N,427.42,37.65,2.8,5.06,
2013-02-16,0,23.3,1.1,11.45,9.1,2.02,58.60 NE,5.20 N,409.6,45.01,3.1,5.07,
2013-02-17,0,24.9,-0.3,12.59,14.7,5.45,183.50 S,271.80 O,452.34,51.92,4.3,5.8,
2013-02-18,0,28.2,4.8,15.72,10.8,3.36,229.90 SO,253.20 SO,479.68,29.39,4.1,6.41,
2013-02-19,0,27,0.8,14.09,11,1.95,198.20 S,339.90 NO,453.72,38.11,3.8,5.51,
2013-02-2,0,25.1,3,14.31,18.1,5,240.80 SO,257.60 SO,419.03,39.88,4,5.7,
2013-02-21,0,24.6,4.5,15.18,21.4,8.1,246.90 SO,232.40 SO,420.64,37.44,4.3,6.35,
2013-02-22,0,24.7,2.6,14.63,18.6,5.61,265.20 SO,233.70 SO,462.2,41,4.2,6.03,
2013-02-23,0,25.5,3,14.54,15.5,4.06,268.40 SO,269.00 SO,459.42,40.52,4.3,5.75,
2013-02-24,0,24.4,1.6,13.76,19.9,6.02,268.30 SO,251.20 SO,421.68,43.54,4.2,5.71,
2013-02-25,0,23.7,2.2,13.13,15.3,4.12,180.70 S,261.20 SO,378.09,39.42,3.4,5.21,
2013-02-26,0,25.5,-0.1,13.69,17.2,5.71,236.10 SO,302.70 O,477.57,18.85,4.9,<null>,
2013-02-27,0,26.4,1.7,14.95,10.4,2.16,201.80 S,222.90 S,470.02,26.67,3.9,5.93,
2013-02-28,0,28.6,1.6,15.65,20.4,6.52,271.20 O,289.40 O,479.63,34.52,5,6.79,
Totales,0,25.52857142857143,1.7178571428571432,13.93214285714286,14.721428571428572,4.069285714285714,226.72 SO,227.89 SO,448.2360714285714,39.828214285714296,110.29999999999998,148.8,
