Fecha, Pp, T_Max, T_Min, T_Med, VV_Max, VV, DWW, DV, Rag_G, HR, ET, EP 
2014-01-01,0.4,15.9,8.2,11.14,0.5,0.02,180.70 S,358.90 NO,172.39,88.9,0.9,2.19,
2014-01-02,0,19.8,8.3,12.42,6.7,0.87,82.20 NE,8.60 N,365.28,79.07,2.2,3.96,
2014-01-03,0,17.7,5.4,9.98,4.3,0.39,80.40 NE,60.70 NE,366.65,72.25,2.1,4.13,
2014-01-04,0,21,1,9.82,3.7,0.46,235.70 SO,266.30 SO,354.71,72.8,2.4,3.93,
2014-01-05,0,21.5,2.2,11.39,3.5,0.44,144.80 SE,261.00 SO,360.1,68.18,2.4,4.08,
2014-01-06,0,18.1,6.9,11.59,2,0.11,163.40 SE,322.20 NO,248.2,73.38,1.4,3.15,
2014-01-07,0,17.3,4.6,9.22,4.1,0.42,129.10 E,324.60 NO,391.93,72.84,2.1,4.37,
2014-01-08,0,21.3,0.2,9.89,4.4,0.56,153.70 SE,300.60 O,373.86,70.25,2.4,4.16,
2014-01-09,0,21.9,0,9.71,6.5,0.66,144.90 SE,247.90 SO,411.24,63.7,2.9,4.6,
2014-01-1,0,22.6,0,10.78,5,0.67,230.90 SO,248.00 SO,388.19,57.32,2.7,4.6,
2014-01-11,0.8,13.5,2.4,8.01,1.6,0.05,331.40 NO,329.90 NO,126.95,77.55,0.5,2.01,
2014-01-12,0.4,18.6,4.9,10.64,3.3,0.27,168.10 SE,301.30 O,240.34,78.07,1.2,3.08,
2014-01-13,0.2,20.7,-1.2,9.08,2.5,0.38,36.10 N,335.20 NO,416.9,67.42,2.9,4.6,
2014-01-14,0,20.2,0.1,9.21,2.1,0.3,318.80 NO,353.80 NO,410.23,66.06,2.8,4.63,
2014-01-15,0,17.9,1,8.73,3.8,0.72,101.80 E,12.00 N,414.72,57.56,2.8,4.93,
2014-01-16,0,20.1,-2.3,7.61,2.1,0.13,4.50 N,0.10 N,389,62.1,2.4,4.54,
2014-01-17,0,21.1,-1.7,8.71,2.8,0.27,25.10 N,344.30 NO,418.45,55.01,2.9,4.91,
2014-01-18,0,21.3,-1.6,8.59,2.6,0.26,143.60 SE,,402.41,55.76,2.7,4.79,
2014-01-19,0,21.6,0.2,9.3,0.8,0.05,17.60 N,335.80 NO,308.19,57.24,2,4.03,
2014-01-2,0,24.6,-1.3,10.8,4.7,0.3,123.30 E,339.10 NO,409.19,56.92,3,4.76,
2014-01-21,0,22.7,2.9,12.33,3.4,0.84,30.50 N,6.90 N,414.56,49.7,2.9,4.97,
2014-01-22,0,23.6,0.2,11.08,3.9,0.48,162.60 SE,308.70 O,412.81,54.79,2.9,4.71,
2014-01-23,0,25.4,0.9,12.18,3.7,0.44,277.10 O,278.90 O,384.06,58.88,2.7,4.4,
2014-01-24,0,23.6,5.1,13.01,1.9,0.29,348.10 NO,329.60 NO,406.97,64.26,2.9,4.39,
2014-01-25,0,23.4,5.4,13.34,7.1,0.43,239.70 SO,,316.02,65.72,2,3.72,
2014-01-26,0,27,2.2,13.71,2.8,0.32,278.30 O,285.70 O,438.06,56.29,3,4.73,
2014-01-27,0,25.9,0.8,13.02,3.9,0.28,284.80 O,242.80 SO,419.7,51.55,2.9,4.64,
2014-01-28,0,24.7,1.4,12.91,4.2,0.5,259.50 SO,251.10 SO,425.72,50.52,2.9,4.72,
2014-01-29,0,21.8,1.2,11.32,1.7,0.2,206.40 S,322.60 NO,456.81,56.27,3,4.8,
2014-01-3,0,23.3,0,10.87,1.9,0.19,166.90 SE,309.00 O,466.01,61.12,3,4.82,
2014-01-31,0,25.8,-1,11.81,3,0.32,151.00 SE,263.10 SO,462.38,54.57,3,4.99,
Totales,1.8000000000000003,21.416129032258063,1.8193548387096772,10.716129032258065,3.370967741935484,0.3748387096774193,168.42 SE,258.80 SO,373.2912903225806,63.74354838709677,75.9,132.33999999999997,
