Mes, Anio, Pp, T_Max, T_Min, T_Med, VV_Max, VV, DWW, DV, Rag_G, HR, ET, EP 
Enero,2013,0.00,0.00,0.00,0.00,0.00,0.00,0.00 N,0.00 N,,,,,
Febrero,2013,0.00,0.00,0.00,0.00,0.00,0.00,0.00 N,0.00 N,,,,,
Marzo,2013,0.00,0.00,0.00,0.00,0.00,0.00,0.00 N,0.00 N,,,,,
Abril,2013,0.00,0.00,0.00,0.00,0.00,0.00,0.00 N,0.00 N,,,,,
Mayo,2013,0.00,0.00,0.00,0.00,0.00,0.00,0.00 N,0.00 N,,,,,
Junio,2013,0.00,0.00,0.00,0.00,0.00,0.00,0.00 N,0.00 N,,,,,
Julio,2013,0.00,0.00,0.00,0.00,0.00,0.00,0.00 N,0.00 N,,,,,
Agosto,2013,0.00,0.00,0.00,0.00,0.00,0.00,0.00 N,0.00 N,,,,,
Septiembre,2013,0.00,0.00,0.00,0.00,0.00,0.00,0.00 N,0.00 N,,,,,
Octubre,2013,185.40,24.52,14.32,18.43,13.76,3.60,127.20 E,87.81 NE,353.1796,76.5632,68.80000000000001,85.55999999999999,
Noviembre,2013,20.60,25.10,11.21,17.47,12.46,3.26,110.19 E,86.26 NE,403.6767741935484,67.32,100.60000000000002,130.27,
Diciembre,2013,23.20,22.34,8.76,14.84,13.07,3.96,150.54 SE,92.88 E,366.0783333333333,69.47233333333334,80.39999999999998,122.90999999999997,
