Fecha, Pp, T_Max, T_Min, T_Med, VV_Max, VV, DWW, DV, Rag_G, HR, ET, EP 
2014-01-01,0.6,14.4,8.2,10.54,8,0.88,220.00 S,27.60 N,164.01,85.42,0.8,2.24,
2014-01-02,0,18.1,8.4,11.75,8.6,2.25,56.60 NE,48.80 NE,338.97,79.18,2.1,3.92,
2014-01-03,1.8,17.5,4,9.31,7.1,1.99,93.60 E,67.50 NE,366.75,71.88,2.1,4.31,
2014-01-04,0,19.4,1.3,10.11,10.8,1.88,239.10 SO,297.60 O,397.41,69.77,2.8,4.52,
2014-01-05,0,19.9,3.8,11.4,10.5,1.32,212.00 S,303.10 O,402.15,63.69,2.7,4.63,
2014-01-06,0,17.1,5.6,11.01,5.8,0.69,172.70 SE,60.40 NE,222.04,71.2,1.1,3.02,
2014-01-07,0,17.6,2.9,8.42,4.6,1.12,167.70 SE,76.50 NE,372.8,72.65,2.1,4.25,
2014-01-08,0,19.4,1.8,9.78,10.2,1.47,205.80 S,341.80 NO,400.02,69.32,2.5,4.53,
2014-01-09,0,20.6,1.1,10.71,13.9,2.68,216.40 S,296.40 O,446.1,56.77,3.3,5.31,
2014-01-1,0,20.8,1.3,11.03,14.1,2.99,225.90 SO,279.30 O,412.26,51.77,3,5.22,
2014-01-11,0,14.8,4.6,9.74,7.4,2.02,48.10 NE,23.50 N,145.59,60.2,0.9,2.62,
2014-01-12,5.8,16.4,6.5,11.17,6.4,1.42,210.60 S,187.20 S,232.93,74.72,1.3,3.09,
2014-01-13,0.4,19.6,2.1,10.28,2.3,0.23,17.90 N,29.50 N,449.42,66.62,2.9,4.83,
2014-01-14,0,19.4,0.3,10.06,3,0.34,36.00 N,2.60 N,443.53,59.31,2.8,4.95,
2014-01-15,0,16.4,1.2,8.87,2.4,0.53,23.00 N,58.60 NE,458.17,56.24,2.8,5.35,
2014-01-16,0,18.6,-2.7,7.8,1.9,0.22,40.00 N,11.20 N,434.91,57.9,2.7,4.99,
2014-01-17,0,19.4,-1.4,9.69,3.8,0.55,17.10 N,27.30 N,454.93,42.79,3,5.48,
2014-01-18,0,19.9,-0.1,9.64,6.1,0.56,246.90 SO,7.60 N,440.23,49.96,3,5.23,
2014-01-19,0,20.3,2.1,10.93,1.8,0.27,163.60 SE,52.30 NE,371.47,46.71,2.5,4.68,
2014-01-2,0,22,1.1,11.92,4.5,0.49,219.20 S,352.20 NO,436.41,48.31,3,5.07,
2014-01-21,0,21.7,3.7,12.37,7,1.27,37.20 N,43.50 N,444.04,45.88,3.2,5.24,
2014-01-22,0,23,1,11.85,3.7,0.45,199.20 S,24.60 N,448.28,49.61,3.1,4.99,
2014-01-23,0,23.7,4.1,13.47,9,0.93,276.90 O,311.80 O,435.21,50.28,3,4.94,
2014-01-24,0,22,7.5,13.77,5.9,1.1,48.90 NE,54.00 NE,441.38,61.26,3.1,4.74,
2014-01-25,0,23.6,5.6,13.55,5.1,0.63,23.20 N,9.40 N,375.04,64.12,2.5,4.12,
2014-01-26,0,24.2,5.1,14.42,6.8,1.62,281.00 O,299.10 O,440.03,50.74,3.3,4.96,
2014-01-27,0,24,4.1,13.81,10,1.93,227.00 SO,285.90 O,462.86,46.24,3.5,5.25,
2014-01-28,0,22.9,4.5,13.72,14.1,3.28,207.50 S,250.30 SO,459.66,44.42,3.8,5.49,
2014-01-29,0,20.2,2.9,11.52,7.7,0.82,,346.10 NO,475.24,55.72,3.2,5.01,
2014-01-3,0,22.3,0.5,10.84,3.3,0.41,170.90 SE,30.90 N,476.9,58.88,3.1,4.93,
2014-01-31,0,23.9,2.8,13.08,9.2,1.94,211.20 S,270.50 O,483.1,45.29,3.7,5.55,
Totales,8.6,20.099999999999998,3.0290322580645164,11.179354838709678,6.935483870967742,1.2348387096774196,152.90 SE,144.42 SE,397.80129032258066,58.93064516129033,82.89999999999998,143.46,
