Fecha, Pp, T_Max, T_Min, T_Med, VV_Max, VV, DWW, DV, Rag_G, HR, ET, EP 
2014-01-01,3.4,14.4,8.8,10.66,2.5,0.26,169.50 SE,339.80 NO,156.6,88.3,0.7,2.09,
2014-01-02,0.2,18.3,8.2,12.08,6.7,1.86,60.10 NE,15.20 N,362.47,76.56,2.2,4.13,
2014-01-03,0,16.6,4.8,10,3.5,0.71,104.00 E,158.80 SE,343.56,71.3,2.1,4.06,
2014-01-04,0,19.9,2,10.3,5.9,0.9,235.80 SO,201.80 S,360.77,68.17,2.2,4.13,
2014-01-05,0,20.6,2.6,11.41,4.4,0.9,162.60 SE,205.10 S,364.67,64.78,2.4,4.23,
2014-01-06,0,17,5.9,10.87,6.4,1.46,338.00 NO,358.50 NO,210.44,71.99,1.1,2.94,
2014-01-07,0.2,17.4,3.8,8.8,4.5,1.41,4.00 N,333.40 NO,325.18,71.52,1.8,3.9,
2014-01-08,0,21,0.8,9.96,5.3,1.09,236.50 SO,321.70 NO,397.49,66.98,2.5,4.48,
2014-01-09,0,21.3,0.6,10.02,7.3,1.37,184.00 S,249.70 SO,404.39,60.58,2.8,4.72,
2014-01-1,0,21.7,0,10.73,8,1.72,240.80 SO,225.10 SO,392.58,53.41,2.8,4.86,
2014-01-11,2,13.7,1.8,7.9,3.7,0.55,324.00 NO,354.60 NO,121.29,72.25,0.4,2.05,
2014-01-12,3.4,17.2,4.2,10.41,5.1,0.95,173.30 SE,,249.13,75.56,1.5,3.26,
2014-01-13,0.2,19.6,0.6,9.92,5.9,1.44,33.90 N,14.50 N,419.35,61.4,2.8,4.89,
2014-01-14,0,19.3,1,10.01,4.2,1.42,,13.40 N,401.9,58.02,2.4,4.85,
2014-01-15,0,17.1,1.2,9.08,6.5,2.17,6.20 N,27.40 N,406.19,49.81,2.4,5.2,
2014-01-16,0,20.2,-2.5,8.3,2.1,0.55,281.80 O,352.30 NO,393.14,54.41,2.4,4.7,
2014-01-17,0,20.3,-0.4,9.38,4,0.88,8.30 N,0.20 N,413.16,44.76,2.8,5.12,
2014-01-18,0,20.5,-2.4,8.64,2.3,0.41,150.40 SE,15.90 N,406.37,52.55,2.5,4.87,
2014-01-19,0,20.6,-0.2,9.79,3.1,0.37,147.10 SE,350.60 NO,349.57,50.7,2.2,4.47,
2014-01-2,0,23.1,0,11,2.7,0.42,132.50 E,4.50 N,396.19,52.25,2.7,4.74,
2014-01-21,0,22,3.5,12.46,5.5,1.79,66.90 NE,19.00 N,407.73,44.45,3,5.17,
2014-01-22,0,23,0.8,11.3,3.4,0.58,147.70 SE,306.90 O,404.93,51.53,2.7,4.71,
2014-01-23,0,24.6,2.6,13.09,5.5,0.62,228.60 SO,248.50 SO,382.99,51.04,2.8,4.55,
2014-01-24,0,22.9,3.7,13.05,2.5,0.57,133.90 E,335.40 NO,399.67,61.01,2.7,4.4,
2014-01-25,0.2,23.5,6.5,13.78,4.6,1.15,17.20 N,12.50 N,346.6,63.4,2.5,4.03,
2014-01-26,0,24.7,4,13.77,5.3,0.78,,307.40 O,364.82,51.83,2.6,4.32,
2014-01-27,0,24.8,1.9,13.63,4.9,0.98,208.50 S,195.00 S,408.54,44.99,2.9,4.78,
2014-01-28,0,23.7,2.3,13.19,7,1.6,231.00 SO,222.50 S,403.4,47.62,3,4.76,
2014-01-29,0,20.9,2.1,11.87,5.1,1.22,354.00 NO,17.90 N,435.17,53.55,2.9,4.82,
2014-01-3,0,23,0.6,11.24,3.2,0.88,15.20 N,332.30 NO,439.64,57.91,3.1,4.74,
2014-01-31,0,25.1,0.7,12.74,6.7,1.28,203.10 S,240.30 SO,443,48.9,3.2,5.09,
Totales,9.6,20.580645161290324,2.2419354838709675,10.947741935483872,4.767741935483871,1.0416129032258064,167.20 SE,193.71 S,364.8687096774193,59.4041935483871,74.1,135.06,
