Fecha, Pp, T_Max, T_Min, T_Med, VV_Max, VV, DWW, DV, Rag_G, HR, ET, EP 
2014-03-01,0,28.1,-0.2,14.3,16.5,3.43,160.90 SE,15.10 N,466.43,39.94,4.1,5.75,
2014-03-02,0,28.1,2.6,15.71,16.9,2.84,173.30 SE,156.00 SE,468.23,41.16,4.1,5.63,
2014-03-03,0,26.7,4.2,15.84,14.8,3.15,177.40 SE,185.70 S,413.95,39.08,3.8,5.36,
2014-03-04,0,26.5,4.4,16.49,16.1,5.65,237.50 SO,254.30 SO,481.27,34.55,5.1,6.42,
2014-03-05,0,26.2,6.4,15.86,21.8,7.02,271.80 O,218.00 S,509.83,33.58,4.9,6.88,
2014-03-06,0,25.7,1.7,14.22,7.7,1.25,254.20 SO,17.10 N,465.95,37.04,3.6,5.26,
2014-03-07,0,26.1,2.5,14.92,17.1,6.21,257.20 SO,264.00 SO,468.17,42.81,4.9,6.1,
2014-03-08,0,25.4,9.3,16.4,18.3,6.8,251.40 SO,213.30 S,411.5,46.59,3.9,5.68,
2014-03-09,2.6,24,3.4,13.95,19.3,5.34,166.20 SE,210.90 S,426.26,63.47,3.6,4.88,
2014-03-1,0.2,22.4,5.1,13.3,25.3,8.36,245.60 SO,232.60 SO,432.75,61.39,3.9,5.34,
2014-03-11,0,26.3,-2.6,11.86,9.9,2.77,186.70 S,207.60 S,548.88,45.2,4.6,6.01,
2014-03-12,0,27.1,-1.4,13.26,9.5,1.9,247.00 SO,331.30 NO,541.73,38.53,4.7,6.09,
2014-03-13,0,27,2.6,14.99,12.8,2.91,191.80 S,85.10 NE,507.59,48.45,4.5,5.79,
2014-03-14,0,28.1,2.3,15.34,17.3,5,243.60 SO,244.00 SO,524.64,33.73,5.3,6.79,
2014-03-15,0,28.3,0.5,15.86,18,5.75,262.50 SO,279.40 O,541.07,33.61,5.5,7,
2014-03-16,0,25.5,2.9,13.67,25.5,6.54,235.10 SO,290.90 O,482.58,34.03,5,6.59,
2014-03-17,0,23.6,2.5,11.43,7.1,2.01,354.10 NO,346.80 NO,523.15,35.3,3.9,5.89,
2014-03-18,0,25.8,-2.2,12.56,27.4,5.58,262.20 SO,279.30 O,540.91,34.69,5.2,6.89,
2014-03-19,0,26.1,1.4,14.61,15.6,3.55,191.90 S,146.90 SE,524.45,43.94,4.5,6.15,
2014-03-2,0,28.5,3.9,16.59,8.8,1.68,204.80 S,271.20 O,505.36,50.32,4.3,5.55,
2014-03-21,0,31.2,4.2,18.12,9.1,2.12,263.70 SO,284.50 O,534.83,48.6,4.8,5.82,
2014-03-22,0,31,5.6,19,13.9,2.21,145.00 SE,214.80 S,448.31,41.56,4.4,5.38,
2014-03-23,0,31.8,5.6,19.34,13.3,3.17,267.00 SO,257.50 SO,499.2,37.62,4.9,5.97,
2014-03-24,0,30,6.1,18.55,13,1.66,260.50 SO,340.40 NO,370.92,33,3.3,4.81,
2014-03-25,0,30.5,6.8,18.86,16.7,3.41,280.80 O,265.20 SO,532.01,38.24,5.4,6.08,
2014-03-26,0,28.3,4,17.55,20.4,6.2,267.70 SO,276.80 O,503.66,44.16,5.7,6.14,
2014-03-27,0,26.4,8.4,17.79,17.7,6.37,260.00 SO,242.20 SO,377.89,33.4,4.2,5.72,
2014-03-28,0,27.3,4.9,15.4,12.7,2.27,271.60 O,282.70 O,372.44,42.19,3.3,4.62,
2014-03-29,0,28,4.2,16.37,17.1,4.42,98.20 E,83.60 NE,398.64,44.58,3.8,5.23,
2014-03-3,0,27.6,8.2,17.8,24.5,3.67,243.40 SO,206.10 S,475.89,44.15,4.1,5.62,
2014-03-31,0,29.8,4.6,17.37,10.7,2.86,153.30 SE,227.90 SO,555.87,37.88,5.1,6.25,
Totales,2.8000000000000003,27.33548387096775,3.609677419354839,15.719677419354841,15.961290322580647,4.0677419354838715,228.59 SO,223.59 S,479.1729032258064,41.38032258064517,138.39999999999998,181.69,
