Fecha, Pp, T_Max, T_Min, T_Med, VV_Max, VV, DWW, DV, Rag_G, HR, ET, EP 
2012-01-01,0,<null>,<null>,<null>,0,0,324.70 NO,325.60 NO,<null>,<null>,<null>,<null>,
2012-01-02,0,<null>,<null>,<null>,0,0,328.70 NO,305.30 O,<null>,12.85,<null>,<null>,
2012-01-03,0,<null>,<null>,<null>,0,0,274.10 O,292.50 O,<null>,21.65,<null>,<null>,
2012-01-04,0,<null>,<null>,<null>,0,0,308.80 O,318.30 NO,<null>,6.3,<null>,<null>,
2012-01-05,0,<null>,<null>,<null>,0,0,325.30 NO,324.70 NO,<null>,<null>,<null>,<null>,
2012-01-06,0,<null>,<null>,<null>,0,0,327.40 NO,326.90 NO,<null>,<null>,<null>,<null>,
2012-01-07,0,<null>,<null>,<null>,0,0,324.70 NO,324.10 NO,<null>,<null>,<null>,<null>,
2012-01-08,0,<null>,<null>,<null>,0,0,325.30 NO,324.50 NO,<null>,<null>,<null>,<null>,
2012-01-09,0,<null>,<null>,<null>,0,0,325.50 NO,325.00 NO,<null>,<null>,<null>,<null>,
2012-01-1,0,<null>,<null>,<null>,0,0,325.20 NO,324.70 NO,<null>,<null>,<null>,<null>,
2012-01-11,0.3,<null>,<null>,<null>,0,0,325.50 NO,324.60 NO,<null>,<null>,<null>,<null>,
2012-01-12,0.3,<null>,<null>,<null>,0,0,325.30 NO,323.90 NO,<null>,<null>,<null>,<null>,
2012-01-13,0.3,<null>,<null>,<null>,0,0,324.40 NO,323.80 NO,<null>,<null>,<null>,<null>,
2012-01-14,0,<null>,<null>,<null>,0,0,325.30 NO,325.10 NO,<null>,<null>,<null>,<null>,
2012-01-15,0,<null>,<null>,<null>,0,0,326.60 NO,327.90 NO,<null>,<null>,<null>,<null>,
2012-01-16,0,<null>,<null>,<null>,0,0,325.50 NO,324.00 NO,<null>,<null>,<null>,<null>,
2012-01-17,0,<null>,<null>,<null>,0,0,324.30 NO,323.50 NO,<null>,<null>,<null>,<null>,
2012-01-18,0.3,<null>,<null>,<null>,0,0,324.10 NO,324.00 NO,<null>,<null>,<null>,<null>,
2012-01-19,0.3,<null>,<null>,<null>,0,0,324.40 NO,323.70 NO,<null>,<null>,<null>,<null>,
2012-01-2,0,<null>,<null>,<null>,0,0,324.10 NO,323.60 NO,<null>,<null>,<null>,<null>,
2012-01-21,0,<null>,<null>,<null>,0,0,324.20 NO,323.30 NO,<null>,<null>,<null>,<null>,
2012-01-22,0,<null>,<null>,<null>,0,0,325.20 NO,323.30 NO,<null>,<null>,<null>,<null>,
2012-01-23,0,<null>,<null>,<null>,0,0,325.00 NO,323.30 NO,<null>,<null>,<null>,<null>,
2012-01-24,0,<null>,<null>,<null>,0,0,323.00 NO,323.80 NO,<null>,<null>,<null>,<null>,
2012-01-25,0,<null>,<null>,<null>,0,0,325.50 NO,323.60 NO,<null>,<null>,<null>,<null>,
2012-01-26,0,<null>,<null>,<null>,0,0,324.40 NO,323.80 NO,<null>,<null>,<null>,<null>,
2012-01-27,0.3,<null>,<null>,<null>,0,0,325.80 NO,324.20 NO,<null>,<null>,<null>,<null>,
2012-01-28,0,<null>,<null>,<null>,0,0,325.50 NO,324.10 NO,<null>,<null>,<null>,<null>,
2012-01-29,0,<null>,<null>,<null>,0,0,325.60 NO,327.20 NO,<null>,72.05,<null>,<null>,
2012-01-3,0,-6.4,-11.8,-9.75,0,0,294.90 O,278.80 O,<null>,56.42,<null>,<null>,
2012-01-31,0,-0.5,-11.8,-6.95,0,0,258.10 SO,262.70 SO,<null>,36.55,<null>,<null>,
Totales,1.8,-0.22258064516129034,-0.7612903225806452,-0.5387096774193548,0,0,319.88 NO,319.15 NO,0,6.639354838709677,0,0,
