Fecha, Pp, T. Máx, T. Mín, T. Med, VV Máx, VV, DWW, DV, Rag. G, HR, ET, EP 
2014-01-01,2.8,14.6,8.3,10.5,4.7,0.87,190.60 S,56.80 NE,133.91,88.59,0.7,1.89,
2014-01-02,0.2,18.7,8,12,8,3.72,77.80 NE,41.60 N,255.77,76.71,1.5,3.38,
2014-01-03,0.2,16.1,4.2,9.62,7.6,2.6,107.90 E,139.20 SE,279.68,70.83,1.5,3.68,
2014-01-04,0,20.3,1.8,10.44,7.5,1.89,240.20 SO,217.20 S,275.39,67.91,1.8,3.58,
2014-01-05,0,20.5,3.4,11.8,6.7,2.19,212.80 S,218.90 S,274.57,62.1,1.9,3.74,
2014-01-06,0,16.8,6,10.94,9.5,3.07,0.20 N,19.10 N,164.65,70.09,0.8,2.7,
2014-01-07,0,16,3.6,8.54,7.7,3.74,7.80 N,8.50 N,254.55,71.78,1.4,3.47,
2014-01-08,0,20.9,0.7,9.76,6.6,1.58,264.30 SO,204.90 S,241.74,67.3,1.5,3.34,
2014-01-09,0,20.7,0.6,10.2,10.2,2.56,206.50 S,171.90 SE,280.19,58.27,2,3.99,
2014-01-1,0,21.8,1.9,11.46,10.3,3.27,234.00 SO,226.50 SO,281.8,49.17,2.4,4.37,
2014-01-11,2.6,13.9,2.6,7.9,6.7,1.57,0.40 N,23.60 N,109.11,72.34,0.4,1.97,
2014-01-12,2,16.4,5,10.71,9.4,2.12,276.20 O,217.00 S,197.47,73.51,1,2.91,
2014-01-13,0.2,19.7,0.2,9.75,6.6,2.33,49.70 NE,49.80 NE,322.34,61.79,2.3,4.18,
2014-01-14,0,18.7,0.2,9.61,7.6,3.21,23.30 N,33.30 N,314.32,58.89,2.1,4.34,
2014-01-15,0,17.1,0.5,8.64,9.4,4.07,18.80 N,59.60 NE,327.55,52.15,2.1,4.72,
2014-01-16,0,18.5,-3.2,7.91,5.8,2.37,13.50 N,59.40 NE,303.18,55.3,2,4.25,
2014-01-17,0,19.4,-1.2,9.26,8.4,2.59,23.40 N,34.20 N,336.51,43.81,2.5,4.86,
2014-01-18,0,19.9,-1.8,8.76,5.2,1.6,9.10 N,110.00 E,334.21,51.26,2.1,4.53,
2014-01-19,0,20.5,0.5,9.95,6.1,1.65,187.10 S,107.00 E,313.26,49.75,2.1,4.4,
2014-01-2,0,22.5,0,11.12,6.1,2.32,287.40 O,150.00 SE,335.01,51.64,2.3,4.58,
2014-01-21,0,21.8,3.7,12.3,9.9,4.26,15.50 N,48.20 NE,352.74,44.64,2.7,5.15,
2014-01-22,0,22.2,0.2,11.37,6.2,2.03,210.60 S,174.00 SE,349.76,50.84,2.5,4.53,
2014-01-23,0,24.3,2.9,13.32,7.8,2.13,289.90 O,207.50 S,339.22,50.08,2.5,4.5,
2014-01-24,0,21.8,5.6,13.19,4.7,2.11,77.60 NE,45.90 NE,356.51,60.64,2.3,4.27,
2014-01-25,0,23.6,6.3,13.48,13.2,3.19,,32.20 N,356.01,63.89,2.5,4.3,
2014-01-26,0,24.8,3.8,13.76,10,3.06,286.80 O,255.30 SO,330.35,53.09,2.8,4.39,
2014-01-27,0,24.7,2.7,14.56,8.3,2.95,,230.50 SO,351.27,42.18,2.8,4.81,
2014-01-28,0,23.8,3.8,14.05,12.6,3.8,208.00 S,217.30 S,366.43,43.91,3.2,4.95,
2014-01-29,0,20.1,2.8,11.97,9.1,3.55,26.80 N,37.10 N,382.8,52.04,2.6,4.73,
2014-01-3,0,21.8,0.3,11.18,5.8,2.63,,137.40 SE,374.75,57.57,2.6,4.45,
2014-01-31,0,24.5,1,13.07,7.8,2.89,213.20 S,201.50 S,390.94,47.17,3,5,
Totales,8,20.206451612903223,2.4,11.003870967741937,7.919354838709675,2.64258064516129,147.34 SE,120.50 E,299.5480645161291,58.68516129032257,63.89999999999999,125.96,
