Fecha, Pp, T_Max, T_Min, T_Med, VV_Max, VV, DWW, DV, Rag_G, HR, ET, EP 
2014-03-01,0,25.8,8.2,16.75,14.9,5.68,181.60 S,156.00 SE,506.48,32.86,4.5,6.49,
2014-03-02,0,26,9.4,17.56,20.5,5.98,170.60 SE,167.20 SE,500.44,38.07,4.6,6.33,
2014-03-03,0,25.3,9.3,17.18,21.2,6.38,222.70 S,175.50 SE,394.13,33.24,4.3,5.82,
2014-03-04,0,24.8,7.8,15.93,20.8,7.39,258.90 SO,213.50 S,526.11,36.67,4.9,6.75,
2014-03-05,0,23.8,5.6,14.61,20.5,8.3,211.50 S,215.90 S,522.92,37.03,5.2,6.87,
2014-03-06,0,24.7,3.8,15.15,11.9,3.89,198.40 S,172.30 SE,504.52,28.96,4.3,6.23,
2014-03-07,0,24.3,7.9,15.34,20.9,8.31,228.30 SO,197.90 S,513.65,45.47,4.7,6.58,
2014-03-08,0,23,6.2,14.07,21.8,6.81,216.60 S,220.60 S,383.19,54.97,3.3,5.02,
2014-03-09,2.4,22.7,7.6,14.67,28.6,10.04,255.30 SO,185.40 S,423.27,58.52,4,5.58,
2014-03-1,0,21,6.8,13.11,32.2,12.33,207.10 S,211.40 S,387.78,63.81,3.8,5.28,
2014-03-11,0,23.9,3.7,13.44,16.1,5.95,248.60 SO,184.40 S,535.02,37.81,4.8,6.69,
2014-03-12,0,25.6,7.2,16.35,10.1,4.71,195.40 S,132.60 E,542.23,24.32,4.8,7,
2014-03-13,0,25.3,7.1,16.01,15.6,5.68,214.00 S,180.80 S,514.59,46.08,4.6,6.2,
2014-03-14,0,26.1,8.2,16.77,20.2,8.51,210.40 S,197.70 S,525.35,25.38,5.4,<null>,
2014-03-15,0,27,7.8,16.82,22.7,8.32,231.10 SO,211.90 S,525.17,33.6,5.8,<null>,
2014-03-16,0,24.1,5.9,14.4,33.7,12.04,230.10 SO,207.60 S,479.79,29.24,5.8,<null>,
2014-03-17,0,21.8,3,11.39,28.4,11.65,124.90 E,119.80 E,519.31,32.34,4.7,<null>,
2014-03-18,0,24,3.8,14.52,29.5,10.05,225.00 SO,192.60 S,537.78,28.66,5.7,<null>,
2014-03-19,0,25.3,8.2,16.4,21,6.68,210.80 S,175.50 SE,511.4,41.5,4.5,6.59,
2014-03-2,0,27.7,9.7,18.44,13.2,4.62,264.90 SO,123.70 E,516.48,42.59,4.7,6.24,
2014-03-21,0,28.8,9.9,19.36,12.4,4.22,204.20 S,195.50 S,525.29,43.49,5.2,6.07,
2014-03-22,0,29.5,10.9,20.56,15.4,5.02,236.40 SO,154.80 SE,500.77,38.72,5.2,6.17,
2014-03-23,0,29.4,11.1,21.07,19.1,6.04,216.60 S,217.20 S,544.81,32.9,5.9,6.8,
2014-03-24,0,27.4,12.6,20.38,16.6,5.48,217.10 S,263.40 SO,432.39,29.24,4.6,5.92,
2014-03-25,0,28.3,11.4,19.95,21.1,7.39,213.90 S,174.90 SE,520.69,26.36,6.1,<null>,
2014-03-26,0,26.2,10,17.52,25.3,8.32,218.50 S,219.10 S,499.06,42.43,5.3,6.33,
2014-03-27,0,24.5,7.6,16.6,22.8,9.11,227.20 SO,234.40 SO,427.26,37.43,4.4,6.21,
2014-03-28,0,25.2,7.5,16.71,18.7,6.14,241.80 SO,261.20 SO,457,35.99,4.5,6.02,
2014-03-29,4,25.5,7.9,16.85,22.3,8.38,112.30 E,93.10 E,352.7,39.18,3.9,5.7,
2014-03-3,0,25.9,7.7,17.19,20.1,7.19,218.80 S,160.00 SE,498.6,46.14,4.8,6.21,
2014-03-31,0,26.8,10.1,18.8,13.3,4.36,192.20 S,171.00 SE,540.45,31.57,5.2,6.5,
Totales,6.4,25.474193548387095,7.867741935483871,16.57741935483871,20.351612903225806,7.257096774193548,213.07 S,186.67 S,489.3106451612904,37.889354838709686,149.5,155.60000000000002,
