Fecha, Pp, T_Max, T_Min, T_Med, VV_Max, VV, DWW, DV, Rag_G, HR, ET, EP 
2013-09-06,0,25.5,17.1,21.73,10,3.12,332.70 NO,0.20 N,311.34,57.58,1.4,<null>,
2013-09-07,0.6,24.5,15,18.65,16.9,5.74,46.90 NE,25.30 N,332.05,70.33,2.9,3.58,
2013-09-08,13,20.5,14.8,16.74,7.3,1.36,238.80 SO,30.70 N,207.47,85.86,1.3,1.96,
2013-09-09,1.8,24.2,13.5,17.89,9.8,2.59,197.30 S,152.80 SE,385.24,80.46,3.1,3.61,
2013-09-1,10.4,26.4,14.7,18.57,14,4.12,90.20 E,69.10 NE,372.63,81.27,2.9,3.68,
2013-09-11,0,26.7,14.6,19.67,24.9,6.23,54.70 NE,29.80 N,431.4,70.56,3.9,4.63,
2013-09-12,1.8,23.9,14.3,18.61,15.7,5.26,55.60 NE,23.60 N,292.74,70.16,2.7,3.46,
2013-09-13,0,23.5,13.6,18.28,19.6,7.2,58.30 NE,25.20 N,361.83,65.22,3.5,4.29,
2013-09-14,0,24.3,12.4,17.66,17,6.36,55.60 NE,21.40 N,326.97,68.88,2.8,3.85,
2013-09-15,18,18.9,15.2,16.79,9.6,3.81,108.00 E,21.70 N,144.21,87.35,0.7,1.57,
2013-09-16,20.6,21.9,14,16.53,18.7,4.08,107.70 E,95.10 E,225.02,90.39,1.5,2.27,
2013-09-17,18,23.2,15.3,17.9,11.4,4.9,143.40 SE,146.20 SE,343.69,83.83,2.7,3.43,
2013-09-18,6.4,25.1,15,18.62,11.4,2.77,64.60 NE,56.70 NE,279.83,80.88,2.2,3,
2013-09-19,0.2,26.1,15.8,19.94,9.5,1.96,64.40 NE,100.50 E,411.34,73.97,3.3,4,
2013-09-2,12.2,25,16.2,19.21,14.5,1.87,,270.70 O,289.82,83.06,2.1,2.83,
2013-09-21,21.8,25.3,14.9,18.34,12.7,2.78,56.70 NE,18.80 N,363.69,82.79,2.5,3.37,
2013-09-22,13.4,24,15.3,18.2,8.1,1.99,233.80 SO,355.10 NO,296.6,82.61,2.1,2.85,
2013-09-23,21.6,26.7,14.9,18.08,10,1.75,148.40 SE,133.80 E,434.77,87.61,3.1,3.74,
2013-09-24,0.8,26,15.3,19.04,20.2,3.12,61.40 NE,42.20 N,327.82,79.34,2.8,3.34,
2013-09-25,0,25.9,12.3,19.16,15,5.33,71.00 NE,50.70 NE,511.13,62.72,4.2,5.3,
2013-09-26,22,26.9,11.7,18.26,21.9,2.77,115.00 E,,459.81,70.16,3.7,4.44,
2013-09-27,2.6,21.4,14.5,16.73,12,3.13,132.60 E,162.30 SE,241.32,88.46,1.5,2.31,
2013-09-28,0.2,24.3,11.5,17.66,12.3,2.88,244.90 SO,183.90 S,504.34,77.08,3.8,4.58,
2013-09-29,0,26.9,13.8,19.43,13.2,2.44,56.50 NE,38.10 N,481.78,64.61,3.9,4.78,
2013-09-3,0,25.9,12.4,18.99,8.3,2.38,171.90 SE,97.00 E,492.65,68.9,4.2,4.69,
Totales,185.40000000000003,24.52,14.324000000000002,18.427200000000003,13.759999999999998,3.5976000000000004,127.20 E,87.81 NE,353.1796,76.5632,68.80000000000001,85.55999999999999,
