Fecha, Pp, T_Max, T_Min, T_Med, VV_Max, VV, DWW, DV, Rag_G, HR, ET, EP 
2014-01-01,0,15.6,8,11.41,7.2,1.63,236.00 SO,218.30 S,196.5,78.47,1.2,2.64,
2014-01-02,0,19.5,8.2,12.5,19,6.16,109.30 E,60.80 NE,392.83,71.85,2.5,4.7,
2014-01-03,0,17.7,2.7,9.28,12.7,3.11,84.70 NE,105.30 E,387.01,70.92,2.4,4.48,
2014-01-04,0,19.9,1.9,10.26,12,2.58,257.90 SO,241.20 SO,404.37,65.6,2.8,4.64,
2014-01-05,0,20.5,3.5,11.99,12.4,2.55,230.10 SO,227.30 SO,391.44,59.32,2.6,4.71,
2014-01-06,0,17.4,6.5,11.14,12.2,2.14,282.80 O,68.30 NE,188.36,66.33,1.2,2.9,
2014-01-07,0,17.6,1.6,8.41,7.7,1.73,217.50 S,316.00 NO,362.61,71.9,2.2,4.16,
2014-01-08,0,19.9,1.4,10.22,11.1,2.15,212.90 S,245.00 SO,393.85,64.8,2.6,4.58,
2014-01-09,0,20.7,0.5,10.12,13.7,2.94,217.80 S,234.00 SO,446.67,56.34,3.2,5.3,
2014-01-1,0,21.2,-0.1,10.83,15.7,3.66,213.90 S,252.20 SO,428.55,52.2,3.2,5.39,
2014-01-11,0.2,16.5,4.4,9.19,10.9,3.06,2.50 N,5.20 N,180.86,67.59,1.1,2.89,
2014-01-12,4.8,16.9,6,10.76,11.2,2.66,246.10 SO,162.60 SE,206.49,76.45,1.1,2.91,
2014-01-13,0.2,20.2,1.4,10.04,10.6,2.22,331.40 NO,17.40 N,451.7,62.95,3.2,5.09,
2014-01-14,0,19.9,1.2,9.8,7,1.92,299.90 O,5.80 N,444.38,58.12,3,5.14,
2014-01-15,0,16.8,0,8.6,12.5,5.15,124.80 E,,447.99,56.11,3,5.73,
2014-01-16,0,18.8,-3.9,6.93,9.6,1.55,305.10 O,5.10 N,426.45,58.91,2.7,5.02,
2014-01-17,0,19.6,-2.1,8.87,10.2,2.45,109.40 E,41.40 N,447.54,49.76,3.2,5.55,
2014-01-18,0,20,-3.1,8.57,7.1,1.22,310.20 O,348.20 NO,429.59,49.85,2.9,5.25,
2014-01-19,0,20.2,-0.4,9.75,12.3,2.03,81.00 NE,77.40 NE,339.27,49.93,2.4,4.66,
2014-01-2,0,22.4,-0.6,10.87,8.6,1.67,319.70 NO,295.30 O,437.29,51.28,3.2,5.23,
2014-01-21,0,21.8,2.8,11.91,12.3,5.27,96.00 E,66.90 NE,441.43,48.11,3.8,5.83,
2014-01-22,0,22.9,-0.3,10.92,7.5,1.71,247.80 SO,223.20 S,447.81,50.39,3.2,5.2,
2014-01-23,0,24.2,3.8,13.46,10,2.55,320.20 NO,259.10 SO,420.53,50.83,3.3,5.1,
2014-01-24,0,22.4,5.2,12.99,8.9,2.15,109.40 E,68.40 NE,428.27,62.64,3,4.74,
2014-01-25,0.2,24.7,3.7,14.12,14,2.38,307.10 O,350.40 NO,435.36,59.11,3.3,4.89,
2014-01-26,0,24.5,4,14.21,14.1,2.82,287.00 O,293.40 O,457.9,50.55,3.7,5.25,
2014-01-27,0,24.2,2.6,13.47,10.8,2.83,234.30 SO,222.70 S,451.73,47.05,3.6,5.28,
2014-01-28,0,23.2,3.6,13.17,17.4,4.61,273.30 O,199.90 S,428.48,43.93,3.7,5.48,
2014-01-29,0,21,1.9,11.93,9,2.97,257.30 SO,287.90 O,453,48.17,3.4,5.28,
2014-01-3,0,22.4,-0.7,10.89,6.6,1.42,303.70 O,300.70 O,463.83,54.82,3.2,5.03,
2014-01-31,0,24.2,1.3,12.44,10.5,2.41,202.30 S,281.10 O,454.6,46.68,3.5,5.37,
Totales,5.4,20.541935483870965,2.096774193548387,10.93709677419355,11.122580645161287,2.6999999999999993,220.37 S,178.23 SE,396.34483870967756,58.09548387096773,87.40000000000002,148.41999999999996,
