Fecha, Pp, T_Max, T_Min, T_Med, VV_Max, VV, DWW, DV, Rag_G, HR, ET, EP 
2015-01-01,0,22,5.1,13.12,17,4.09,187.60 S,120.30 E,334.94,66.39,2.4,4.13,
2015-01-01,0,22,5.1,13.12,17,4.09,187.60 S,120.30 E,334.94,66.39,2.4,4.13,
2015-01-02,0,20.8,6.1,13.82,34.9,10.6,211.10 S,183.80 S,377.72,62.38,3.3,5.22,
2015-01-02,0,20.8,6.1,13.82,34.9,10.6,211.10 S,183.80 S,377.72,62.38,3.3,5.22,
2015-01-03,0,20.7,8.6,13.44,26.9,8.03,213.80 S,199.40 S,309.42,62.74,2.6,4.4,
2015-01-03,0,20.7,8.6,13.44,26.9,8.03,213.80 S,199.40 S,309.42,62.74,2.6,4.4,
2015-01-04,0,19.8,4.6,11.43,29.4,9.67,73.70 NE,55.70 NE,260.47,62.05,2.4,4.22,
2015-01-04,0,19.8,4.6,11.43,29.4,9.67,73.70 NE,55.70 NE,260.47,62.05,2.4,4.22,
2015-01-05,0,16.4,6,10.57,20.2,11.02,51.20 NE,58.10 NE,209.49,59.02,1.9,4.01,
2015-01-05,0,16.4,6,10.57,20.2,11.02,51.20 NE,58.10 NE,209.49,59.02,1.9,4.01,
2015-01-06,0,21.1,6.4,13.2,22.4,7.57,79.50 NE,84.10 NE,266.82,65.46,2.1,4.08,
2015-01-06,0,21.1,6.4,13.2,22.4,7.57,79.50 NE,84.10 NE,266.82,65.46,2.1,4.08,
2015-01-07,0,21.5,8.7,14.19,24.3,10.27,90.90 E,60.60 NE,341.8,66.95,2.8,4.86,
2015-01-07,0,21.5,8.7,14.19,24.3,10.27,90.90 E,60.60 NE,341.8,66.95,2.8,4.86,
2015-01-08,0,19.7,8.3,13.1,17.2,4.65,73.30 NE,109.20 E,390.1,61.26,2.6,4.79,
2015-01-08,0,19.7,8.3,13.1,17.2,4.65,73.30 NE,109.20 E,390.1,61.26,2.6,4.79,
2015-01-09,0.2,19.7,5.8,11.21,22.6,4.46,321.30 NO,74.80 NE,274.5,78.55,1.8,3.28,
2015-01-09,0.2,19.7,5.8,11.21,22.6,4.46,321.30 NO,74.80 NE,274.5,78.55,1.8,3.28,
2015-01-1,0.6,19.7,5.4,11.66,17.2,3.64,303.20 O,130.30 E,372.85,73.22,2.4,4.2,
2015-01-1,0.6,19.7,5.4,11.66,17.2,3.64,303.20 O,130.30 E,372.85,73.22,2.4,4.2,
2015-01-11,0,22.3,2,11.27,12.8,3.13,202.50 S,94.50 E,445.46,62.35,3.1,5.03,
2015-01-11,0,22.3,2,11.27,12.8,3.13,202.50 S,94.50 E,445.46,62.35,3.1,5.03,
2015-01-12,0,21.2,0.1,10.19,15.4,5.56,203.80 S,99.70 E,334.6,52.83,2.5,4.84,
2015-01-12,0,21.2,0.1,10.19,15.4,5.56,203.80 S,99.70 E,334.6,52.83,2.5,4.84,
2015-01-13,0,22.2,1,11.18,16.9,4.81,211.50 S,115.10 E,377.91,52.15,2.9,5.12,
2015-01-13,0,22.2,1,11.18,16.9,4.81,211.50 S,115.10 E,377.91,52.15,2.9,5.12,
2015-01-14,0,22.5,4.5,13.17,15.2,3.56,194.20 S,145.20 SE,360.9,47.47,2.7,4.97,
2015-01-14,0,22.5,4.5,13.17,15.2,3.56,194.20 S,145.20 SE,360.9,47.47,2.7,4.97,
2015-01-15,0,22.8,4.3,13.64,20.5,3.38,194.20 S,112.40 E,399.37,44.82,3.1,5.25,
2015-01-15,0,22.8,4.3,13.64,20.5,3.38,194.20 S,112.40 E,399.37,44.82,3.1,5.25,
2015-01-16,0,22.4,4.9,12.99,14.9,6.85,54.70 NE,130.80 E,412.45,58.91,2.9,5.29,
2015-01-16,0,22.4,4.9,12.99,14.9,6.85,54.70 NE,130.80 E,412.45,58.91,2.9,5.29,
2015-01-17,0,23.6,3.4,13.29,13.8,2.74,197.10 S,118.50 E,412.04,55.41,2.9,4.84,
2015-01-17,0,23.6,3.4,13.29,13.8,2.74,197.10 S,118.50 E,412.04,55.41,2.9,4.84,
2015-01-18,0,23.4,9.3,14.98,11.7,3.67,71.00 NE,94.80 E,389.42,49.6,2.9,4.97,
2015-01-18,0,23.4,9.3,14.98,11.7,3.67,71.00 NE,94.80 E,389.42,49.6,2.9,4.97,
2015-01-19,0,24.6,3.8,14.46,7.1,1.24,270.90 O,106.80 E,387.57,51.76,2.9,4.53,
2015-01-19,0,24.6,3.8,14.46,7.1,1.24,270.90 O,106.80 E,387.57,51.76,2.9,4.53,
2015-01-2,0,24.5,5.7,16.08,11.8,3.11,155.90 SE,144.90 SE,431.96,48.86,3.2,5.16,
2015-01-2,0,24.5,5.7,16.08,11.8,3.11,155.90 SE,144.90 SE,431.96,48.86,3.2,5.16,
2015-01-21,0,24.5,7.8,15.85,21.5,7.04,231.10 SO,168.90 SE,435.55,45.84,3.9,5.87,
2015-01-21,0,24.5,7.8,15.85,21.5,7.04,231.10 SO,168.90 SE,435.55,45.84,3.9,5.87,
2015-01-22,0,21.8,4.6,14.22,28.9,9.59,237.90 SO,205.60 S,398.77,57.14,3.2,5.39,
2015-01-22,0,21.8,4.6,14.22,28.9,9.59,237.90 SO,205.60 S,398.77,57.14,3.2,5.39,
2015-01-23,0,23.7,5.8,14.83,11.9,4.26,196.10 S,184.90 S,440.1,50.19,3.7,5.26,
2015-01-23,0,23.7,5.8,14.83,11.9,4.26,196.10 S,184.90 S,440.1,50.19,3.7,5.26,
2015-01-24,0,21.6,6.2,13.26,13.7,5.94,99.60 E,157.00 SE,353.4,45.33,2.6,5.04,
2015-01-24,0,21.6,6.2,13.26,13.7,5.94,99.60 E,157.00 SE,353.4,45.33,2.6,5.04,
2015-01-25,0,21.5,4.3,13.52,14.7,2.3,214.80 S,149.90 SE,291.65,64.11,2.1,3.6,
2015-01-25,0,21.5,4.3,13.52,14.7,2.3,214.80 S,149.90 SE,291.65,64.11,2.1,3.6,
2015-01-26,0,21.9,8.1,14.79,13.6,4.28,170.20 SE,148.40 SE,337.77,54.53,2.4,4.47,
2015-01-26,0,21.9,8.1,14.79,13.6,4.28,170.20 SE,148.40 SE,337.77,54.53,2.4,4.47,
2015-01-27,0,24.9,8.2,16.16,10.6,3.83,211.60 S,68.80 NE,438.79,41.33,3.4,5.59,
2015-01-27,0,24.9,8.2,16.16,10.6,3.83,211.60 S,68.80 NE,438.79,41.33,3.4,5.59,
2015-01-28,0,25.1,4.1,15.58,12.4,2.64,72.60 NE,92.20 E,401.26,41.33,3.1,5.05,
2015-01-28,0,25.1,4.1,15.58,12.4,2.64,72.60 NE,92.20 E,401.26,41.33,3.1,5.05,
2015-01-29,0,26.4,4.1,15.28,23.7,6.62,84.80 NE,77.30 NE,409.57,43.34,4.2,5.78,
2015-01-29,0,26.4,4.1,15.28,23.7,6.62,84.80 NE,77.30 NE,409.57,43.34,4.2,5.78,
2015-01-3,0,21.4,8.5,13.75,24,11.15,73.80 NE,84.90 NE,385.69,47.73,3.3,5.94,
2015-01-3,0,21.4,8.5,13.75,24,11.15,73.80 NE,84.90 NE,385.69,47.73,3.3,5.94,
2015-01-31,0,21.1,4.2,13.04,31.6,11.3,195.30 S,176.80 SE,422.39,58.38,3.8,5.75,
2015-01-31,0,21.1,4.2,13.04,31.6,11.3,195.30 S,176.80 SE,422.39,58.38,3.8,5.75,
Totales,1.5999999999999999,22.090322580645164,5.480645161290322,13.460322580645167,18.67096774193549,5.838709677419354,166.10 SE,121.09 E,367.8945161290321,55.85258064516129,178.20000000000005,301.86,
