Fecha, Pp, T_Max, T_Min, T_Med, VV_Max, VV, DWW, DV, Rag_G, HR, ET, EP 
2013-01-01,22.6,13.7,8.6,10.66,7.7,1.95,178.60 SE,143.10 SE,105.1,90.48,0.4,1.33,
2013-01-02,23.6,11.3,7.8,9.33,6.1,0.8,315.60 NO,315.30 NO,109.97,89.97,0.4,1.45,
2013-01-03,0,17.5,7.3,11.81,12.3,5.18,150.50 SE,171.90 SE,339.69,74.5,2,4.21,
2013-01-04,0,18.9,4.2,11.5,11.3,2.49,150.10 SE,249.30 SO,374.47,74.49,2.3,4.28,
2013-01-05,0,20.9,6.7,12.51,8.4,2.65,146.20 SE,262.70 SO,333.86,70.98,2,4,
2013-01-06,0,19.4,5.7,11.8,7.8,2.09,310.70 O,331.20 NO,402.7,64.59,2.3,4.57,
2013-01-07,0,21.5,4.4,13.17,14.2,4.71,165.40 SE,201.90 S,422.99,65.67,3,4.92,
2013-01-08,1.4,18.3,10.3,13.21,22.1,9.23,202.10 S,174.50 SE,233.22,70.94,1.7,3.6,
2013-01-09,0,19.9,10.4,14.77,18.2,9.32,187.10 S,184.70 S,423.99,52.74,3.4,5.89,
2013-01-1,0,22.3,4.2,12.93,10,2.27,152.00 SE,223.10 S,448.08,53.39,3.2,5.02,
2013-01-11,0,23.1,2.5,12.84,14.6,3.48,214.90 S,249.30 SO,382.98,50.84,3.1,4.81,
2013-01-12,0,22.8,4.9,13.71,14.6,4.6,,199.70 S,352.73,51.66,2.8,4.73,
2013-01-13,0,20.7,5,13.74,13.2,4.26,,180.50 S,362.3,55.4,2.9,4.63,
2013-01-14,0,22.3,6.9,14.17,12.8,4.51,160.70 SE,170.30 SE,355.05,54.54,2.9,4.64,
2013-01-15,0,22.7,6.5,14.41,13.4,4.72,180.80 S,189.90 S,389.93,47.78,3.4,5.11,
2013-01-16,0,13.7,2.3,8.78,24.4,8.69,349.90 NO,327.90 NO,328.62,34.12,2.6,5.67,
2013-01-17,0,12.9,0.2,6.06,15.1,5.77,332.00 NO,333.40 NO,238.54,33.67,1.7,4.47,
2013-01-18,0,18.5,3.7,9.34,6.1,1.3,350.20 NO,312.50 O,387.6,39.31,2,5.08,
2013-01-19,0,21.3,0.7,11.45,7.5,2.23,10.10 N,336.10 NO,420.31,38.23,2.9,5.6,
2013-01-2,0,19.8,6.1,12.76,6.9,2.05,284.00 O,,279.05,29.8,1.8,4.61,
2013-01-21,0,21.6,8.1,14.13,10.2,2.09,150.70 SE,192.20 S,341.55,37.25,2.6,4.78,
2013-01-22,0,20.8,5.7,13.14,11.9,1.85,327.90 NO,316.70 NO,433.36,48.33,2.9,5.05,
2013-01-23,0,21,7.8,13.47,11,2.99,339.10 NO,331.40 NO,418.27,56.15,2.8,4.86,
2013-01-24,0,21.5,1.9,11.84,7.4,1.64,304.40 O,338.00 NO,465.87,52.15,3,5.11,
2013-01-25,0,22.2,2.5,13.26,6.7,1.69,69.00 NE,333.90 NO,465.9,43.49,3.2,5.36,
2013-01-26,0,22.7,2.3,13.52,10.4,3.31,148.00 SE,178.10 SE,457.24,37.92,3.6,5.72,
2013-01-27,0,23.7,3.7,14.87,12.3,3.86,208.40 S,229.10 SO,453.43,39.36,4,5.77,
2013-01-28,0,22.1,5.7,14.46,12.9,3.92,153.90 SE,203.60 S,367.97,47,3.3,4.84,
2013-01-29,0,21.4,6.4,13.98,17.8,6.26,237.60 SO,206.10 S,454.83,44.66,3.9,5.89,
2013-01-3,0,23.8,1.7,13,8.8,2.66,,252.90 SO,454.35,35.45,3.2,5.55,
2013-01-31,0,23.4,5.4,13.75,7.9,3.38,286.50 O,311.70 O,388.82,23.77,2.8,5.6,
Totales,47.6,20.18387096774193,5.148387096774195,12.528064516129032,11.74193548387097,3.7403225806451608,211.59 S,250.49 SO,367.50870967741935,51.891290322580645,82.10000000000001,147.15,
