Fecha, Pp, T_Max, T_Min, T_Med, VV_Max, VV, DWW, DV, Rag_G, HR, ET, EP 
2014-02-01,0,24.8,2.6,13.35,15.1,5.37,257.80 SO,226.30 SO,422.77,46.85,3.8,5.75,
2014-02-02,0,25.6,4.1,13.7,15.9,4.67,254.20 SO,236.30 SO,427.75,43.01,4,5.77,
2014-02-03,0,25.3,-0.5,12.62,14.1,4.01,235.70 SO,267.50 SO,430.8,48.76,3.7,5.41,
2014-02-04,0,25.2,2.2,13.75,17.8,5.31,285.30 O,242.90 SO,442.72,50.61,3.9,5.61,
2014-02-05,0,25,-0.1,12.51,14.7,3.09,278.00 O,279.90 O,441.81,54.08,3.6,5.14,
2014-02-06,0,24.8,3.2,14.04,12.3,3.82,242.30 SO,,440.41,51.1,3.5,5.35,
2014-02-07,0,25.7,0,12.64,11.4,2.58,165.50 SE,315.40 NO,436.03,50.67,3.5,5.13,
2014-02-08,0,26.1,1.1,12.86,9,1.55,115.10 E,20.60 N,451.52,48.17,3.4,5.17,
2014-02-09,0,27.5,2.1,14.39,5.4,1.35,161.70 SE,20.50 N,453.79,40.01,3.4,5.36,
2014-02-1,0,27.2,1,13.89,6.7,1.24,129.70 E,9.80 N,457.11,45.11,3.5,5.23,
2014-02-11,0,26.2,0.3,13.93,20.2,5.32,235.00 SO,258.40 SO,445.9,38.24,4.1,6.07,
2014-02-12,0,25.6,-0.8,13.21,6.2,1.6,22.80 N,34.20 N,471.57,33.19,3.5,5.59,
2014-02-13,0,26.4,-1.4,12.41,12.3,2.78,168.60 SE,323.60 NO,472.56,39.74,4,5.71,
2014-02-14,0,28.4,-1.3,13.18,3.9,0.6,84.40 NE,6.20 N,470.58,40.04,3.4,5.35,
2014-02-15,0,28.8,-0.6,14.25,5.6,0.88,202.60 S,16.50 N,473.38,34.33,3.6,5.58,
2014-02-16,0,28.3,-0.8,13.3,6.9,1.41,277.50 O,10.20 N,476.04,39.77,3.7,5.54,
2014-02-17,0,29.9,1.1,15.16,5.5,0.89,20.70 N,2.10 N,470.6,37.33,3.8,5.49,
2014-02-18,0,29.4,1.1,14.57,6.1,0.94,132.40 E,37.50 N,448.52,40.3,3.4,5.23,
2014-02-19,0,27.1,1.8,15.06,11.5,2.28,264.40 SO,271.30 O,447.83,43.58,4,5.32,
2014-02-2,0,25.7,2.8,14.5,21.7,4.25,277.10 O,288.20 O,400.25,42.53,3.8,5.31,
2014-02-21,0,25.1,0.8,13.37,11,2,213.70 S,345.90 NO,421.65,46.06,3.4,4.96,
2014-02-22,0,25.9,3.9,14.08,16.1,3.22,250.50 SO,275.90 O,358.1,48.2,3.1,4.72,
2014-02-23,0,25.8,1.7,13.68,11.7,2.08,191.10 S,131.10 E,450.12,50.8,3.6,5.11,
2014-02-24,0,26.3,2.8,14.75,12.4,2.2,158.00 SE,220.90 S,444.21,51.47,3.7,5.1,
2014-02-25,0,24.5,3.8,13.22,12,2.08,252.90 SO,297.10 O,265.66,54.25,2,3.71,
2014-02-26,0,27.5,1.1,15.21,17.5,3.32,258.60 SO,319.90 NO,457.52,44.85,4.5,5.58,
2014-02-27,0,26.3,6.2,16.44,6.9,1.29,96.70 E,64.80 NE,474.29,36.76,3.8,5.46,
2014-02-28,0,28.3,-0.2,13.9,9.8,2.24,270.20 O,137.50 SE,475.6,37.23,4.2,5.67,
Totales,0,26.525,1.3571428571428572,13.85607142857143,11.417857142857144,2.5846428571428572,196.52 S,174.46 SE,440.32464285714286,44.17999999999999,101.9,149.42000000000002,
