Fecha, Pp, T_Max, T_Min, T_Med, VV_Max, VV, DWW, DV, Rag_G, HR, ET, EP 
2014-02-01,0,23.4,4.7,13.24,13.9,4.01,212.80 S,216.60 S,355.14,42.76,3.2,5.05,
2014-02-02,0,25.7,2.1,13.19,11.1,2.97,230.30 SO,243.20 SO,456.36,42.33,4,5.61,
2014-02-03,0,24.6,2.5,13.83,14,3.63,233.10 SO,256.70 SO,446.79,42.55,3.7,5.58,
2014-02-04,0,25.2,7.6,15.4,16.9,6.32,237.60 SO,236.80 SO,469.1,46.3,4,6.05,
2014-02-05,0,23.7,1.9,13.56,12,2.63,226.70 SO,,454.73,47.66,3.8,5.22,
2014-02-06,0,24.2,3.9,14.09,13,3.14,260.80 SO,257.80 SO,469.01,47.55,3.8,5.41,
2014-02-07,0,24.5,3.1,13.58,12.9,3.1,240.10 SO,310.40 O,444.98,45.7,3.5,5.28,
2014-02-08,0,25.8,2.2,13.57,6.4,1.37,252.00 SO,30.70 N,458.5,43.1,3.7,5.21,
2014-02-09,0,26,2.5,14.53,7.5,1.37,210.70 S,328.40 NO,467.84,42.89,3.7,5.28,
2014-02-1,0,26,2.8,14.85,7.2,1.34,,228.00 SO,470.32,38.62,3.9,5.38,
2014-02-11,0,25.4,3.3,14.35,13.9,3.63,285.10 O,286.30 O,457.14,34.06,4.1,5.83,
2014-02-12,0,24.5,0.8,13.03,8.4,2.02,20.30 N,8.20 N,487.89,32.06,3.9,5.72,
2014-02-13,0,25.2,-0.1,13.06,8.4,2.1,211.10 S,260.60 SO,488.29,33.93,4.1,5.74,
2014-02-14,0,25.6,1.7,13.67,6.5,1.38,279.60 O,7.40 N,482.94,32.71,3.9,5.63,
2014-02-15,0,26.5,2.8,14.27,10.2,2.09,107.40 E,46.70 NE,440.2,31.73,3.5,5.56,
2014-02-16,0,26.3,1.3,14.62,5.3,1.46,216.90 S,326.70 NO,491.18,32.85,3.9,5.7,
2014-02-17,0,27.3,2.5,15.19,11.7,1.99,90.80 E,22.10 N,487.52,31.56,4,5.82,
2014-02-18,0,26.7,5,15.55,6.6,1.42,215.30 S,255.90 SO,439.24,30.71,3.7,5.34,
2014-02-19,0,26.2,3.9,15.55,7.9,1.8,286.00 O,278.20 O,457.65,38.85,3.9,5.3,
2014-02-2,0,25.5,4.1,14.47,13.3,3.46,275.10 O,317.20 NO,429.88,42.31,3.8,5.29,
2014-02-21,0,24.8,2.8,14.16,10.8,2.7,191.60 S,178.70 SE,409.84,47.11,3.3,4.89,
2014-02-22,0,25.3,8,15.49,12.3,3.2,264.00 SO,246.90 SO,338.16,45.42,3,4.58,
2014-02-23,0,24.6,4.9,14.97,10.9,2.19,218.80 S,244.10 SO,465.24,49.42,3.8,5.15,
2014-02-24,0,25.8,6.1,15.62,9.7,2.52,280.30 O,250.70 SO,486.89,45.31,3.9,5.47,
2014-02-25,0,23.7,5.3,14.33,11.7,2.83,302.90 O,339.80 NO,318.48,46.05,2.6,4.26,
2014-02-26,0,26.3,4.7,15.89,14.3,3.85,236.00 SO,274.90 O,486.63,41.34,4.6,5.83,
2014-02-27,0,26,4.2,15.31,9.7,2.5,287.40 O,288.90 O,501.7,35.54,4.2,5.81,
2014-02-28,0,26.9,2.6,14.84,11,2.65,316.20 NO,298.20 O,511.61,31.57,4.5,6.05,
Totales,0,25.417857142857148,3.471428571428571,14.436071428571426,10.625,2.631071428571429,232.25 SO,225.33 SO,452.6160714285715,40.07107142857142,106,152.04000000000002,
