Fecha, Pp, T_Max, T_Min, T_Med, VV_Max, VV, DWW, DV, Rag_G, HR, ET, EP 
2015-05-01,0,26.8,6,18.14,14.1,3.3,238.10 SO,104.70 E,502.3,40.17,4.7,5.72,
2015-05-01,0,26.8,6,18.14,14.1,3.3,238.10 SO,104.70 E,502.3,40.17,4.7,5.72,
2015-05-02,0,27.6,9.3,19.6,16.4,5.37,231.50 SO,172.40 SE,476.09,49.26,4.9,5.71,
2015-05-02,0,27.6,9.3,19.6,16.4,5.37,231.50 SO,172.40 SE,476.09,49.26,4.9,5.71,
2015-05-03,0,29.2,8.9,18.86,16.4,5.8,247.00 SO,166.60 SE,555.22,43.15,5.9,6.52,
2015-05-03,0,29.2,8.9,18.86,16.4,5.8,247.00 SO,166.60 SE,555.22,43.15,5.9,6.52,
2015-05-04,0,29.5,7.4,19.7,20.9,7.21,214.00 S,188.70 S,560.57,35.4,6.1,<null>,
2015-05-04,0,29.5,7.4,19.7,20.9,7.21,214.00 S,188.70 S,560.57,35.4,6.1,<null>,
2015-05-05,0,29.4,9.4,20.52,21.4,7.78,229.80 SO,218.50 S,477.87,39.35,5.5,6.53,
2015-05-05,0,29.4,9.4,20.52,21.4,7.78,229.80 SO,218.50 S,477.87,39.35,5.5,6.53,
2015-05-06,0,25.1,12.8,19.81,28.3,7.51,315.90 NO,354.80 NO,377.95,42.9,3.9,5.39,
2015-05-06,0,25.1,12.8,19.81,28.3,7.51,315.90 NO,354.80 NO,377.95,42.9,3.9,5.39,
2015-05-07,0,30.8,13.1,22.42,12.3,2.94,209.20 S,187.20 S,454.56,42.92,4.7,5.3,
2015-05-07,0,30.8,13.1,22.42,12.3,2.94,209.20 S,187.20 S,454.56,42.92,4.7,5.3,
2015-05-08,0,31.7,11.8,22.65,24.5,4.31,66.80 NE,145.10 SE,493.68,45.38,5.4,5.71,
2015-05-08,0,31.7,11.8,22.65,24.5,4.31,66.80 NE,145.10 SE,493.68,45.38,5.4,5.71,
2015-05-09,0,32,11.7,22.39,15.2,4.22,189.80 S,187.30 S,476.12,43.73,5.3,5.62,
2015-05-09,0,32,11.7,22.39,15.2,4.22,189.80 S,187.30 S,476.12,43.73,5.3,5.62,
2015-05-1,0,31.3,12.5,21.74,20.7,5.52,245.30 SO,201.10 S,380.01,35.85,4.5,5.51,
2015-05-1,0,31.3,12.5,21.74,20.7,5.52,245.30 SO,201.10 S,380.01,35.85,4.5,5.51,
2015-05-11,0,32.1,12.1,21.69,25,5.25,163.50 SE,154.30 SE,510.46,38.69,5.5,6.2,
2015-05-11,0,32.1,12.1,21.69,25,5.25,163.50 SE,154.30 SE,510.46,38.69,5.5,6.2,
2015-05-12,7,28.4,11.7,18.95,29.2,6.2,285.50 O,161.90 SE,396.66,63.24,3.7,4.48,
2015-05-12,7,28.4,11.7,18.95,29.2,6.2,285.50 O,161.90 SE,396.66,63.24,3.7,4.48,
2015-05-13,1.4,25.6,11.7,18.16,15.1,2.16,51.70 NE,146.90 SE,335.92,72.9,2.9,3.31,
2015-05-13,1.4,25.6,11.7,18.16,15.1,2.16,51.70 NE,146.90 SE,335.92,72.9,2.9,3.31,
2015-05-14,0,26.4,11.3,18.63,11.4,2.65,230.90 SO,167.90 SE,368.6,66.67,3.4,3.85,
2015-05-14,0,26.4,11.3,18.63,11.4,2.65,230.90 SO,167.90 SE,368.6,66.67,3.4,3.85,
2015-05-15,0,27.3,12.3,19.86,21.1,5.48,301.90 O,133.90 E,399.76,53.42,3.9,4.96,
2015-05-15,0,27.3,12.3,19.86,21.1,5.48,301.90 O,133.90 E,399.76,53.42,3.9,4.96,
2015-05-16,0,29.8,11.8,21.06,23.1,7.6,236.60 SO,209.50 S,513.92,49.14,5.8,6.32,
2015-05-16,0,29.8,11.8,21.06,23.1,7.6,236.60 SO,209.50 S,513.92,49.14,5.8,6.32,
2015-05-17,0,30.3,10,20.57,14.9,2.42,,132.80 E,507.64,45.56,5.1,5.44,
2015-05-17,0,30.3,10,20.57,14.9,2.42,,132.80 E,507.64,45.56,5.1,5.44,
2015-05-18,0,31.9,11.6,22.05,30.2,5.02,94.50 E,153.60 SE,503.3,47.46,5.5,5.86,
2015-05-18,0,31.9,11.6,22.05,30.2,5.02,94.50 E,153.60 SE,503.3,47.46,5.5,5.86,
2015-05-19,0,31.2,14.7,22.56,30.7,7.3,127.60 E,167.40 SE,429.24,54.09,5.3,5.44,
2015-05-19,0,31.2,14.7,22.56,30.7,7.3,127.60 E,167.40 SE,429.24,54.09,5.3,5.44,
2015-05-2,0,32.3,12,22.3,16,3.76,217.20 S,181.20 S,516.99,52.12,5,5.49,
2015-05-2,0,32.3,12,22.3,16,3.76,217.20 S,181.20 S,516.99,52.12,5,5.49,
2015-05-21,0,28.7,16.6,22.2,19.3,6.38,295.40 O,167.50 SE,449.1,51.01,4,5.35,
2015-05-21,0,28.7,16.6,22.2,19.3,6.38,295.40 O,167.50 SE,449.1,51.01,4,5.35,
2015-05-22,0,29.9,11.2,19.98,38,7.41,86.00 NE,198.30 S,520.38,56.89,5.2,5.76,
2015-05-22,0,29.9,11.2,19.98,38,7.41,86.00 NE,198.30 S,520.38,56.89,5.2,5.76,
2015-05-23,0,28.4,11.5,19.89,27,6.15,198.90 S,172.40 SE,497.85,63.44,5.5,5.15,
2015-05-23,0,28.4,11.5,19.89,27,6.15,198.90 S,172.40 SE,497.85,63.44,5.5,5.15,
2015-05-24,0,28.1,12,20.42,29.4,4.99,196.10 S,178.90 SE,464.75,60.02,4.8,4.96,
2015-05-24,0,28.1,12,20.42,29.4,4.99,196.10 S,178.90 SE,464.75,60.02,4.8,4.96,
2015-05-25,0,30.1,10.9,20.81,17.5,4.02,229.90 SO,183.50 S,493.78,50.3,5,5.46,
2015-05-25,0,30.1,10.9,20.81,17.5,4.02,229.90 SO,183.50 S,493.78,50.3,5,5.46,
2015-05-26,0,31.2,10.8,21.65,21.1,2.89,96.50 E,132.00 E,529.57,39.58,5.3,5.85,
2015-05-26,0,31.2,10.8,21.65,21.1,2.89,96.50 E,132.00 E,529.57,39.58,5.3,5.85,
2015-05-27,0,31,17.4,23.65,22.4,3.83,82.30 NE,145.40 SE,504.5,42.02,5.1,5.77,
2015-05-27,0,31,17.4,23.65,22.4,3.83,82.30 NE,145.40 SE,504.5,42.02,5.1,5.77,
2015-05-28,1.4,28.7,15.9,21.31,24.2,6.84,106.50 E,158.20 SE,378.43,59.11,4.3,4.63,
2015-05-28,1.4,28.7,15.9,21.31,24.2,6.84,106.50 E,158.20 SE,378.43,59.11,4.3,4.63,
2015-05-29,4.8,28.2,12.9,19.65,21.6,6.13,306.90 O,115.50 E,391.19,65.98,4.1,4.3,
2015-05-29,4.8,28.2,12.9,19.65,21.6,6.13,306.90 O,115.50 E,391.19,65.98,4.1,4.3,
2015-05-3,2,25.2,13.8,18.35,17.1,4.25,306.00 O,105.40 E,376.34,74.29,3.5,3.66,
2015-05-3,2,25.2,13.8,18.35,17.1,4.25,306.00 O,105.40 E,376.34,74.29,3.5,3.66,
2015-05-31,0,26.1,12.7,19.82,20.3,5.97,82.90 NE,92.10 E,378.36,57.44,4.3,4.61,
2015-05-31,0,26.1,12.7,19.82,20.3,5.97,82.90 NE,92.10 E,378.36,57.44,4.3,4.61,
Totales,33.2,29.17096774193548,11.864516129032255,20.62548387096774,21.445161290322584,5.18258064516129,197.05 S,167.26 SE,458.74548387096763,51.015483870967756,296.2,317.71999999999997,
