Numero, Fecha, Pp, T_Max, T_Min, T_Med, VV_Max, VV, DWW, DV, Rag_G, HR, ET, EP 
2,2014-01-01,2,14.3,8.4,10.32,6,0.86,177 SE,52.9 NE,151.09,95.5,0.7,1.97,
2,2014-01-02,0.4,20.7,7.2,12.07,12.8,2.51,77.9 NE,30.5 N,374.62,80.04,2.3,4.15,
2,2014-01-03,0,17.5,2.9,9.52,7.2,1.68,199.6 S,39 N,360.84,77.7,2.1,4.14,
2,2014-01-04,0,19.8,0.2,9.47,16.6,3.23,253.7 SO,312.1 O,352.41,73.51,2.6,4.17,
2,2014-01-05,0,20.5,1.4,10.75,10.2,2.46,248.1 SO,272 O,350.61,70.16,2.4,4.19,
2,2014-01-06,0,17.8,4.1,10.43,3.9,0.82,3.6 N,2 N,208.91,78.89,1.1,2.81,
2,2014-01-07,0.2,17.8,3.8,8.77,4.1,1.09,232.2 SO,334.6 NO,305.98,77.5,1.8,3.65,
2,2014-01-08,0,20.1,-0.3,9.19,18.5,3.31,266.2 SO,8.9 N,403.28,72.2,2.8,4.65,
2,2014-01-09,0,20.4,-1.2,9.1,15.3,3.56,205 S,54.9 NE,394.45,66.21,2.8,4.8,
2,2014-01-10,0,20.9,-2,9.52,24.3,5.94,265.1 SO,294.2 O,400.51,62.61,3.2,5.23,
2,2014-01-11,2.2,14,0.3,6.78,9.2,0.68,274.8 O,14 N,119.62,85.88,0.3,1.93,
2,2014-01-12,2,16.8,2.7,9.38,14,3.1,194.6 S,285.9 O,255.47,85.43,1.5,3.33,
2,2014-01-13,0,21.3,-1.2,9.5,7.3,1.48,23.6 N,12 N,423.12,64.74,2.9,4.9,
2,2014-01-14,0,21.5,-1,9.83,5,1.51,293.7 O,13.2 N,416.87,63.33,2.7,4.88,
2,2014-01-15,0,18.5,-0.3,8.11,13,3.7,79.5 NE,43.2 N,420.53,58.39,3,5.29,
2,2014-01-16,0,20.7,-4.2,7.62,6.6,1.54,94.7 E,26.3 N,405.9,61.56,2.7,4.81,
2,2014-01-17,0,21.6,-2.4,8.8,6.6,1.78,7.8 N,12 N,427.95,52.57,3,5.24,
2,2014-01-18,0,21.6,-3.3,8.25,7,1.73,166.9 SE,29.6 N,417.01,59.34,2.9,5.02,
2,2014-01-19,0,22.3,-1.4,9.13,6.7,1.52,214 S,35.4 N,364.31,58.31,2.5,4.62,
2,2014-01-20,0,23.2,-2,10.23,7.5,1.85,198.7 S,26.1 N,407.59,59.67,3,4.9,
2,2014-01-21,0,23.4,3.3,12.18,13.6,3.68,78.9 NE,33.4 N,415.86,48.26,3.3,5.49,
2,2014-01-22,0,23.3,-1,10.56,8.5,1.86,168.4 SE,33.2 N,411.82,58.93,3,4.82,
2,2014-01-23,0,24.7,1.1,11.73,10.2,2.19,264.5 SO,1 N,393.22,60.18,3,4.68,
2,2014-01-24,0,23.8,2,12.4,4.5,1.42,353.2 NO,323.3 NO,414.8,67.75,2.8,4.52,
2,2014-01-25,0,25.7,5.6,13.35,6.6,1.34,206 S,6.6 N,348.49,69.52,2.5,4.03,
2,2014-01-26,0,25.8,2.1,12.95,15.1,3.18,271.5 O,302.7 O,382.1,56.38,3.2,4.76,
2,2014-01-27,0,24.6,0.2,12.47,14.5,3.23,228 SO,282.9 O,410.78,50.77,3.3,5.07,
2,2014-01-28,0,23.2,0.8,12.56,19.4,5.24,246.2 SO,262.8 SO,401.45,51.76,3.7,5.24,
2,2014-01-29,0,21,0,11.06,4.7,1.48,105.3 E,10.9 N,432.67,59.77,3.2,4.77,
2,2014-01-30,0,22.9,-1.1,10.62,6.5,1.49,231.6 SO,46.8 NE,437.88,61.91,3.1,4.79,
2,2014-01-31,0,24.7,-1.4,11.64,12.5,3.1,166.3 SE,320.9 NO,448.25,54.08,3.5,5.32,
2,2014-02-01,0,24.8,2.6,13.35,15.1,5.37,257.8 SO,226.3 SO,422.77,46.85,3.8,5.75,
2,2014-02-02,0,25.6,4.1,13.7,15.9,4.67,254.2 SO,236.3 SO,427.75,43.01,4,5.77,
2,2014-02-03,0,25.3,-0.5,12.62,14.1,4.01,235.7 SO,267.5 SO,430.8,48.76,3.7,5.41,
2,2014-02-04,0,25.2,2.2,13.75,17.8,5.31,285.3 O,242.9 SO,442.72,50.61,3.9,5.61,
2,2014-02-05,0,25,-0.1,12.51,14.7,3.09,278 O,279.9 O,441.81,54.08,3.6,5.14,
2,2014-02-06,0,24.8,3.2,14.04,12.3,3.82,242.3 SO,,440.41,51.1,3.5,5.35,
2,2014-02-07,0,25.7,0,12.64,11.4,2.58,165.5 SE,315.4 NO,436.03,50.67,3.5,5.13,
2,2014-02-08,0,26.1,1.1,12.86,9,1.55,115.1 E,20.6 N,451.52,48.17,3.4,5.17,
2,2014-02-09,0,27.5,2.1,14.39,5.4,1.35,161.7 SE,20.5 N,453.79,40.01,3.4,5.36,
2,2014-02-10,0,27.2,1,13.89,6.7,1.24,129.7 E,9.8 N,457.11,45.11,3.5,5.23,
2,2014-02-11,0,26.2,0.3,13.93,20.2,5.32,235 SO,258.4 SO,445.9,38.24,4.1,6.07,
2,2014-02-12,0,25.6,-0.8,13.21,6.2,1.6,22.8 N,34.2 N,471.57,33.19,3.5,5.59,
2,2014-02-13,0,26.4,-1.4,12.41,12.3,2.78,168.6 SE,323.6 NO,472.56,39.74,4,5.71,
2,2014-02-14,0,28.4,-1.3,13.18,3.9,0.6,84.4 NE,6.2 N,470.58,40.04,3.4,5.35,
2,2014-02-15,0,28.8,-0.6,14.25,5.6,0.88,202.6 S,16.5 N,473.38,34.33,3.6,5.58,
2,2014-02-16,0,28.3,-0.8,13.3,6.9,1.41,277.5 O,10.2 N,476.04,39.77,3.7,5.54,
2,2014-02-17,0,29.9,1.1,15.16,5.5,0.89,20.7 N,2.1 N,470.6,37.33,3.8,5.49,
2,2014-02-18,0,29.4,1.1,14.57,6.1,0.94,132.4 E,37.5 N,448.52,40.3,3.4,5.23,
2,2014-02-19,0,27.1,1.8,15.06,11.5,2.28,264.4 SO,271.3 O,447.83,43.58,4,5.32,
2,2014-02-20,0,25.7,2.8,14.5,21.7,4.25,277.1 O,288.2 O,400.25,42.53,3.8,5.31,
2,2014-02-21,0,25.1,0.8,13.37,11,2,213.7 S,345.9 NO,421.65,46.06,3.4,4.96,
2,2014-02-22,0,25.9,3.9,14.08,16.1,3.22,250.5 SO,275.9 O,358.1,48.2,3.1,4.72,
2,2014-02-23,0,25.8,1.7,13.68,11.7,2.08,191.1 S,131.1 E,450.12,50.8,3.6,5.11,
2,2014-02-24,0,26.3,2.8,14.75,12.4,2.2,158 SE,220.9 S,444.21,51.47,3.7,5.1,
2,2014-02-25,0,24.5,3.8,13.22,12,2.08,252.9 SO,297.1 O,265.66,54.25,2,3.71,
2,2014-02-26,0,27.5,1.1,15.21,17.5,3.32,258.6 SO,319.9 NO,457.52,44.85,4.5,5.58,
2,2014-02-27,0,26.3,6.2,16.44,6.9,1.29,96.7 E,64.8 NE,474.29,36.76,3.8,5.46,
2,2014-02-28,0,28.3,-0.2,13.9,9.8,2.24,270.2 O,137.5 SE,475.6,37.23,4.2,5.67,
2,2014-03-01,0,28.1,-0.2,14.3,16.5,3.43,160.9 SE,15.1 N,466.43,39.94,4.1,5.75,
2,2014-03-02,0,28.1,2.6,15.71,16.9,2.84,173.3 SE,156 SE,468.23,41.16,4.1,5.63,
2,2014-03-03,0,26.7,4.2,15.84,14.8,3.15,177.4 SE,185.7 S,413.95,39.08,3.8,5.36,
2,2014-03-04,0,26.5,4.4,16.49,16.1,5.65,237.5 SO,254.3 SO,481.27,34.55,5.1,6.42,
2,2014-03-05,0,26.2,6.4,15.86,21.8,7.02,271.8 O,218 S,509.83,33.58,4.9,6.88,
2,2014-03-06,0,25.7,1.7,14.22,7.7,1.25,254.2 SO,17.1 N,465.95,37.04,3.6,5.26,
2,2014-03-07,0,26.1,2.5,14.92,17.1,6.21,257.2 SO,264 SO,468.17,42.81,4.9,6.1,
2,2014-03-08,0,25.4,9.3,16.4,18.3,6.8,251.4 SO,213.3 S,411.5,46.59,3.9,5.68,
2,2014-03-09,2.6,24,3.4,13.95,19.3,5.34,166.2 SE,210.9 S,426.26,63.47,3.6,4.88,
2,2014-03-10,0.2,22.4,5.1,13.3,25.3,8.36,245.6 SO,232.6 SO,432.75,61.39,3.9,5.34,
2,2014-03-11,0,26.3,-2.6,11.86,9.9,2.77,186.7 S,207.6 S,548.88,45.2,4.6,6.01,
2,2014-03-12,0,27.1,-1.4,13.26,9.5,1.9,247 SO,331.3 NO,541.73,38.53,4.7,6.09,
2,2014-03-13,0,27,2.6,14.99,12.8,2.91,191.8 S,85.1 NE,507.59,48.45,4.5,5.79,
2,2014-03-14,0,28.1,2.3,15.34,17.3,5,243.6 SO,244 SO,524.64,33.73,5.3,6.79,
2,2014-03-15,0,28.3,0.5,15.86,18,5.75,262.5 SO,279.4 O,541.07,33.61,5.5,7,
2,2014-03-16,0,25.5,2.9,13.67,25.5,6.54,235.1 SO,290.9 O,482.58,34.03,5,6.59,
2,2014-03-17,0,23.6,2.5,11.43,7.1,2.01,354.1 NO,346.8 NO,523.15,35.3,3.9,5.89,
2,2014-03-18,0,25.8,-2.2,12.56,27.4,5.58,262.2 SO,279.3 O,540.91,34.69,5.2,6.89,
2,2014-03-19,0,26.1,1.4,14.61,15.6,3.55,191.9 S,146.9 SE,524.45,43.94,4.5,6.15,
2,2014-03-20,0,28.5,3.9,16.59,8.8,1.68,204.8 S,271.2 O,505.36,50.32,4.3,5.55,
2,2014-03-21,0,31.2,4.2,18.12,9.1,2.12,263.7 SO,284.5 O,534.83,48.6,4.8,5.82,
2,2014-03-22,0,31,5.6,19,13.9,2.21,145 SE,214.8 S,448.31,41.56,4.4,5.38,
2,2014-03-23,0,31.8,5.6,19.34,13.3,3.17,267 SO,257.5 SO,499.2,37.62,4.9,5.97,
2,2014-03-24,0,30,6.1,18.55,13,1.66,260.5 SO,340.4 NO,370.92,33,3.3,4.81,
2,2014-03-25,0,30.5,6.8,18.86,16.7,3.41,280.8 O,265.2 SO,532.01,38.24,5.4,6.08,
2,2014-03-26,0,28.3,4,17.55,20.4,6.2,267.7 SO,276.8 O,503.66,44.16,5.7,6.14,
2,2014-03-27,0,26.4,8.4,17.79,17.7,6.37,260 SO,242.2 SO,377.89,33.4,4.2,5.72,
2,2014-03-28,0,27.3,4.9,15.4,12.7,2.27,271.6 O,282.7 O,372.44,42.19,3.3,4.62,
2,2014-03-29,0,28,4.2,16.37,17.1,4.42,98.2 E,83.6 NE,398.64,44.58,3.8,5.23,
2,2014-03-30,0,27.6,8.2,17.8,24.5,3.67,243.4 SO,206.1 S,475.89,44.15,4.1,5.62,
2,2014-03-31,0,29.8,4.6,17.37,10.7,2.86,153.3 SE,227.9 SO,555.87,37.88,5.1,6.25,
2,2014-04-01,0,30.1,3.4,18,16.8,3.54,260.1 SO,283.4 O,550.37,30.75,5.3,6.56,
2,2014-04-02,0,29.9,2.2,17.94,17.3,5.13,248.7 SO,270.9 O,572.62,27.59,6.3,<null>,
2,2014-04-03,0,29.8,2.3,18.1,14.9,4.06,277 O,288.7 O,491.91,24.76,4.9,6.47,
2,2014-04-04,0,30.5,3.1,17.71,12.6,2.31,147.2 SE,200.9 S,544.43,24.65,5,6.37,
