Numero, Fecha, Pp, T_Max, T_Min, T_Med, VV_Max, VV, DWW, DV, Rag_G, HR, ET, EP 
396,2012-01-01,0,<null>,<null>,<null>,0,0,324.7 NO,325.6 NO,<null>,<null>,<null>,<null>,
396,2012-01-02,0,<null>,<null>,<null>,0,0,328.7 NO,305.3 O,<null>,12.85,<null>,<null>,
396,2012-01-03,0,<null>,<null>,<null>,0,0,274.1 O,292.5 O,<null>,21.65,<null>,<null>,
396,2012-01-04,0,<null>,<null>,<null>,0,0,308.8 O,318.3 NO,<null>,6.3,<null>,<null>,
396,2012-01-05,0,<null>,<null>,<null>,0,0,325.3 NO,324.7 NO,<null>,<null>,<null>,<null>,
396,2012-01-06,0,<null>,<null>,<null>,0,0,327.4 NO,326.9 NO,<null>,<null>,<null>,<null>,
396,2012-01-07,0,<null>,<null>,<null>,0,0,324.7 NO,324.1 NO,<null>,<null>,<null>,<null>,
396,2012-01-08,0,<null>,<null>,<null>,0,0,325.3 NO,324.5 NO,<null>,<null>,<null>,<null>,
396,2012-01-09,0,<null>,<null>,<null>,0,0,325.5 NO,325 NO,<null>,<null>,<null>,<null>,
396,2012-01-10,0,<null>,<null>,<null>,0,0,325.2 NO,324.7 NO,<null>,<null>,<null>,<null>,
396,2012-01-11,0.3,<null>,<null>,<null>,0,0,325.5 NO,324.6 NO,<null>,<null>,<null>,<null>,
396,2012-01-12,0.3,<null>,<null>,<null>,0,0,325.3 NO,323.9 NO,<null>,<null>,<null>,<null>,
396,2012-01-13,0.3,<null>,<null>,<null>,0,0,324.4 NO,323.8 NO,<null>,<null>,<null>,<null>,
396,2012-01-14,0,<null>,<null>,<null>,0,0,325.3 NO,325.1 NO,<null>,<null>,<null>,<null>,
396,2012-01-15,0,<null>,<null>,<null>,0,0,326.6 NO,327.9 NO,<null>,<null>,<null>,<null>,
396,2012-01-16,0,<null>,<null>,<null>,0,0,325.5 NO,324 NO,<null>,<null>,<null>,<null>,
396,2012-01-17,0,<null>,<null>,<null>,0,0,324.3 NO,323.5 NO,<null>,<null>,<null>,<null>,
396,2012-01-18,0.3,<null>,<null>,<null>,0,0,324.1 NO,324 NO,<null>,<null>,<null>,<null>,
396,2012-01-19,0.3,<null>,<null>,<null>,0,0,324.4 NO,323.7 NO,<null>,<null>,<null>,<null>,
396,2012-01-20,0,<null>,<null>,<null>,0,0,324.1 NO,323.6 NO,<null>,<null>,<null>,<null>,
396,2012-01-21,0,<null>,<null>,<null>,0,0,324.2 NO,323.3 NO,<null>,<null>,<null>,<null>,
396,2012-01-22,0,<null>,<null>,<null>,0,0,325.2 NO,323.3 NO,<null>,<null>,<null>,<null>,
396,2012-01-23,0,<null>,<null>,<null>,0,0,325 NO,323.3 NO,<null>,<null>,<null>,<null>,
396,2012-01-24,0,<null>,<null>,<null>,0,0,323 NO,323.8 NO,<null>,<null>,<null>,<null>,
396,2012-01-25,0,<null>,<null>,<null>,0,0,325.5 NO,323.6 NO,<null>,<null>,<null>,<null>,
396,2012-01-26,0,<null>,<null>,<null>,0,0,324.4 NO,323.8 NO,<null>,<null>,<null>,<null>,
396,2012-01-27,0.3,<null>,<null>,<null>,0,0,325.8 NO,324.2 NO,<null>,<null>,<null>,<null>,
396,2012-01-28,0,<null>,<null>,<null>,0,0,325.5 NO,324.1 NO,<null>,<null>,<null>,<null>,
396,2012-01-29,0,<null>,<null>,<null>,0,0,325.6 NO,327.2 NO,<null>,72.05,<null>,<null>,
396,2012-01-30,0,-6.4,-11.8,-9.75,0,0,294.9 O,278.8 O,<null>,56.42,<null>,<null>,
396,2012-01-31,0,-0.5,-11.8,-6.95,0,0,258.1 SO,262.7 SO,<null>,36.55,<null>,<null>,
396,2012-02-01,0,-5.1,-8.9,-6.82,0,0,279.2 O,292 O,<null>,25.22,<null>,<null>,
396,2012-02-02,0.3,<null>,<null>,<null>,0,0,309.5 O,309.7 O,<null>,16.35,<null>,<null>,
396,2012-02-03,0,<null>,<null>,<null>,0,0,326.1 NO,325.5 NO,<null>,2.56,<null>,<null>,
396,2012-02-04,0,<null>,<null>,<null>,0,0,325.3 NO,323.2 NO,<null>,<null>,<null>,<null>,
396,2012-02-05,0,<null>,<null>,<null>,0,0,324.1 NO,324.1 NO,<null>,<null>,<null>,<null>,
396,2012-02-06,0,<null>,<null>,<null>,0,0,325.9 NO,327 NO,<null>,1.4,<null>,<null>,
396,2012-02-07,0,<null>,<null>,<null>,0,0,325.3 NO,326.4 NO,<null>,<null>,<null>,<null>,
396,2012-02-08,0,<null>,<null>,<null>,0,0,329 NO,331.8 NO,<null>,<null>,<null>,<null>,
396,2012-02-09,3.9,<null>,<null>,<null>,0,0,308.2 O,311.9 O,<null>,14.78,<null>,<null>,
396,2012-02-10,0,<null>,<null>,<null>,0,0,315.3 NO,300.7 O,<null>,19.54,<null>,<null>,
396,2012-02-11,0,9.9,-8.9,3.05,0,0,298.3 O,249.2 SO,<null>,46.69,<null>,<null>,
396,2012-02-12,<null>,25.6,9.1,19.77,0,0,300.5 O,249.7 SO,<null>,69.72,<null>,<null>,
396,2012-02-13,<null>,32.9,-5.4,15.15,0,0,172.5 SE,214 S,<null>,74.62,<null>,<null>,
396,2012-02-14,0,31,1.4,14.41,0,0,243.7 SO,225.5 SO,<null>,72.32,<null>,<null>,
396,2012-02-15,0,23.4,-2.3,12.27,0,0,237.3 SO,235.9 SO,<null>,68.5,<null>,<null>,
396,2012-02-16,0,29.6,11.5,19.95,0,0,225.8 SO,222.7 S,<null>,75.39,<null>,<null>,
396,2012-02-17,0,24.4,-7.3,13.15,0,0,242.6 SO,258.8 SO,<null>,61.73,<null>,<null>,
396,2012-02-18,0,13.1,-8.3,1.94,0,0,291.4 O,288.3 O,<null>,51.19,<null>,<null>,
396,2012-02-19,0,<null>,<null>,<null>,0,0,335.5 NO,328.7 NO,<null>,5.86,<null>,<null>,
396,2012-02-20,0.3,<null>,<null>,<null>,0,0,325.3 NO,322.8 NO,<null>,<null>,<null>,<null>,
396,2012-02-21,0.3,<null>,<null>,<null>,0,0,323.5 NO,322.7 NO,<null>,<null>,<null>,<null>,
396,2012-02-22,0,<null>,<null>,<null>,0,0,325.3 NO,323.6 NO,<null>,<null>,<null>,<null>,
396,2012-02-23,0,<null>,<null>,<null>,0,0,321.1 NO,325.9 NO,<null>,<null>,<null>,<null>,
396,2012-02-24,0,<null>,<null>,<null>,0,0,335.8 NO,328.3 NO,<null>,3.39,<null>,<null>,
396,2012-02-25,0.3,<null>,<null>,<null>,0,0,324.7 NO,327.9 NO,<null>,<null>,<null>,<null>,
396,2012-02-26,0,<null>,<null>,<null>,0,0,325.3 NO,323 NO,<null>,<null>,<null>,<null>,
396,2012-02-27,0.3,<null>,<null>,<null>,0,0,323 NO,322.2 NO,<null>,<null>,<null>,<null>,
396,2012-02-28,0,<null>,<null>,<null>,0,0,322.7 NO,321.7 NO,<null>,<null>,<null>,<null>,
396,2012-02-29,0,<null>,<null>,<null>,0,0,324.7 NO,321.6 NO,<null>,<null>,<null>,<null>,
396,2012-03-01,0,<null>,<null>,<null>,0,0,324.2 NO,321.8 NO,<null>,<null>,<null>,<null>,
4080,2012-01-01,0,23.5,6.4,14.25,16.8,4.24,314 O,317.9 NO,<null>,64.55,<null>,<null>,
4080,2012-01-02,0,18.6,4.9,12.96,9.2,4.15,69.9 NE,331.8 NO,<null>,73.12,<null>,<null>,
4080,2012-01-03,0,17.6,2.3,9.78,9.9,2.78,328.2 NO,278.9 O,<null>,68.99,<null>,<null>,
4080,2012-01-04,0,20.2,0.1,9.56,7.3,1.77,347.8 NO,313.6 O,<null>,52.85,<null>,<null>,
4080,2012-01-05,0,20.5,0.6,10.87,14.5,3.01,59.3 NE,257 SO,<null>,49.93,<null>,<null>,
4080,2012-01-06,0,18.2,4,11.07,7.1,1.38,52 NE,85.4 NE,<null>,49.73,<null>,<null>,
4080,2012-01-07,0,22.1,-1.2,10.8,18.1,3.06,78.9 NE,102 E,<null>,46.51,<null>,<null>,
4080,2012-01-08,0,23.6,4.4,12.89,29.2,5.16,101.6 E,119 E,<null>,44.59,<null>,<null>,
4080,2012-01-09,0,21.1,5.5,12.26,27.9,5.99,105.8 E,109.3 E,<null>,39.89,<null>,<null>,
4080,2012-01-10,0,23.5,5.7,13.2,27.2,4.45,93.6 E,118.2 E,<null>,37.99,<null>,<null>,
4080,2012-01-11,0,23.7,-1.3,10.91,14.1,2.17,145.2 SE,266.4 SO,<null>,33.92,<null>,<null>,
4080,2012-01-12,0,23.7,-2.3,11.04,18.1,3.64,142.9 SE,168.7 SE,<null>,32.84,<null>,<null>,
4080,2012-01-13,0,22.7,3.4,13.84,17.5,2.9,108.6 E,199 S,<null>,31.55,<null>,<null>,
4080,2012-01-14,0,18.7,6.8,12.28,12.7,1.54,324 NO,305.5 O,<null>,49.03,<null>,<null>,
4080,2012-01-15,0,22.8,4.4,13.48,9.4,1.63,101.6 E,352.2 NO,<null>,61.08,<null>,<null>,
4080,2012-01-16,0,24.9,4.6,14.23,12,1.5,146.6 SE,342.8 NO,<null>,60.12,<null>,<null>,
4080,2012-01-17,0,24.8,3.7,13.98,9.9,1.28,86.1 NE,339.8 NO,<null>,46.47,<null>,<null>,
4080,2012-01-18,0,24.3,4.2,13.4,11.5,1.66,99 E,248.2 SO,<null>,44.48,<null>,<null>,
4080,2012-01-19,0,24.8,6,15.12,18.9,2.74,91.6 E,162.7 SE,<null>,48.75,<null>,<null>,
4080,2012-01-20,0,26.4,3.6,14.54,10.8,1.94,75.7 NE,158.8 SE,<null>,36.29,<null>,<null>,
4080,2012-01-21,0,26.5,2.4,14.21,19.6,2.58,76 NE,68.8 NE,<null>,34.07,<null>,<null>,
4080,2012-01-22,0,24.8,4,14.34,11.1,1.75,49.5 NE,121.3 E,<null>,39.78,<null>,<null>,
4080,2012-01-23,0,25.4,2.9,15.02,26.1,3.42,86.3 NE,71.2 NE,<null>,37.42,<null>,<null>,
4080,2012-01-24,0,25,3.2,13.87,27.4,7.83,153.4 SE,135.3 SE,<null>,48.11,<null>,<null>,
4080,2012-01-25,0,22.5,11.1,16.8,18.1,17.95,169.1 SE,133.8 E,<null>,43.7,<null>,<null>,
4080,2012-01-26,0,18.8,5.9,13.59,13.9,5.31,332.2 NO,297.8 O,<null>,25.51,<null>,<null>,
4080,2012-01-27,0,22.5,-2,10.84,24.3,3.52,86.9 NE,277.4 O,<null>,32.26,<null>,<null>,
4080,2012-01-28,0,21.9,0.3,11.82,22.4,3.83,105.5 E,86 NE,<null>,42.39,<null>,<null>,
4080,2012-01-29,16,19.4,3.8,11.34,21.2,4.49,358.9 NO,357.1 NO,<null>,74.83,<null>,<null>,
4080,2012-01-30,2.6,12.2,8.7,10.39,13.8,2.22,75.7 NE,125.1 E,<null>,94.87,<null>,<null>,
4080,2012-01-31,0.3,18.4,5.8,12.09,15.5,2.39,111.9 E,101.1 E,<null>,74.31,<null>,<null>,
4080,2012-02-01,0,21.9,6.7,14.05,9.1,0.83,311.1 O,353.8 NO,<null>,68.07,<null>,<null>,
4080,2012-02-02,0,23.8,6.6,14.7,23.7,4.58,96.6 E,133 E,<null>,62.43,<null>,<null>,
4080,2012-02-03,0,24.2,5.8,15.17,21.3,4.41,77.5 NE,123.3 E,<null>,56.56,<null>,<null>,
4080,2012-02-04,0,25.6,3.2,14.88,22.1,3.45,80.4 NE,276.5 O,<null>,54.58,<null>,<null>,
4080,2012-02-05,0,20.9,8.6,14.29,21.4,2.82,103.6 E,,<null>,58.96,<null>,<null>,
4080,2012-02-06,0,23.1,3.7,13.13,19.8,3.26,85.9 NE,181.2 S,<null>,47.78,<null>,<null>,
4080,2012-02-07,0,16,6.1,10.61,27.6,3.94,69.5 NE,76.1 NE,<null>,60.27,<null>,<null>,
4080,2012-02-08,11.7,19.9,-0.1,9.89,23.1,4.07,108.5 E,53.6 NE,<null>,65.29,<null>,<null>,
4080,2012-02-09,8.4,18.6,4.4,10.67,25,4.63,90 E,274.3 O,<null>,69.32,<null>,<null>,
4080,2012-02-10,0,15.9,7.9,11.22,11.4,2.71,109.5 E,106.1 E,<null>,75.66,<null>,<null>,
4080,2012-02-11,23.9,11.1,8.6,9.77,9.8,1.85,255.1 SO,237.6 SO,<null>,90.29,<null>,<null>,
