Numero, Fecha, Pp, T_Max, T_Min, T_Med, VV_Max, VV, DWW, DV, Rag_G, HR, ET, EP 
22581,2013-02-01,0,26.6,2,14.19,4,1.02,124.20 E,87.30 NE,402.24,39.62,2.5,4.94,
22581,2013-02-02,0,26.3,6,15.61,7.7,2.07,12.10 N,17.50 N,398.17,35.21,3.2,5.2,
22581,2013-02-03,0,24.3,3.3,14.14,6.9,1.45,12.40 N,130.30 E,399.18,38.23,2.7,4.88,
22581,2013-02-04,0,25.3,4.2,15.98,14.4,4.13,270.50 O,228.30 SO,394.98,34.57,3.6,5.5,
22581,2013-02-05,0,25.4,4.4,15.75,12.3,2.42,279.90 O,207.00 S,396.34,34.12,3.3,5.14,
22581,2013-02-06,0,25.7,4.9,16.68,12.5,3.33,270.10 O,241.50 SO,413.12,31.12,3.7,5.54,
22581,2013-02-07,0,26.3,3.9,16.05,8.4,1.84,267.70 SO,263.50 SO,427.42,28.72,3.3,5.33,
22581,2013-02-08,0,26.4,5.8,16.04,8.7,1.45,316.80 NO,188.20 S,405.11,28.11,3.2,5.11,
22581,2013-02-09,0,25.4,3.4,15.2,14.4,3.12,202.20 S,199.80 S,408.84,34.17,3.5,5.3,
22581,2013-02-10,0,24.5,5.9,15.3,13.6,4,274.80 O,214.50 S,410.54,36.85,3.9,5.41,
22581,2013-02-11,0,24.4,4.2,15.25,14.3,2.48,267.20 SO,218.80 S,419.47,38.21,3.3,5.15,
22581,2013-02-12,0,26,3.5,15.69,13.1,3.09,274.50 O,219.50 S,428.48,37.49,3.7,5.42,
22581,2013-02-13,0,25.4,6.5,15.99,18.7,5.22,275.20 O,234.00 SO,433.21,35.12,4.2,5.92,
22581,2013-02-14,0,23.6,2,13.4,9.8,2.11,30.50 N,274.80 O,462.16,30.99,3.3,5.53,
22581,2013-02-15,0,22.8,-1.1,11.86,3.7,0.79,300.30 O,59.80 NE,407.06,24.78,2.7,5.02,
22581,2013-02-16,0,21.5,4.2,11.95,14.9,3.86,4.90 N,9.10 N,438.24,37.98,3.1,5.62,
22581,2013-02-17,0,25.1,2.2,13.66,11.9,2.48,282.60 O,240.30 SO,448.73,49.15,3.6,5.29,
22581,2013-02-18,0,26.6,7.4,17.49,11.7,3.42,247.50 SO,253.80 SO,472.65,21.99,4.2,6.46,
22581,2013-02-19,0,26.4,4,16.08,2.9,0.84,282.80 O,62.60 NE,459.79,29.69,3.4,5.42,
22581,2013-02-20,0,25.3,7.1,16.46,12.5,2.63,277.80 O,209.80 S,407.1,29.33,3.7,5.35,
22581,2013-02-21,0,24.5,7.4,16.37,17.1,4.17,247.70 SO,209.00 S,434.74,32.58,3.9,5.68,
22581,2013-02-22,0,24.6,6.6,16.01,11.8,2.63,213.10 S,204.80 S,462.94,35.31,3.8,5.51,
22581,2013-02-23,0,25.6,5.6,16.34,11.4,2.33,267.70 SO,235.70 SO,450.62,32,3.7,5.48,
22581,2013-02-24,0,24.5,5.1,15.38,11.3,3.28,245.10 SO,225.60 SO,429.46,35.77,3.6,5.39,
22581,2013-02-25,0,23.9,6.1,15.72,14.8,4.2,250.80 SO,229.70 SO,491.75,30.71,4.1,6.18,
22581,2013-02-26,0,25.5,2.1,14.34,12.1,4.7,6.10 N,310.30 O,516.32,17,4.8,6.97,
22581,2013-02-27,0,26.5,5.7,16.81,8.2,1.21,330.40 NO,210.20 S,502.22,18.86,4.1,5.98,
22581,2013-02-28,0,28.6,4.5,16.89,15.6,3.92,357.30 NO,260.90 SO,509.18,29.94,4.8,6.44,
22581,2013-03-01,0,16.7,4.2,9.83,18,10.9,19.90 N,29.30 N,450.05,21.65,3.5,<null>,
22581,2013-03-02,0,18.4,-3.6,8.59,13,5.74,49.90 NE,77.30 NE,533.47,20.3,4.1,<null>,
