Numero, Fecha, Pp, T_Max, T_Min, T_Med, VV_Max, VV, DWW, DV, Rag_G, HR, ET, EP 
22,2013-09-06,0,25.5,17.1,21.73,10,3.12,333 NO,0 NE,311.34,57.58,1.4,<null>,
22,2013-09-07,0.6,24.5,15,18.65,16.9,5.74,47 NE,25 N,332.05,70.33,2.9,3.58,
22,2013-09-08,13,20.5,14.8,16.74,7.3,1.36,239 SO,31 N,207.47,85.86,1.3,1.96,
22,2013-09-09,1.8,24.2,13.5,17.89,9.8,2.59,197 S,153 SE,385.24,80.46,3.1,3.61,
22,2013-09-10,10.4,26.4,14.7,18.57,14,4.12,90 E,69 NE,372.63,81.27,2.9,3.68,
22,2013-09-11,0,26.7,14.6,19.67,24.9,6.23,55 NE,30 N,431.4,70.56,3.9,4.63,
22,2013-09-12,1.8,23.9,14.3,18.61,15.7,5.26,56 NE,24 N,292.74,70.16,2.7,3.46,
22,2013-09-13,0,23.5,13.6,18.28,19.6,7.2,58 NE,25 N,361.83,65.22,3.5,4.29,
22,2013-09-14,0,24.3,12.4,17.66,17,6.36,56 NE,21 N,326.97,68.88,2.8,3.85,
22,2013-09-15,18,18.9,15.2,16.79,9.6,3.81,108 E,22 N,144.21,87.35,0.7,1.57,
22,2013-09-16,20.6,21.9,14,16.53,18.7,4.08,108 E,95 E,225.02,90.39,1.5,2.27,
22,2013-09-17,18,23.2,15.3,17.9,11.4,4.9,143 SE,146 SE,343.69,83.83,2.7,3.43,
22,2013-09-18,6.4,25.1,15,18.62,11.4,2.77,65 NE,57 NE,279.83,80.88,2.2,3,
22,2013-09-19,0.2,26.1,15.8,19.94,9.5,1.96,64 NE,101 E,411.34,73.97,3.3,4,
22,2013-09-20,12.2,25,16.2,19.21,14.5,1.87,270 O,271 O,289.82,83.06,2.1,2.83,
22,2013-09-21,21.8,25.3,14.9,18.34,12.7,2.78,57 NE,19 N,363.69,82.79,2.5,3.37,
22,2013-09-22,13.4,24,15.3,18.2,8.1,1.99,234 SO,355 NO,296.6,82.61,2.1,2.85,
22,2013-09-23,21.6,26.7,14.9,18.08,10,1.75,148 SE,134 E,434.77,87.61,3.1,3.74,
22,2013-09-24,0.8,26,15.3,19.04,20.2,3.12,61 NE,42 N,327.82,79.34,2.8,3.34,
22,2013-09-25,0,25.9,12.3,19.16,15,5.33,71 NE,51 NE,511.13,62.72,4.2,5.3,
22,2013-09-26,22,26.9,11.7,18.26,21.9,2.77,115 E,44 N,459.81,70.16,3.7,4.44,
22,2013-09-27,2.6,21.4,14.5,16.73,12,3.13,133 E,162 SE,241.32,88.46,1.5,2.31,
22,2013-09-28,0.2,24.3,11.5,17.66,12.3,2.88,245 SO,184 S,504.34,77.08,3.8,4.58,
22,2013-09-29,0,26.9,13.8,19.43,13.2,2.44,57 NE,38 N,481.78,64.61,3.9,4.78,
22,2013-09-30,0,25.9,12.4,18.99,8.3,2.38,172 SE,97 E,492.65,68.9,4.2,4.69,
22,2013-10-01,5.2,25.6,14,18.11,17.3,3.96,106 E,55 NE,467.17,74.76,3.4,4.44,
22,2013-10-02,0,26.8,12.5,18.13,5.1,1.79,7 N,33 N,403.98,70.56,3.1,3.95,
22,2013-10-03,0,26.5,11.8,18.47,12,2.92,67 NE,29 N,489.26,66.03,4,4.78,
22,2013-10-04,0,27.1,10.7,18.48,14.8,3.28,66 NE,65 NE,488.31,63.35,3.9,4.92,
22,2013-10-05,0,27.4,11.1,17.81,6.2,1.88,55 NE,48 NE,439.75,71.09,3.5,4.23,
22,2013-10-06,0,27.5,11.6,19.63,18.6,3.09,60 NE,36 N,506.75,54.61,4.5,5.29,
