Nombre, Numero, Fecha, Pp, T_Max, T_Min, T_Med, VV_Max, VV, DWW, DV, Rag_G, HR, ET, EP 
CEPAB 2,396,2011-09-15,0,28.4,13.1,20.81,0,0,90.3 E,104.4 E,<null>,50.56,<null>,<null>,
CEPAB 2,396,2011-09-16,0,27,11.9,19.85,0,0,171.3 SE,128.9 E,<null>,61.18,<null>,<null>,
CEPAB 2,396,2011-09-17,0,27.5,12.8,20.16,0,0,190.1 S,185.6 S,<null>,68.86,<null>,<null>,
CEPAB 2,396,2011-09-18,8.1,26.9,16,19.72,0,0,,5.4 N,<null>,75.1,<null>,<null>,
CEPAB 2,396,2011-09-19,15.3,24.6,15.6,17.57,0,0,336 NO,333.8 NO,<null>,86.67,<null>,<null>,
CEPAB 2,396,2011-09-20,0,26,12.9,18.86,0,0,343.4 NO,356.2 NO,<null>,72.42,<null>,<null>,
CEPAB 2,396,2011-09-21,0,26,12.1,18.84,0,0,19.8 N,27.1 N,<null>,67.19,<null>,<null>,
CEPAB 2,396,2011-09-22,0,24,10.5,16.1,0,0,23.8 N,24.5 N,<null>,77.33,<null>,<null>,
CEPAB 2,396,2011-09-23,<null>,<null>,<null>,<null>,<null>,<null>,0 NE,<null> N,<null>,<null>,<null>,<null>,
CEPAB 2,396,2011-09-24,<null>,<null>,<null>,<null>,<null>,<null>,0 NE,<null> N,<null>,<null>,<null>,<null>,
CEPAB 2,396,2011-09-25,<null>,<null>,<null>,<null>,<null>,<null>,0 NE,<null> N,<null>,<null>,<null>,<null>,
CEPAB 2,396,2011-09-26,<null>,<null>,<null>,<null>,<null>,<null>,0 NE,<null> N,<null>,<null>,<null>,<null>,
CEPAB 2,396,2011-09-27,<null>,<null>,<null>,<null>,<null>,<null>,0 NE,<null> N,<null>,<null>,<null>,<null>,
CEPAB 2,396,2011-09-28,<null>,<null>,<null>,<null>,<null>,<null>,0 NE,<null> N,<null>,<null>,<null>,<null>,
CEPAB 2,396,2011-09-29,<null>,<null>,<null>,<null>,<null>,<null>,0 NE,<null> N,<null>,<null>,<null>,<null>,
CEPAB 2,396,2011-09-30,<null>,<null>,<null>,<null>,<null>,<null>,0 NE,<null> N,<null>,<null>,<null>,<null>,
CEPAB 2,396,2011-10-01,<null>,<null>,<null>,<null>,<null>,<null>,0 NE,<null> N,<null>,<null>,<null>,<null>,
CEPAB 2,396,2011-10-02,<null>,<null>,<null>,<null>,<null>,<null>,0 NE,<null> N,<null>,<null>,<null>,<null>,
CEPAB 2,396,2011-10-03,<null>,<null>,<null>,<null>,<null>,<null>,0 NE,<null> N,<null>,<null>,<null>,<null>,
CEPAB 2,396,2011-10-04,<null>,<null>,<null>,<null>,<null>,<null>,0 NE,<null> N,<null>,<null>,<null>,<null>,
CEPAB 2,396,2011-10-05,<null>,<null>,<null>,<null>,<null>,<null>,0 NE,<null> N,<null>,<null>,<null>,<null>,
