Numero, Fecha, Pp, T_Max, T_Min, T_Med, VV_Max, VV, DWW, DV, Rag_G, HR, ET, EP 
22,2015-01-01,0,22.6,8.4,14.86,14.8,5.32,195 S,74 NE,318.2,55.84,2.3,4.37,
22,2015-01-01,0,22.6,8.4,14.86,14.8,5.32,195 S,74 NE,318.2,55.84,2.3,4.37,
22,2015-01-02,0,21.1,9.4,14.89,25.1,9.41,212 S,164 SE,372.8,54.83,3.4,5.28,
22,2015-01-02,0,21.1,9.4,14.89,25.1,9.41,212 S,164 SE,372.8,54.83,3.4,5.28,
22,2015-01-03,0,20.5,7.4,13.6,23.9,9.27,206 S,168 SE,335.94,56.06,2.8,4.93,
22,2015-01-03,0,20.5,7.4,13.6,23.9,9.27,206 S,168 SE,335.94,56.06,2.8,4.93,
22,2015-01-04,0,19.9,7,12.7,23.6,7.33,56 NE,23 N,238.09,60.09,2,3.79,
22,2015-01-04,0,19.9,7,12.7,23.6,7.33,56 NE,23 N,238.09,60.09,2,3.79,
22,2015-01-05,0,17.1,5.8,10.68,15.4,6.31,59 NE,13 N,220.26,55.66,1.7,3.65,
22,2015-01-05,0,17.1,5.8,10.68,15.4,6.31,59 NE,13 N,220.26,55.66,1.7,3.65,
22,2015-01-06,0,21.9,6.9,13.62,14.2,6.09,74 NE,23 N,310,58.27,2.6,4.48,
22,2015-01-06,0,21.9,6.9,13.62,14.2,6.09,74 NE,23 N,310,58.27,2.6,4.48,
22,2015-01-07,0,21.9,8.1,13.94,22.1,9.75,66 NE,29 N,348.02,60.38,3.4,5.12,
22,2015-01-07,0,21.9,8.1,13.94,22.1,9.75,66 NE,29 N,348.02,60.38,3.4,5.12,
22,2015-01-08,0,20.5,8.6,13.06,27.3,10.39,53 NE,64 NE,405.38,54.55,2.9,5.84,
22,2015-01-08,0,20.5,8.6,13.06,27.3,10.39,53 NE,64 NE,405.38,54.55,2.9,5.84,
22,2015-01-09,4,19.7,6.1,11.73,15.1,5.31,82 NE,360 N,300.27,69.5,2,3.82,
22,2015-01-09,4,19.7,6.1,11.73,15.1,5.31,82 NE,360 N,300.27,69.5,2,3.82,
22,2015-01-10,0,20.5,6.1,12.55,12.8,5.05,179 SE,39 N,395.42,60,2.9,4.88,
22,2015-01-10,0,20.5,6.1,12.55,12.8,5.05,179 SE,39 N,395.42,60,2.9,4.88,
22,2015-01-11,0,22.2,3.5,12.8,13.1,5.02,187 S,100 E,438.94,46.76,3.5,5.67,
22,2015-01-11,0,22.2,3.5,12.8,13.1,5.02,187 S,100 E,438.94,46.76,3.5,5.67,
22,2015-01-12,0,21.7,2.5,12.41,14.8,5.09,197 S,70 NE,325.8,40.12,2.8,5.06,
22,2015-01-12,0,21.7,2.5,12.41,14.8,5.09,197 S,70 NE,325.8,40.12,2.8,5.06,
22,2015-01-13,0,22.4,3.9,13.2,12.2,5.44,147 SE,122 E,358.23,42.05,3.3,5.3,
22,2015-01-13,0,22.4,3.9,13.2,12.2,5.44,147 SE,122 E,358.23,42.05,3.3,5.3,
22,2015-01-14,0,22.8,4.7,14.06,13.8,4.13,202 S,107 E,384.35,40.52,3.2,5.31,
22,2015-01-14,0,22.8,4.7,14.06,13.8,4.13,202 S,107 E,384.35,40.52,3.2,5.31,
22,2015-01-15,0,23,6.2,14.88,12.3,4.28,3 N,66 NE,386.18,39.4,3.2,5.35,
22,2015-01-15,0,23,6.2,14.88,12.3,4.28,3 N,66 NE,386.18,39.4,3.2,5.35,
22,2015-01-16,0,22.8,6.3,13.96,13.7,5.54,350 NO,15 N,413.5,48.06,3.3,5.42,
22,2015-01-16,0,22.8,6.3,13.96,13.7,5.54,350 NO,15 N,413.5,48.06,3.3,5.42,
22,2015-01-17,0,23.5,6.5,14.69,12.7,4.87,44 N,60 NE,394.91,45.39,3.1,5.26,
22,2015-01-17,0,23.5,6.5,14.69,12.7,4.87,44 N,60 NE,394.91,45.39,3.1,5.26,
22,2015-01-18,0,23.5,9.7,15.58,16.5,5.81,67 NE,19 N,387.04,40.65,3.3,5.52,
22,2015-01-18,0,23.5,9.7,15.58,16.5,5.81,67 NE,19 N,387.04,40.65,3.3,5.52,
22,2015-01-19,0,24.7,7.5,15.96,10.8,3.28,168 SE,10 N,413.37,40.29,3.2,5.27,
22,2015-01-19,0,24.7,7.5,15.96,10.8,3.28,168 SE,10 N,413.37,40.29,3.2,5.27,
22,2015-01-20,0,24.5,7.2,16.44,12,4.24,142 SE,61 NE,427.6,39.74,3.5,5.52,
22,2015-01-20,0,24.5,7.2,16.44,12,4.24,142 SE,61 NE,427.6,39.74,3.5,5.52,
22,2015-01-21,0,24.9,10,16.66,20.8,7.05,208 S,154 SE,414.02,35.88,3.8,6.09,
22,2015-01-21,0,24.9,10,16.66,20.8,7.05,208 S,154 SE,414.02,35.88,3.8,6.09,
22,2015-01-22,0,22.2,7.9,14.44,24.5,8.85,235 SO,172 SE,343.69,51.33,3.2,5.09,
22,2015-01-22,0,22.2,7.9,14.44,24.5,8.85,235 SO,172 SE,343.69,51.33,3.2,5.09,
