Numero, Fecha, Pp, T_Max, T_Min, T_Med, VV_Max, VV, DWW, DV, Rag_G, HR, ET, EP 
396,2011-09-22,0,24,10.5,16.1,0,0,23.80 N,24.50 N,<null>,77.33,<null>,<null>,
396,2011-09-23,<null>,<null>,<null>,<null>,<null>,<null>,0.00 N, NE,<null>,<null>,<null>,<null>,
396,2011-09-24,<null>,<null>,<null>,<null>,<null>,<null>,0.00 N, NE,<null>,<null>,<null>,<null>,
396,2011-09-25,<null>,<null>,<null>,<null>,<null>,<null>,0.00 N, NE,<null>,<null>,<null>,<null>,
396,2011-09-26,<null>,<null>,<null>,<null>,<null>,<null>,0.00 N, NE,<null>,<null>,<null>,<null>,
396,2011-09-27,<null>,<null>,<null>,<null>,<null>,<null>,0.00 N, NE,<null>,<null>,<null>,<null>,
396,2011-09-28,<null>,<null>,<null>,<null>,<null>,<null>,0.00 N, NE,<null>,<null>,<null>,<null>,
396,2011-09-29,<null>,<null>,<null>,<null>,<null>,<null>,0.00 N, NE,<null>,<null>,<null>,<null>,
396,2011-09-30,<null>,<null>,<null>,<null>,<null>,<null>,0.00 N, NE,<null>,<null>,<null>,<null>,
396,2011-10-01,<null>,<null>,<null>,<null>,<null>,<null>,0.00 N, NE,<null>,<null>,<null>,<null>,
396,2011-10-02,<null>,<null>,<null>,<null>,<null>,<null>,0.00 N, NE,<null>,<null>,<null>,<null>,
396,2011-10-03,<null>,<null>,<null>,<null>,<null>,<null>,0.00 N, NE,<null>,<null>,<null>,<null>,
396,2011-10-04,<null>,<null>,<null>,<null>,<null>,<null>,0.00 N, NE,<null>,<null>,<null>,<null>,
396,2011-10-05,<null>,<null>,<null>,<null>,<null>,<null>,0.00 N, NE,<null>,<null>,<null>,<null>,
396,2011-10-06,<null>,<null>,<null>,<null>,<null>,<null>,0.00 N, NE,<null>,<null>,<null>,<null>,
396,2011-10-07,<null>,<null>,<null>,<null>,<null>,<null>,0.00 N, NE,<null>,<null>,<null>,<null>,
396,2011-10-08,<null>,<null>,<null>,<null>,<null>,<null>,0.00 N, NE,<null>,<null>,<null>,<null>,
396,2011-10-09,<null>,<null>,<null>,<null>,<null>,<null>,0.00 N, NE,<null>,<null>,<null>,<null>,
396,2011-10-10,<null>,<null>,<null>,<null>,<null>,<null>,0.00 N, NE,<null>,<null>,<null>,<null>,
396,2011-10-11,<null>,<null>,<null>,<null>,<null>,<null>,0.00 N, NE,<null>,<null>,<null>,<null>,
396,2011-10-12,<null>,<null>,<null>,<null>,<null>,<null>,0.00 N, NE,<null>,<null>,<null>,<null>,
396,2011-10-13,<null>,<null>,<null>,<null>,<null>,<null>,0.00 N, NE,<null>,<null>,<null>,<null>,
396,2011-10-14,<null>,<null>,<null>,<null>,<null>,<null>,0.00 N, NE,<null>,<null>,<null>,<null>,
396,2011-10-15,<null>,<null>,<null>,<null>,<null>,<null>,0.00 N, NE,<null>,<null>,<null>,<null>,
396,2011-10-16,<null>,<null>,<null>,<null>,<null>,<null>,0.00 N, NE,<null>,<null>,<null>,<null>,
396,2011-10-17,<null>,<null>,<null>,<null>,<null>,<null>,0.00 N, NE,<null>,<null>,<null>,<null>,
396,2011-10-18,<null>,<null>,<null>,<null>,<null>,<null>,0.00 N, NE,<null>,<null>,<null>,<null>,
396,2011-10-19,<null>,<null>,<null>,<null>,<null>,<null>,0.00 N, NE,<null>,<null>,<null>,<null>,
396,2011-10-20,<null>,<null>,<null>,<null>,<null>,<null>,0.00 N, NE,<null>,<null>,<null>,<null>,
396,2011-10-21,<null>,<null>,<null>,<null>,<null>,<null>,0.00 N, NE,<null>,<null>,<null>,<null>,
396,2011-10-22,<null>,<null>,<null>,<null>,<null>,<null>,0.00 N, NE,<null>,<null>,<null>,<null>,
396,2011-10-23,<null>,<null>,<null>,<null>,<null>,<null>,0.00 N, NE,<null>,<null>,<null>,<null>,
396,2011-10-24,<null>,<null>,<null>,<null>,<null>,<null>,0.00 N, NE,<null>,<null>,<null>,<null>,
396,2011-10-25,<null>,<null>,<null>,<null>,<null>,<null>,0.00 N, NE,<null>,<null>,<null>,<null>,
