Numero, Fecha, Pp, T_Max, T_Min, T_Med, VV_Max, VV, DWW, DV, Rag_G, HR, ET, EP 
13466,2011-08-01,0,26.3,13.1,19.34,19.1,10.65,64 NE,57 NE,409.08,56.02,4.7,5.51,
24509,2011-08-01,0,26,14.5,19.66,16.9,7.44,32 N,36 N,611.79,57.31,5.8,6.32,
4080,2011-08-01,<null>,25.7,15.1,18.45,20.1,6.03,156 SE,129 E,<null>,73.15,<null>,<null>,
13472,2011-08-01,0,27.1,14,20.3,16,7.27,359 NO,359 NO,336.55,59.99,3.8,4.43,
15977,2011-08-01,0,25.9,13.5,19,23,14.63,76 NE,70 NE,408.44,59.15,4.7,5.84,
13476,2011-08-01,0,28.3,15.5,21.37,13,7.18,0 NE,0 NE,395.19,53.48,4.4,5.07,
18848,2011-08-01,0,20.5,10.8,14.82,48.3,27.02,4 N,359 NO,444.64,70.26,3.9,6.33,
22575,2011-08-01,0,26.4,14.4,19.81,17.9,6.76,81 NE,64 NE,489.92,58.22,5,5.42,
24576,2011-08-01,0,26.2,14,19.23,13.9,6.56,333 NO,332 NO,432.75,57.35,4.5,5.03,
24588,2011-08-01,0,27,14.4,20.42,14,6.5,71 NE,49 NE,493.09,53.93,5.1,5.58,
396,2011-08-01,0,26.1,15.2,18.51,0,0,47 NE,35 N,<null>,70.67,<null>,<null>,
13470,2011-08-01,0,29.9,13.8,21.16,1.5,0.2,19 N,28 N,431.38,56.71,4,4.22,
13476,2011-08-02,0,30.2,15.6,22.47,10.9,3.71,0 NE,0 NE,371.14,50.42,3.7,4.6,
18848,2011-08-02,0,22.1,11.6,16.07,45.8,23.81,1 N,358 NO,508.99,64.97,4.8,<null>,
22575,2011-08-02,0,27.9,13.2,20.72,13.7,4.49,80 NE,70 NE,500.84,54.76,5.3,5.39,
24576,2011-08-02,0,28.4,13.6,20.71,13.1,4.52,333 NO,332 NO,430.88,52.96,4.5,5.02,
24588,2011-08-02,0.2,28.7,13.9,21.04,8.9,2.36,72 NE,31 N,481.32,53.75,4.5,4.97,
396,2011-08-02,0,28.5,19.5,24.85,0,0,82 NE,72 NE,<null>,45.32,<null>,<null>,
13470,2011-08-02,0,32,12.7,21.93,1.4,0.1,28 N,20 N,417.54,54.47,3.9,4.27,
24509,2011-08-02,0,28.8,13.2,20.9,14.9,6.48,33 N,32 N,598.91,54.77,6.2,6.32,
13472,2011-08-02,0,29,14,21.49,9.4,3.67,359 NO,359 NO,335.34,56.35,3.4,4.17,
4080,2011-08-02,<null>,28.8,18.2,24.7,16,6.21,148 SE,156 SE,<null>,48.22,<null>,<null>,
15977,2011-08-02,0,27.4,13.4,20.5,19.8,11.23,86 NE,77 NE,472.26,53.59,5.6,6.25,
13466,2011-08-02,0,28.3,11.8,20.71,16.8,9.32,88 NE,62 NE,523.06,50.84,5.7,6.45,
13478,2011-08-02,0,29.1,12.3,21.31,21.6,9.13,73 NE,51 NE,484.74,51.59,5.4,6.21,
13471,2011-08-02,0,29.2,13.2,21.02,9.1,1.38,64 NE,48 NE,527.22,54.27,5.3,5.11,
24478,2011-08-02,0,29.5,13.5,21.07,3.7,0.95,109 E,102 E,522.11,52.18,4.7,5.03,
22581,2011-08-02,0,29.1,13.5,21.23,11.2,3.48,72 NE,48 NE,505.34,53.15,5.3,5.31,
18818,2011-08-02,0.4,31.6,17.8,24.12,15.3,7.04,324 NO,353 NO,511.86,45.45,5.6,6.35,
22476,2011-08-02,0,22.4,9.6,15.25,13.4,7.34,123 E,83 NE,417,67.12,3.5,4.75,
24583,2011-08-02,0,27.5,13.6,20.41,15,5.39,70 NE,68 NE,<null>,54.06,1.4,<null>,
25447,2011-08-02,0,31.3,15.9,23.67,9.8,2.17,9 N,31 N,607.71,46.19,5.7,5.92,
13467,2011-08-02,0,29.1,13.5,21.55,14.3,2.89,59 NE,68 NE,433.62,51.49,4.5,4.79,
13474,2011-08-02,0,28.7,13.6,21.46,18.7,8.09,77 NE,61 NE,424.94,53.94,4.8,5.49,
13475,2011-08-02,0,28.3,13.3,20.59,5.3,0.77,44 N,66 NE,478.21,57.11,4.4,4.65,
22474,2011-08-02,0,31.8,16.8,23.41,7.7,1.73,61 NE,88 NE,537.74,45.86,5,5.44,
25422,2011-08-02,0,25.3,11.3,18.03,5.7,1.38,80 NE,54 NE,536.15,62.18,4.8,5.03,
18787,2011-08-02,0,28.4,16.1,21.86,16.4,4.23,129 E,65 NE,141.83,48.8,1.8,3.21,
25420,2011-08-02,0,28.6,14.1,20.48,14.4,5.1,75 NE,35 N,347.97,56.48,5.1,4.46,
25413,2011-08-02,0,27.3,13.8,19.96,14.4,5.11,70 NE,42 N,600.98,53.99,6,6.13,
13473,2011-08-02,0,27.5,12.9,20.46,12.1,3.94,103 E,64 NE,467.12,58.94,4.8,4.96,
18833,2011-08-02,0,29.8,12.9,21.36,11.4,3.17,62 NE,16 N,432.63,51.71,4.1,4.89,
25427,2011-08-02,8.8,30.3,14.8,21.53,12.1,2.66,92 E,37 N,521.7,53.72,5,5.26,
13468,2011-08-02,2.8,29.7,13.5,21.37,10.4,1.32,299 O,17 N,438.54,57.12,4,4.46,
13473,2011-08-03,0,28.5,11.4,20.39,16.4,4.51,98 E,64 NE,562.72,57.41,5.9,5.68,
18833,2011-08-03,0,31,14.1,22.04,10.9,4.15,46 NE,15 N,572.71,47.5,6,6.08,
25427,2011-08-03,0,30.6,14.7,22.13,12.6,2.56,101 E,42 N,611.3,50.5,6.1,5.89,
13468,2011-08-03,0,30.6,13.6,21.92,7.5,1.56,87 NE,18 N,544.93,53.8,5.3,5.24,
18787,2011-08-03,0,29.3,14.7,22.11,20.1,5.18,87 NE,63 NE,228.46,46.64,3.1,4.03,
25413,2011-08-03,0,27.6,12.6,20.2,14.8,4.89,44 N,58 NE,646.02,49.68,6.7,6.5,
25420,2011-08-03,0,29.3,13.5,21.07,37.5,5.08,358 NO,42 N,635.86,49.86,6,6.51,
13475,2011-08-03,0,28.9,12.7,20.72,6.6,1.16,63 NE,67 NE,576.26,54.75,5.4,5.37,
22474,2011-08-03,0,32.4,16.1,24.03,4.5,0.62,60 NE,105 E,538.71,41.91,5,5.3,
25422,2011-08-03,0,26.3,11.4,18.47,5.4,1.59,46 NE,47 NE,678.29,57.55,6.2,6.06,
18818,2011-08-03,0,32.5,16.5,24.53,15.3,4.64,337 NO,344 NO,545.04,43.66,5.6,6.12,
22476,2011-08-03,0,22.5,9.5,15.81,13.6,5.41,103 E,84 NE,433.18,60.92,3.9,4.84,
24583,2011-08-03,0,28.3,12.3,20.52,16,4.94,79 NE,70 NE,<null>,51.53,1.5,<null>,
25447,2011-08-03,0,31.8,15.7,24.37,7.3,1.86,23 N,23 N,678.33,41.65,6.7,6.39,
13467,2011-08-03,0,29.8,13.1,21.82,15.1,2.99,101 E,89 NE,483.9,48.76,5.1,5.2,
13474,2011-08-03,0,29.6,12.6,21.58,24.9,8.23,74 NE,57 NE,544.12,51.15,6.4,6.4,
13471,2011-08-03,0,29.5,11.3,21,10.9,2.17,52 NE,65 NE,583.55,52.08,5.7,5.61,
13478,2011-08-03,0,30,12.7,21.32,26.3,9.28,81 NE,39 N,473.62,50.2,5.8,6.23,
22581,2011-08-03,0,29.3,13.2,21.55,13.6,3.91,100 E,62 NE,564.58,50.25,5.9,5.82,
24478,2011-08-03,0,30,12.8,21.44,4.8,1.22,134 E,104 E,606.89,49.56,5.5,5.65,
13466,2011-08-03,0,29.1,11,20.75,20.6,8.46,76 NE,63 NE,537.72,49.89,6.3,6.44,
24509,2011-08-03,0,29.4,12.8,20.99,21.8,7.05,58 NE,39 N,670.04,52.38,6.9,6.95,
4080,2011-08-03,<null>,28.7,12.7,21.41,15,3.03,117 E,174 SE,<null>,59.29,<null>,<null>,
13472,2011-08-03,0,30,12.8,21.62,19.6,4.77,359 NO,359 NO,374.77,54.38,4.2,4.66,
15977,2011-08-03,0,28.5,11.9,20.63,25.4,10.51,79 NE,74 NE,593.08,51.47,6.9,<null>,
13476,2011-08-03,0,30.8,14.5,22.78,18.4,4.96,0 NE,0 NE,511.91,47.73,5.7,5.78,
18848,2011-08-03,0,23.5,11.9,17.05,44.6,14.76,333 NO,357 NO,432.63,59.85,4.7,5.94,
22575,2011-08-03,0,28.8,13.1,21.05,15,4.85,74 NE,62 NE,543.44,52.28,5.8,5.79,
24576,2011-08-03,0,29.4,12.9,21.02,15.1,4.53,330 NO,334 NO,612.37,50.57,6.1,6.26,
24588,2011-08-03,0,29.6,14.2,21.61,10.7,3.75,55 NE,31 N,630.7,49.39,6.3,6.26,
396,2011-08-03,0,29.3,13.4,21.47,0,0,65 NE,79 NE,<null>,56.75,<null>,<null>,
13470,2011-08-03,0,31.4,12.6,22.17,1.3,0.14,36 N,13 N,492.9,52.31,4.6,4.71,
13476,2011-08-04,0,27.2,17.8,22.06,8.3,0.88,0 NE,0 NE,269.29,55.78,2,3.11,
18848,2011-08-04,0,19.7,12.2,15.64,33.7,10.87,357 NO,358 NO,344.09,71.36,2.8,4.15,
22575,2011-08-04,0,25.5,16.1,20.71,16.9,3.67,115 E,113 E,313.59,56.35,3.1,3.79,
24576,2011-08-04,0,26.3,15.6,20.6,16.7,2.44,335 NO,334 NO,294.51,55.96,2.6,3.55,
24588,2011-08-04,0,25.5,17.3,21.23,11.7,3.25,110 E,181 S,382.15,55.81,3.5,4.2,
396,2011-08-04,0,25.6,17,21.16,0,0,122 E,105 E,<null>,61.54,<null>,<null>,
13470,2011-08-04,0,26.6,16.4,21.92,1.3,0.13,98 E,166 SE,262.3,55.6,2.1,2.94,
24509,2011-08-04,0,26.3,14.6,20.25,19.5,3.31,46 NE,65 NE,337.88,59.18,3,3.85,
13472,2011-08-04,0,26.3,16.3,20.42,11,1.08,359 NO,358 NO,246.02,66.82,1.9,2.76,
4080,2011-08-04,<null>,26.2,17,21.28,17.2,4.71,227 SO,235 SO,<null>,62.91,<null>,<null>,
15977,2011-08-04,0,25.7,15.8,20.09,24.7,6.09,103 E,160 SE,311.7,58.91,3.3,4.04,
13466,2011-08-04,0,26.2,15.3,20.1,18.9,3.24,77 NE,122 E,303.86,58.39,2.8,3.64,
13478,2011-08-04,0,26.4,16.2,20.36,17.6,3.56,88 NE,233 SO,322.79,60.84,3.2,3.74,
13471,2011-08-04,0,26,16.1,20.79,4.6,0.33,117 E,176 SE,321.86,58.07,2.5,3.36,
24478,2011-08-04,0,26.3,16.5,21.23,4.9,1.02,134 E,155 SE,362.83,53.35,3,3.81,
22581,2011-08-04,0,26.1,16.9,21.23,8.8,1.55,96 E,140 SE,324.77,54.86,2.7,3.61,
18818,2011-08-04,0,28.8,16.1,22.08,10,2.81,86 NE,120 E,350.64,58.46,3.2,3.85,
22476,2011-08-04,0,19.8,10.7,15.08,14.7,4.38,103 E,116 E,281.79,71.12,2.3,3.25,
24583,2011-08-04,0.2,26.2,14.1,20.13,11.4,1.9,95 E,147 SE,<null>,57.09,0.1,<null>,
25447,2011-08-04,0,29.3,18.5,23.02,6.4,0.86,223 S,169 SE,449.74,52.01,4,4.37,
13467,2011-08-04,0,26,16.1,21.4,5.1,0.23,140 SE,161 SE,336.62,54.6,2.8,3.48,
13474,2011-08-04,0,25.3,16.8,21.45,17.2,4.47,88 NE,170 SE,266.19,56.29,2.7,3.55,
13475,2011-08-04,0,26.5,14.1,20.22,2.2,0.22,97 E,127 E,307.53,60.89,2.6,3.25,
22474,2011-08-04,0,29.1,16.8,22.11,6.5,0.44,217 S,193 S,408.77,56.15,3.7,3.96,
25422,2011-08-04,0,25.4,12.8,18.4,1.5,0.1,49 NE,99 E,395.36,63.07,3.2,3.84,
18787,2011-08-04,0,25.2,17.6,21.22,13,1.7,102 E,184 S,142.27,55.92,1,2.3,
25420,2011-08-04,0,26.3,14.7,20.1,12.7,3.96,121 E,141 SE,430.94,55.25,3.7,4.69,
25413,2011-08-04,0,24.8,15.3,20.07,12.7,4.2,121 E,126 E,439.92,54.89,4,4.75,
13473,2011-08-04,0,25.1,15.1,20.09,16.6,1.84,96 E,140 SE,293.05,64.25,2.9,3.22,
18833,2011-08-04,0,25.5,17,20.86,11.3,2.95,73 NE,143 SE,293.84,57.77,2.5,3.48,
25427,2011-08-04,0,25.6,16.6,20.64,10.5,1.06,83 NE,210 S,341.86,60.75,2.9,3.47,
13468,2011-08-04,0,26.2,17,21.23,6.4,1.04,93 E,187 S,287.2,60.43,2.3,3.15,
13473,2011-08-05,0.2,29.5,14.2,20.29,15.9,3.44,92 E,124 E,561.61,69.75,5.3,5.12,
18833,2011-08-05,2,30.3,15.5,20.81,21.3,4.89,230 SO,281 O,479.9,63.68,4.7,4.95,
25427,2011-08-05,8.4,31,17.2,21.24,12.3,2.11,162 SE,2 N,502.33,64.61,4.7,4.73,
13468,2011-08-05,4.6,31.1,15.8,20.9,10.2,1.28,187 S,38 N,422.6,70.84,4,3.98,
18787,2011-08-05,8,29.8,16.8,21.24,17.9,2.6,99 E,85 NE,138.61,61.52,1.2,2.53,
25413,2011-08-05,3,29.8,15.6,20.82,28.5,4.99,196 S,153 SE,636.68,57.9,6.4,6.16,
25420,2011-08-05,2.8,30.6,15.7,20.74,20.2,4.51,357 NO,100 E,595.04,60.53,5.5,5.77,
13475,2011-08-05,5.2,30.5,14.2,20.67,12,1.46,236 SO,58 NE,522.7,66.61,5,4.76,
22474,2011-08-05,15,31.8,15.1,21.15,4.5,0.38,127 E,144 SE,444,63.91,3.8,4.11,
25422,2011-08-05,0.2,27.7,13.6,18.45,6.7,0.26,303 O,335 NO,390.3,65.64,3.2,3.8,
18818,2011-08-05,34.4,31.9,14.2,20.42,30.6,1.64,141 SE,125 E,403.58,70.05,3.4,3.86,
22476,2011-08-05,3.8,24.2,11.4,15.62,11.1,2.75,100 E,77 NE,397.54,74.04,3.4,3.93,
24583,2011-08-05,6.4,30,14.2,20.33,16.7,2.32,230 SO,155 SE,<null>,65.53,0.5,<null>,
25447,2011-08-05,2,31.3,16.9,21.37,14.6,1.22,351 NO,349 NO,356.32,64.3,3.3,3.61,
13467,2011-08-05,5.4,31.4,15.1,21.72,23.1,1.8,206 S,122 E,520.25,60.95,4.9,4.91,
13474,2011-08-05,0.8,31.1,15.2,21.64,29.3,7.24,149 SE,122 E,508.62,62.7,5.7,5.5,
13471,2011-08-05,4.4,31.5,14.7,20.93,7.3,0.82,212 S,155 SE,541.2,65.19,5,4.84,
13478,2011-08-05,4.2,29.3,15.5,20.04,16.6,5.66,216 S,9 N,365.25,69.3,3.4,4.08,
22581,2011-08-05,1.4,30.6,15.4,21.25,10.9,2.29,263 SO,149 SE,481.95,61.74,4.5,4.7,
24478,2011-08-05,4.6,32.2,16.5,21.79,7.6,1.31,214 S,199 S,586.44,58.58,5.6,5.33,
13466,2011-08-05,18.2,29.4,13.6,19.66,19,4.42,1 N,71 NE,408.73,65.44,3.8,4.37,
24509,2011-08-05,0,30.2,14.6,20.59,10.6,2.5,158 SE,69 NE,596.7,65.59,5.8,5.34,
4080,2011-08-05,<null>,30.5,15.3,21.45,23.4,3.15,273 O,273 O,<null>,70.05,<null>,<null>,
13472,2011-08-05,5.2,29.6,15.8,20.17,12.8,1.98,360 N,358 NO,291.99,76.42,2.5,3.04,
15977,2011-08-05,1.4,29.7,15.2,20.07,26.3,6.76,204 S,83 NE,516.02,67.45,5,5.25,
13476,2011-08-05,1.8,32,15.9,22.26,6.9,1.95,0 NE,0 NE,475.27,61.33,4.6,4.62,
18848,2011-08-05,3,22.9,12.6,16.42,25.4,13.88,358 NO,357 NO,383.55,72.12,3.2,4.7,
22575,2011-08-05,2.2,30.6,14.8,20.93,20.3,5.04,197 S,114 E,563.22,63.39,5.6,5.53,
24576,2011-08-05,0,31.6,14.6,20.75,15.2,3.34,333 NO,338 NO,570.7,63.66,5.6,5.38,
24588,2011-08-05,1,31.9,15.7,21.51,20.2,3.98,173 SE,57 NE,561.56,60.84,5.9,5.5,
396,2011-08-05,1.7,30,15.5,21.2,0,0,82 NE,273 O,<null>,68.02,<null>,<null>,
13470,2011-08-05,0,33.9,15.6,22.66,5.6,0.56,269 SO,243 SO,483.93,59.65,4.6,4.6,
13476,2011-08-06,4.2,31.2,14.7,21.21,15.2,3.31,0 NE,0 NE,505.82,63.73,4.6,4.89,
18848,2011-08-06,9.6,20.7,12.7,15.57,22.7,8.32,357 NO,359 NO,429.54,74.92,3.4,4.44,
22575,2011-08-06,2.6,28.1,14.7,20.02,20.7,5.83,17 N,340 NO,441.86,65.53,4.1,4.68,
24576,2011-08-06,2.4,30,13.8,19.63,18.6,2.39,331 NO,342 NO,523.47,67.91,4.8,4.79,
24588,2011-08-06,1.2,30.2,13.3,21.06,11.3,3.28,118 E,43 N,607.25,61.33,5.9,5.62,
396,2011-08-06,34,28.3,13.8,20.1,0,0,299 O,356 NO,<null>,72.82,<null>,<null>,
13470,2011-08-06,1.2,31.4,13.6,21.19,4.9,0.28,11 N,359 NO,516.81,66.1,4.5,4.52,
24509,2011-08-06,0,29.2,13.9,20.14,7.9,1.36,334 NO,3 N,521.45,65.64,4.9,4.71,
13472,2011-08-06,1.8,29.1,13.7,19.83,18.9,1.55,359 NO,358 NO,396.65,75.11,3.4,3.72,
4080,2011-08-06,<null>,28.1,14.3,20.18,18.8,5.3,120 E,105 E,<null>,74.97,<null>,<null>,
15977,2011-08-06,3.4,28.5,13.9,19.34,31.1,7.49,353 NO,23 N,490.39,68.51,4.6,5.09,
13466,2011-08-06,4.8,28.5,12.7,19.24,17.9,3.82,20 N,10 N,574.74,66.58,5.3,5.31,
13478,2011-08-06,1.2,29.8,12.3,19.65,29.2,3.96,81 NE,20 N,501.96,70.39,4.8,4.78,
13471,2011-08-06,25,28.8,13.4,20.02,15.4,1.76,51 NE,23 N,508.1,67.25,4.8,4.62,
24478,2011-08-06,1,29.7,14.2,21.1,4.3,0.84,134 E,2 N,604.98,61.46,5.6,5.23,
22581,2011-08-06,34.2,28.2,13.9,20.1,21.3,4.41,313 O,14 N,521.42,67.23,5,4.95,
18818,2011-08-06,1,30,14,20.36,14,1.06,111 E,217 S,479.76,71.32,4.4,4.26,
22476,2011-08-06,2.4,20.6,10,14.79,9.4,1.57,31 N,345 NO,225.45,74.45,1.6,2.54,
24583,2011-08-06,1.8,28.9,14.7,19.64,25.2,7.05,34 N,18 N,<null>,67.19,0.8,<null>,
25447,2011-08-06,11.6,31.1,15,20.56,15.3,0.68,328 NO,149 SE,564.19,69.71,5.1,4.75,
13467,2011-08-06,9.4,29,13.6,20.26,11,1.09,52 NE,28 N,538.06,65.96,4.9,4.73,
13474,2011-08-06,1.4,30,13.6,20.89,21.3,6.24,92 E,19 N,505.66,63.86,5.1,5.25,
13475,2011-08-06,3.8,29.4,15,20.26,12,1.48,51 NE,39 N,536.7,65.15,4.8,4.86,
22474,2011-08-06,2.6,29.4,15.6,20.07,11.5,0.31,337 NO,189 S,480.58,69.4,4.2,4.19,
25422,2011-08-06,0,25.8,12.3,18.41,6.9,0.89,297 O,10 N,536.62,66.62,4.8,4.76,
18787,2011-08-06,13.6,29.2,15.4,20.45,14.2,2.33,65 NE,36 N,137.04,65.8,1.2,2.34,
25420,2011-08-06,0.6,29.9,12.9,20.02,19.2,6.12,349 NO,14 N,595.35,63.45,5.3,5.85,
25413,2011-08-06,1,27.2,13.4,19.66,21.4,6.56,360 N,22 N,547.27,62.61,5.3,5.52,
13473,2011-08-06,0,27.8,13.3,19.84,15,3.41,324 NO,11 N,443.03,68.76,4.1,4.35,
18833,2011-08-06,0.8,29.8,12.9,20.36,18.1,3.74,254 SO,23 N,522.47,64.97,4.8,5.02,
25427,2011-08-06,0,29.8,14.3,20.54,18.8,2.24,314 O,314 O,623.02,66.19,5.8,5.44,
13468,2011-08-06,1,30.5,14,20.56,6.3,1.03,19 N,312 O,541.81,70.09,4.8,4.71,
13473,2011-08-07,0,27.9,11.7,19.52,8.3,1.32,188 S,77 NE,524.06,69.14,4.6,4.66,
18833,2011-08-07,0.6,29.4,13.4,20.26,14.5,4.25,125 E,185 S,586.82,63.89,5.4,5.56,
25427,2011-08-07,44.8,28.1,14,19.42,11.2,2.36,121 E,198 S,660.31,71.62,6,5.55,
13468,2011-08-07,10.8,28.6,13,19.69,10.4,0.98,173 SE,184 S,561.26,71.54,5,4.79,
18787,2011-08-07,0,27.7,14.2,20.15,16.6,2.38,120 E,161 SE,182.28,62.47,1.8,2.68,
25413,2011-08-07,0.6,27,13.1,19.59,20,5.07,121 E,88 NE,651.85,61.14,6.1,6.08,
25420,2011-08-07,3.4,27.7,11.6,19.3,15.3,3.69,319 NO,74 NE,642.11,62.93,4.9,5.84,
13475,2011-08-07,2,28,13.4,19.82,6.3,0.49,121 E,10 N,554.19,66.4,4.8,4.82,
22474,2011-08-07,14.6,29.3,14.6,19.79,2.7,0.22,89 NE,217 S,552.58,69.82,5,4.71,
25422,2011-08-07,1.4,26.1,11.4,18.11,3.6,0.37,266 SO,246 SO,569.46,67.2,4.8,4.91,
18818,2011-08-07,0.2,28.7,13.8,20.97,27.7,1.68,46 NE,134 E,571.18,67.43,5.3,5.08,
22476,2011-08-07,3.8,22.4,8.5,15.13,9.2,1.8,113 E,41 N,299.07,69.59,2.3,3.26,
24583,2011-08-07,0.4,27.7,13.4,19.68,14.9,2.09,87 NE,94 E,<null>,63.95,0.6,<null>,
25447,2011-08-07,1.8,28.2,14.4,20.94,4.6,0.78,301 O,162 SE,632.47,67.11,5.9,5.29,
13467,2011-08-07,1.8,29,13.3,20.18,15.5,0.73,126 E,117 E,535.33,65.4,4.9,4.72,
13474,2011-08-07,0.8,29.1,12.9,20.44,27.6,5.28,88 NE,77 NE,557.67,63.84,5.6,5.45,
13471,2011-08-07,0.8,29.1,13.1,20.07,5.7,0.62,44 N,63 NE,485.33,64.89,4.4,4.43,
13478,2011-08-07,10.2,28.7,11.4,19.19,23.2,4.78,218 S,168 SE,585.92,69,5.4,5.46,
22581,2011-08-07,0.8,28.6,13.7,20.34,7.5,1.86,343 NO,75 NE,561,64.04,5,5.05,
24478,2011-08-07,2.2,29.5,13.8,20.81,8.2,0.94,131 E,61 NE,620.96,59.85,5.5,5.39,
13466,2011-08-07,0.6,26.7,12.2,18.9,15.7,2.31,106 E,186 S,556.43,66.92,4.9,5.02,
24509,2011-08-07,0,28.5,12.6,19.91,16.9,1.42,65 NE,101 E,556.61,63.62,5.2,5,
4080,2011-08-07,<null>,28.8,15.8,21.2,23.1,6.31,132 E,108 E,<null>,64.87,<null>,<null>,
13472,2011-08-07,3.2,28.7,12.1,19.44,13.7,1.59,359 NO,358 NO,409.04,72.52,3.6,3.89,
15977,2011-08-07,1.4,27.6,11.8,18.87,23.7,5.34,146 SE,191 S,576.63,68.33,5.3,5.43,
13476,2011-08-07,1,30.1,14.4,21.49,5.7,1.26,0 NE,0 NE,568.46,61.84,5.3,5.07,
18848,2011-08-07,33.4,19.3,11.2,14.92,27.8,9.52,358 NO,358 NO,326.92,77.53,2.5,3.67,
22575,2011-08-07,11.6,28,13.6,19.99,13.2,3.03,280 O,27 N,560.03,65.86,5.2,5.13,
24576,2011-08-07,0,29.8,12.2,19.7,18.6,2.8,333 NO,346 NO,527.49,63.4,5,5.02,
24588,2011-08-07,0.8,28.7,13.3,20.58,19.3,3.54,132 E,171 SE,662.16,63.18,6.4,5.92,
396,2011-08-07,1.3,28.5,13.6,20.21,0,0,360 N,300 O,<null>,69.66,<null>,<null>,
13470,2011-08-07,1,30.4,12.8,21.04,4.2,0.25,112 E,22 N,514.55,65.1,4.6,4.52,
13476,2011-08-08,0.6,29.6,15.4,21.07,8.1,1.2,0 NE,0 NE,487.21,63.06,4.4,4.52,
18848,2011-08-08,7.4,18.1,11.9,14.38,18.9,8.07,358 NO,358 NO,308.14,80.94,2.3,3.32,
22575,2011-08-08,0,25.5,15.2,19.51,15.7,5.79,256 SO,181 S,402.56,65.32,3.6,4.37,
24576,2011-08-08,1.6,29.5,14.3,19.93,9.1,2.11,355 NO,349 NO,577.43,63,5.3,5.27,
24588,2011-08-08,0,27.1,15.3,20.29,13.1,5.12,176 SE,204 S,451.72,61.65,4.4,4.77,
396,2011-08-08,0,26.2,15.8,20.14,0,0,183 S,206 S,<null>,69.56,<null>,<null>,
13470,2011-08-08,0,29.5,15.6,21.15,3.8,1.07,198 S,211 S,494.24,61.91,4.4,4.56,
24509,2011-08-08,0,27.6,14.1,20.1,8.9,1.82,159 SE,139 SE,604.43,61.51,5.6,5.4,
13472,2011-08-08,0,26.4,13.5,19.04,7.5,1.62,358 NO,358 NO,378.26,76.1,3.1,3.56,
4080,2011-08-08,<null>,26.7,17.9,22.86,19,7.52,39 N,110 E,<null>,60.1,<null>,<null>,
15977,2011-08-08,0,26.4,14.1,19.09,16.6,5.6,176 SE,196 S,535.85,69.67,5,5.15,
13466,2011-08-08,0,26.5,14.8,19.36,12.8,2.93,125 E,218 S,513.51,66.39,4.7,4.84,
13478,2011-08-08,0,26.3,13.1,18.82,12.4,4.11,219 S,208 S,522.52,72.65,4.6,4.84,
13471,2011-08-08,0,27.3,14.8,19.63,4,0.58,345 NO,212 S,402.27,67.56,3.4,3.8,
24478,2011-08-08,0,27.7,16,20.67,4.9,0.92,204 S,209 S,404.48,57.66,3.4,4.01,
22581,2011-08-08,0,26.2,15.7,20.15,11.2,2.24,269 SO,202 S,427.58,63.18,4,4.21,
