Numero, Fecha, Pp, T_Max, T_Min, T_Med, VV_Max, VV, DWW, DV, Rag_G, HR, ET, EP 
13473,2011-08-01,0,26,14.3,19.65,15.8,6.51,112 E,65 NE,539.57,62.08,5.4,5.58,
18833,2011-08-01,0,27.4,14.2,20.44,14.6,6.83,51 NE,35 N,373.16,53.47,3.9,4.89,
25427,2011-08-01,0,28.3,15.4,21.06,14,3.8,91 E,58 NE,508.59,52.44,5,5.31,
13468,2011-08-01,0,28.1,14.1,20.73,8.4,2.82,91 E,52 NE,420.48,57.03,4,4.48,
18787,2011-08-01,0,26.4,15.5,20.4,19.9,7.8,74 NE,70 NE,183.74,53.21,2.8,3.71,
25413,2011-08-01,0,25.3,14,18.97,20.1,9.05,49 NE,46 NE,567.25,56.91,5.5,6.24,
25420,2011-08-01,0,26.5,13.5,19.55,20.1,8.97,92 E,49 NE,506.68,56.45,4.8,5.93,
13475,2011-08-01,0,25.9,13.4,19.4,10.8,2.71,56 NE,68 NE,518.24,60.69,4.6,5,
22474,2011-08-01,0,29.6,16.2,22.53,8.8,3.39,89 NE,84 NE,531.04,47.28,5.3,5.58,
25422,2011-08-01,0,23.9,11.6,16.92,9.5,4.61,47 NE,55 NE,475.97,64.5,4.3,4.87,
18818,2011-08-01,0,30,17.4,23.41,20.7,11.45,4 N,358 NO,447.35,45.6,5.8,6.71,
22476,2011-08-01,0,20.2,9.8,14.17,17.5,11.87,90 E,85 NE,359.29,70.9,3.2,4.47,
24583,2011-08-01,0,25.6,13.9,19.4,20.1,10.06,92 E,65 NE,<null>,57.76,1.9,<null>,
25447,2011-08-01,0,29.2,15,22.47,10.7,2.44,27 N,36 N,524.71,48.58,5,5.29,
13467,2011-08-01,0,27.8,14.8,20.79,16.7,5.83,67 NE,82 NE,509.28,54.4,5.2,5.56,
13474,2011-08-01,0,27.2,13.8,20.37,21,10.35,67 NE,57 NE,439.88,56.77,5.1,5.67,
13471,2011-08-01,0,27.2,14.5,20.43,15.5,4.29,72 NE,53 NE,517.97,55.52,5,5.37,
13478,2011-08-01,0,26.3,12.5,19.86,24.6,12.51,83 NE,51 NE,420.87,56.19,4.9,5.87,
22581,2011-08-01,0,26.9,15,20.35,15.4,6.74,83 NE,61 NE,444.83,56.05,4.8,5.18,
24478,2011-08-01,0,28.1,14.9,20.35,5.9,1.35,135 SE,90 E,511.37,54.48,4.7,4.89,
