Numero, Fecha, Pp, T_Max, T_Min, T_Med, VV_Max, VV, DWW, DV, Rag_G, HR, ET, EP 
2,2013-02-01,0,28.6,8.2,19.01,5.7,1.45,228 SO,27 N,390.89,28.69,1.9,<null>,
2,2013-02-02,0,28.6,4.6,15.06,3.9,0.97,59 NE,9 N,416.96,43.8,3.1,4.62,
2,2013-02-03,0,24.8,0.3,12.61,5.5,1.41,170 SE,35 N,448.09,47.47,3.2,4.89,
2,2013-02-04,0,25.9,1.6,14.06,15.3,3.99,265 SO,273 O,453.9,43.51,4.3,5.61,
2,2013-02-05,0,25.9,0.6,13.78,12.8,2.1,273 O,293 O,453.43,43.82,3.5,5.32,
2,2013-02-06,0,25.5,1.3,14.75,15.2,3.95,242 SO,261 SO,460.57,39.91,4.1,5.84,
2,2013-02-07,0,26.4,-0.2,13.24,14,3.24,258 SO,284 O,469.33,40.55,4,5.72,
2,2013-02-08,0,26.4,3.1,14.41,15.6,3.49,235 SO,289 O,447.4,38.72,4.2,5.7,
2,2013-02-09,0,24.7,0.2,13.04,23,5.2,271 O,306 O,455.89,45.19,4.3,5.8,
2,2013-02-10,0,23.8,1.5,13.31,22.8,6.8,287 O,265 SO,461.3,44.62,4.5,6.14,
2,2013-02-11,0,24,1.2,13.31,14.5,4.96,255 SO,258 SO,458.09,46.96,4.1,5.73,
2,2013-02-12,0,25.5,1.5,14.11,18.3,4.92,262 SO,266 SO,471.34,45.25,4.4,5.93,
2,2013-02-13,0,24.8,2.9,14.55,27.8,8.9,261 SO,250 SO,469.3,42.7,4.8,6.68,
2,2013-02-14,0,24.1,-1.4,11.14,10.1,1.66,278 O,341 NO,483.08,40.08,3.6,5.5,
2,2013-02-15,0,23.9,-3.8,10.03,5.3,0.82,155 SE,37 N,427.42,37.65,2.8,5.06,
2,2013-02-16,0,23.3,1.1,11.45,9.1,2.02,59 NE,5 N,409.6,45.01,3.1,5.07,
2,2013-02-17,0,24.9,-0.3,12.59,14.7,5.45,184 S,272 O,452.34,51.92,4.3,5.8,
2,2013-02-18,0,28.2,4.8,15.72,10.8,3.36,230 SO,253 SO,479.68,29.39,4.1,6.41,
2,2013-02-19,0,27,0.8,14.09,11,1.95,198 S,340 NO,453.72,38.11,3.8,5.51,
2,2013-02-20,0,25.1,3,14.31,18.1,5,241 SO,258 SO,419.03,39.88,4,5.7,
2,2013-02-21,0,24.6,4.5,15.18,21.4,8.1,247 SO,232 SO,420.64,37.44,4.3,6.35,
2,2013-02-22,0,24.7,2.6,14.63,18.6,5.61,265 SO,234 SO,462.2,41,4.2,6.03,
2,2013-02-23,0,25.5,3,14.54,15.5,4.06,268 SO,269 SO,459.42,40.52,4.3,5.75,
2,2013-02-24,0,24.4,1.6,13.76,19.9,6.02,268 SO,251 SO,421.68,43.54,4.2,5.71,
2,2013-02-25,0,23.7,2.2,13.13,15.3,4.12,181 S,261 SO,378.09,39.42,3.4,5.21,
2,2013-02-26,0,25.5,-0.1,13.69,17.2,5.71,236 SO,303 O,477.57,18.85,4.9,<null>,
2,2013-02-27,0,26.4,1.7,14.95,10.4,2.16,202 S,223 S,470.02,26.67,3.9,5.93,
2,2013-02-28,0,28.6,1.6,15.65,20.4,6.52,271 O,289 O,479.63,34.52,5,6.79,
2,2013-03-01,0,19.8,0.7,10.38,10.3,4.76,6 N,22 N,481.72,22.48,3.7,6.52,
2,2013-03-02,0,20.6,-4.3,8.68,10.7,4.09,55 NE,37 N,502.25,21.74,4.1,6.63,
2,2013-03-03,0,22,-6.1,7.95,6.2,0.98,222 S,331 NO,504.64,34.89,3.6,5.82,
2,2013-03-04,0,27.1,-6.5,10.37,6.3,1.24,192 S,19 N,511.27,31.34,3.9,6.2,
2,2013-03-05,0,28.7,-3.9,12.79,6.9,1.14,151 SE,1 N,486.53,27.81,3.8,6.13,
2,2013-03-06,0,25.2,0.7,13.12,12.6,2.57,175 SE,133 E,444.96,44.98,3.7,5.54,
2,2013-03-07,0,26.3,4.8,15.54,16.2,3.57,174 SE,165 SE,451.12,40.65,4.1,5.8,
2,2013-03-08,0,27.1,6.1,16.26,15.1,3.73,259 SO,303 O,400.67,39.9,3.6,5.43,
2,2013-03-09,0,26.6,11.7,18.26,19,6.35,268 SO,246 SO,443.83,35.54,4.9,6.31,
2,2013-03-10,0,26.2,5.2,16.16,27.7,8.07,259 SO,226 SO,511.58,25.75,5.3,<null>,
2,2013-03-11,0,26.9,-0.3,13.71,4.2,1.02,357 NO,9 N,529.19,31.39,4,5.73,
2,2013-03-12,0,26.3,3,13.97,5.7,1.86,249 SO,19 N,474.05,34.98,3.6,5.5,
2,2013-03-13,0,21.6,7.9,14.86,14.7,4.45,65 NE,68 NE,374.15,38.73,3.2,5.18,
2,2013-03-14,0,27.1,4.2,14.39,17.3,3.05,87 NE,23 N,502.6,38.6,4.2,5.99,
2,2013-03-15,0,22.7,5.9,13.92,14.9,4.02,143 SE,46 NE,306.04,34.73,2.8,4.77,
2,2013-03-16,0,23.2,3.4,13.59,8.7,3.51,227 SO,195 S,383.73,47.94,3,4.87,
2,2013-03-17,0,25.4,2.7,14.58,9.4,3.31,207 S,188 S,475.56,44.5,3.9,5.65,
2,2013-03-18,0.2,26.9,2.6,14.88,7.5,2,183 S,165 SE,535.27,35.52,4.4,6.08,
2,2013-03-19,0,27.8,0.7,12.59,10.4,1.87,173 SE,76 NE,624.7,37.46,4.1,6.58,
2,2013-03-20,0,31,12.7,23.54,9.1,2.84,104 E,164 SE,546.79,23.27,3.2,6.82,
2,2013-03-21,0.2,28.4,5,17.93,19.3,7.59,223 S,231 SO,534.09,39.47,6.2,6.99,
2,2013-03-22,0,28.1,4.5,18.16,26.2,10.46,264 SO,242 SO,560.72,23.05,6.7,<null>,
2,2013-03-23,0.2,27.3,3.8,16.73,32,10.4,270 O,247 SO,559.43,22.38,6.6,<null>,
2,2013-03-24,0,27.6,0.1,14.46,13.9,3.11,260 SO,178 SE,551.85,24.02,5.3,6.55,
2,2013-03-25,0,28.9,-0.6,15.84,19.6,4.77,259 SO,266 SO,556,22.95,5.6,<null>,
2,2013-03-26,0,26.3,8.3,16.18,9.1,2.29,280 O,287 O,415.13,38.85,3.1,5.12,
2,2013-03-27,<null>,<null>,<null>,<null>,<null>,<null>,0 NE, NE,<null>,<null>,<null>,<null>,
2,2013-03-28,<null>,<null>,<null>,<null>,<null>,<null>,0 NE, NE,<null>,<null>,<null>,<null>,
2,2013-03-29,<null>,<null>,<null>,<null>,<null>,<null>,0 NE, NE,<null>,<null>,<null>,<null>,
2,2013-03-30,<null>,<null>,<null>,<null>,<null>,<null>,0 NE, NE,<null>,<null>,<null>,<null>,
2,2013-03-31,<null>,<null>,<null>,<null>,<null>,<null>,0 NE, NE,<null>,<null>,<null>,<null>,
2,2013-04-01,<null>,<null>,<null>,<null>,<null>,<null>,0 NE, NE,<null>,<null>,<null>,<null>,
2,2013-04-02,<null>,<null>,<null>,<null>,<null>,<null>,0 NE, NE,<null>,<null>,<null>,<null>,
2,2013-04-03,<null>,<null>,<null>,<null>,<null>,<null>,0 NE, NE,<null>,<null>,<null>,<null>,
2,2013-04-04,<null>,<null>,<null>,<null>,<null>,<null>,0 NE, NE,<null>,<null>,<null>,<null>,
2,2013-04-05,<null>,<null>,<null>,<null>,<null>,<null>,0 NE, NE,<null>,<null>,<null>,<null>,
2,2013-04-06,0,29.5,14.6,24.24,18.8,9.77,253 SO,255 SO,537.52,14.96,4,<null>,
2,2013-04-07,0.2,29.3,9.5,20.56,18.5,7.51,285 O,224 S,516.43,22.57,6.1,<null>,
2,2013-04-08,0,28.7,12.4,20.44,22.1,7.78,249 SO,211 S,550.32,21.67,6.4,<null>,
2,2013-04-09,0.2,27.6,6.6,18.04,20.8,7.15,223 S,253 SO,487.4,27.19,5.7,6.76,
2,2013-04-10,0,26.8,9.4,17.55,23.2,8.49,272 O,240 SO,410.74,25.32,5.1,6.72,
2,2013-04-11,0,26.5,4.7,15.95,20,4.91,260 SO,224 S,465.52,25.15,4.4,6.26,
2,2013-04-12,0,27.9,1.9,15.94,16.2,5.75,209 S,213 S,530.18,23.79,5.5,<null>,
2,2013-04-13,0,26.2,5.1,16.64,21.8,8.25,286 O,227 SO,562.61,25.93,6.1,<null>,
2,2013-04-14,0,27.6,1,15.84,15.1,4.96,267 SO,208 S,572.52,25.53,5.6,<null>,
2,2013-04-15,0,29.5,1.3,16.9,17,5.24,234 SO,206 S,533.43,23.67,5.5,<null>,
2,2013-04-16,0,31.3,9,19.79,15.8,4.93,166 SE,229 SO,498.18,22.19,5.3,7,
2,2013-04-17,0,31.6,4,19.56,17.8,5.71,281 O,275 O,545.85,23.9,6.4,<null>,
2,2013-04-18,0,31.5,5.6,20.98,23.3,7.19,254 SO,273 O,496.79,22.03,6.4,<null>,
2,2013-04-19,0,32.7,6.4,19.16,21.1,3.9,251 SO,338 NO,549.18,27.39,5.8,6.7,
2,2013-04-20,0,30,4.3,17.26,21.9,5.08,265 SO,273 O,560.73,25.65,6.2,<null>,
2,2013-04-21,0,31.3,5.1,18.51,13.1,3.73,265 SO,194 S,576.58,22.51,5.2,6.98,
2,2013-04-22,0,30.8,1.7,18,14.1,3.47,274 O,275 O,564.46,19.21,5.8,6.97,
2,2013-04-23,0,29.6,6.5,19.61,20.2,6.64,299 O,259 SO,466.21,19.74,6,<null>,
2,2013-04-24,0,30.2,3.8,19.45,13.8,3.93,106 E,168 SE,569.49,19.85,5.7,<null>,
2,2013-04-25,0,30.4,8.3,20.21,21.3,3.76,102 E,190 S,452.62,42.75,4.7,5.49,
2,2013-04-26,0,32.9,12.5,22.75,13.4,2.68,88 NE,8 N,475.66,38.17,4.7,5.63,
2,2013-04-27,0,31.1,10.3,21.13,10.2,1.8,255 SO,284 O,380.24,35.27,3.5,4.77,
2,2013-04-28,0,30.5,8.7,20.75,23.6,5.76,267 SO,274 O,544.85,31.22,6.5,6.79,
2,2013-04-29,0,29.3,6.5,19.21,14.2,2.97,269 SO,180 S,526.7,16.29,5.2,6.4,
2,2013-04-30,0,29.6,1.2,16.78,20.9,4.39,255 SO,220 S,560.25,18.87,6,<null>,
2,2013-05-01,0,30.2,1.4,17.06,7.8,2.1,271 O,141 SE,562.35,17.88,5.1,6.55,
2,2013-05-02,0,32.3,3,18.73,19.3,3.45,140 SE,59 NE,558.4,28.93,5.7,6.72,
2,2013-05-03,0,29.8,9.6,19.43,10.7,1.93,92 E,17 N,496.62,48.84,4.8,5.31,
2,2013-05-04,0,27.9,6.6,18.66,24.3,7.55,259 SO,231 SO,555.81,35.52,6.3,<null>,
2,2013-05-05,0,29.7,8.9,19.09,7.5,2.54,201 S,172 SE,529.77,26.29,4.9,6.19,
2,2013-05-06,0,32.1,6.2,19.36,12.7,2.99,148 SE,197 S,538.36,35.2,5.1,6.19,
2,2013-05-07,0,32.4,8.6,21.51,10.4,1.88,254 SO,338 NO,552.88,25.73,5.4,6.3,
2,2013-05-08,0,30.7,5.3,19.67,8.4,2.39,310 O,110 E,547.34,28.84,5.2,6.17,
2,2013-05-09,0,31.5,6.7,20.58,7.5,1.64,166 SE,59 NE,456.39,28.58,4.2,5.45,
2,2013-05-10,0,31.2,9.1,21.59,16.5,4.91,325 NO,267 SO,527.89,26.46,6.2,6.75,
2,2013-05-11,0,29.3,9.5,20.78,18.4,3.88,254 SO,254 SO,437.25,24.62,4.8,5.87,
