Nombre, Numero, Fecha, Pp, T_Max, T_Min, T_Med, VV_Max, VV, DWW, DV, Rag_G, HR, ET, EP 
CEPAB,22581,2014-02-01,0,24.6,6.2,14.65,9.2,3.45,210.8 S,206.1 S,374.91,38.72,3.2,5.26,
CEPAB,22581,2014-02-02,0,25.6,6.1,14.97,8.8,4.58,251 SO,222.2 S,394.48,36.68,3.2,5.65,
CEPAB,22581,2014-02-03,0,25.4,1.8,13.71,8.6,3.24,175.3 SE,210.9 S,384.72,41.35,3.4,5.09,
CEPAB,22581,2014-02-04,0,25,5,15.05,9.3,4.46,287.8 O,238.5 SO,397.61,45.15,3.7,5.25,
CEPAB,22581,2014-02-05,0,24.9,2,14.16,9.3,3.28,218.3 S,215.9 S,402.79,47.78,3.4,4.99,
CEPAB,22581,2014-02-06,0,24.9,5.3,15.04,8.1,2.87,204.8 S,205.2 S,403.29,46.31,3.1,4.99,
CEPAB,22581,2014-02-07,0,24.1,4,14.72,11.3,2.94,259.4 SO,239.9 SO,403.58,41.98,3,5.07,
CEPAB,22581,2014-02-08,0,25.8,3.5,14.19,6,1.97,209.4 S,186.8 S,400.46,39.68,3.1,4.98,
CEPAB,22581,2014-02-09,0,26.2,4.3,14.65,6.3,1.64,15.2 N,125.1 E,406.45,34.28,3.2,5.1,
CEPAB,22581,2014-02-10,0,26.3,3.5,15.13,6,1.79,112.7 E,183.4 S,408.85,38.45,3.3,5.06,
CEPAB,22581,2014-02-11,0,24.9,3,14.83,11.5,3.82,261 SO,229.7 SO,380.96,33.53,3.7,5.36,
CEPAB,22581,2014-02-12,0,23.6,1.9,14.54,7.6,2.55,233.1 SO,74 NE,428.03,26.48,3.4,5.55,
CEPAB,22581,2014-02-13,0,26.2,1,13.89,8.2,2.52,200.9 S,183.3 S,430.74,33.32,3.6,5.47,
CEPAB,22581,2014-02-14,0,25.5,2,14.21,6.2,2,38.9 N,84.4 NE,435.75,32.47,3.4,5.42,
CEPAB,22581,2014-02-15,0,26.2,2.4,15.01,6.3,2.22,55.2 NE,161.9 SE,440.06,29.07,3.6,5.62,
CEPAB,22581,2014-02-16,0,26.6,2.2,14.69,5.6,2.01,207.4 S,131.5 E,450.88,31.41,3.5,5.58,
CEPAB,22581,2014-02-17,0,27.3,4.1,15.92,7.7,2.77,356.2 NO,7.5 N,449.52,29.86,3.7,5.8,
CEPAB,22581,2014-02-18,0,27.4,4.2,16.06,4.9,2.15,202.4 S,175.3 SE,443.38,31.76,3.6,5.53,
CEPAB,22581,2014-02-19,0,27.4,4,16.43,7.3,2.24,274.7 O,227.8 SO,442.98,37.78,3.9,5.36,
CEPAB,22581,2014-02-20,0,25.2,6.5,16.46,12,3.74,279.1 O,233.7 SO,393.02,35.9,3.6,5.27,
CEPAB,22581,2014-02-21,0,24.6,3,14.11,8.2,2.15,206.5 S,181.7 S,399.63,40.81,3,4.83,
CEPAB,22581,2014-02-22,0,25.2,6.6,15.22,7.9,2.22,215.7 S,200.2 S,316.25,43.43,2.6,4.27,
CEPAB,22581,2014-02-23,0,25.1,3.8,15.36,8.1,2.43,201.1 S,189 S,455.84,44.45,3.8,5.26,
CEPAB,22581,2014-02-24,0,25.7,5.2,15.97,7.7,2.53,202.7 S,181.3 S,455.45,46.75,3.7,5.25,
CEPAB,22581,2014-02-25,0,24,5.8,14.83,7.2,2.21,236.5 SO,243.4 SO,268.03,47.93,2.1,3.78,
CEPAB,22581,2014-02-26,0,26.8,4.4,16.26,10.7,2.99,285.1 O,253 SO,489.45,41.65,4.3,5.7,
CEPAB,22581,2014-02-27,0,25.5,8.2,17.19,8.4,3.14,280.3 O,67 NE,510.8,34.28,4.1,6.03,
CEPAB,22581,2014-02-28,0,27.3,2.2,15.63,7.8,2.57,250.8 SO,203.5 S,516.32,31.09,4.4,6.06,
CEPAB,22581,2014-03-01,0,27.2,2.8,16.03,9.9,2.81,196.8 S,195.5 S,507.46,32.8,4.1,5.99,
CEPAB,22581,2014-03-02,0,27.1,5.4,17.28,10,2.84,219.2 S,194.4 S,504.9,35.7,4.2,5.89,
CEPAB,22581,2014-03-03,0,26.2,7.1,17.04,10.3,3.12,203.8 S,193.7 S,439.02,34.99,4.1,5.5,
CEPAB,22581,2014-03-04,0,25.9,7.6,17.53,11.9,5.17,281.3 O,241.5 SO,522.93,30.46,5.1,6.61,
CEPAB,22581,2014-03-05,0,25.2,7,16.55,13.2,5.89,288.4 O,232.5 SO,543.3,31.05,4.9,6.83,
CEPAB,22581,2014-03-06,0,25,4.2,15.21,5.8,2.59,222.3 S,146.6 SE,509.68,30.75,4,5.9,
CEPAB,22581,2014-03-07,0,25.4,4.8,15.74,10.8,4.7,266.2 SO,247.7 SO,512.2,39.88,5,6.12,
CEPAB,22581,2014-03-08,0,24.4,9.8,16.84,12.2,5.69,267.5 SO,223.5 S,406.72,43.69,3.6,5.46,
CEPAB,22581,2014-03-09,6.2,22.9,6.2,14.52,12.2,4.32,213 S,210.8 S,396.4,60.26,3.1,4.58,
CEPAB,22581,2014-03-10,0,21.8,7.4,13.91,15,6.57,210.6 S,219.3 S,429.22,59.38,3.6,5.12,
CEPAB,22581,2014-03-11,0,25.5,-0.2,13.17,8.9,3.18,195.3 S,193.1 S,555.23,39.1,4.6,6.24,
CEPAB,22581,2014-03-12,0,26.1,1.5,14.73,7,2.33,211.2 S,176.3 SE,547.42,32.2,4.5,6.3,
CEPAB,22581,2014-03-13,0,27.3,5.2,16.56,9.1,3.4,,191.4 S,512.25,43.85,4.4,5.97,
CEPAB,22581,2014-03-14,0,27.4,5.4,16.97,12.6,4.28,233.3 SO,241.1 SO,524.21,26.3,5.3,6.75,
CEPAB,22581,2014-03-15,0,27.4,4,17.51,12.2,5.35,279.6 O,254.7 SO,538.84,27.38,5.5,6.98,
CEPAB,22581,2014-03-16,0,24.9,6.3,15.16,19.6,6.91,3.7 N,230.8 SO,503.96,29.82,5.3,6.84,
CEPAB,22581,2014-03-17,0,21.7,2.8,11.21,15.9,7.51,29.6 N,21.8 N,510.37,33.14,4.3,6.81,
CEPAB,22581,2014-03-18,0,25.7,0.5,14.03,14.1,4.48,222.4 S,210.9 S,555.33,28.65,5.2,6.88,
CEPAB,22581,2014-03-19,0,26,4.8,16.44,10,3.57,194.1 S,199.8 S,531.05,37.2,4.5,6.33,
CEPAB,22581,2014-03-20,0,28.5,6.5,17.93,7.2,2.47,208.1 S,140.5 SE,517.65,43.23,4.4,5.89,
CEPAB,22581,2014-03-21,0,30.1,7,19.29,7.8,2.31,217.4 S,191.4 S,540.83,47.54,5,5.79,
CEPAB,22581,2014-03-22,0.8,30.7,7.8,20.08,8.9,2.56,198.1 S,192.3 S,485.74,38.92,4.8,5.65,
CEPAB,22581,2014-03-23,0,30.8,7.4,20.51,9.1,3.08,287.8 O,214 S,487.75,34.62,4.7,5.84,
CEPAB,22581,2014-03-24,0,28.7,10,20.32,11.6,3.53,277.8 O,249.9 SO,411.91,28.08,3.9,5.51,
CEPAB,22581,2014-03-25,0,29.4,9.6,19.74,10.4,3.7,262.8 SO,211 S,515.12,31.57,5.2,6.11,
CEPAB,22581,2014-03-26,0,27.4,6.3,17.95,12.4,4.87,283.3 O,233.8 SO,509.49,44.96,5.3,5.77,
CEPAB,22581,2014-03-27,0,25.9,10.5,18.78,11.1,6.53,291.5 O,249.6 SO,397.78,30.37,4.4,5.9,
CEPAB,22581,2014-03-28,0,26.1,7.4,16.89,10.7,3.82,315 NO,275.9 O,388.64,35.89,3.8,5.11,
CEPAB,22581,2014-03-29,0,27.3,6.3,17.15,9.6,3.42,98.4 E,119.3 E,427.25,39.15,3.6,5.3,
CEPAB,22581,2014-03-30,0,27.1,9.9,18.36,8.8,3.22,256.2 SO,211.2 S,455.21,42.15,4,5.37,
CEPAB,22581,2014-03-31,0,28.7,7.4,19.08,9.6,2.52,241 SO,204.1 S,552.3,31.8,5.2,6.22,
CEPAB,22581,2014-04-01,0,29.3,5.7,18.79,10.9,3.35,284.5 O,206.7 S,542.99,28.24,5.4,6.44,
CEPAB,22581,2014-04-02,0,29.5,6.2,19.42,11.2,4.63,273.1 O,239.3 SO,566.27,23.17,6,<null>,
CEPAB,22581,2014-04-03,0,28.6,7,19.42,12.1,5.53,276.7 O,253.7 SO,503.95,21.3,5.6,6.89,
CEPAB,22581,2014-04-04,0,30.1,6.4,19.48,6.7,2.72,323.3 NO,195.7 S,567.45,19.9,5.1,6.66,
CEPAB,22581,2014-04-05,0,29.4,5.7,19.09,12.7,4.61,209.4 S,227.1 SO,554.31,20.2,5.8,<null>,
CEPAB,22581,2014-04-06,0,28.6,8.7,19.45,14.7,6.18,231.4 SO,228.9 SO,563.12,24.51,5.9,<null>,
CEPAB,22581,2014-04-07,0,27.8,8.9,19.09,11.9,4.74,302.9 O,248.5 SO,545.56,25.07,5.4,6.76,
CEPAB,22581,2014-04-08,0,24.9,4.7,16.25,13.4,6.74,18.6 N,57.6 NE,551.63,16.57,5.6,<null>,
CEPAB,22581,2014-04-09,0,24.5,6.8,16.12,7.8,3.21,9.7 N,62.3 NE,376.67,29.25,3.1,5.06,
CEPAB,22581,2014-04-10,0,29.2,4.9,17.56,8.9,2.42,307.2 O,66.3 NE,529.42,26.18,4.6,6.25,
CEPAB,22581,2014-04-11,0,29.6,7.2,20.51,4.9,2.05,214 S,184.5 S,440.59,24.21,4,5.69,
CEPAB,22581,2014-04-12,0,31.4,7.6,21.44,7.3,2.8,266.1 SO,201.4 S,570.09,22.17,5.3,6.76,
CEPAB,22581,2014-04-13,0,31.6,10.9,22.18,11,4.78,242.4 SO,235.6 SO,513.47,19.78,5.6,6.94,
CEPAB,22581,2014-04-14,0,32,8.3,21.39,9.8,3.59,26.2 N,257.1 SO,571.41,25.38,5.9,6.7,
CEPAB,22581,2014-04-15,0,28,12,19.31,9.8,4.33,64.4 NE,,492.61,40.95,4.4,5.63,
CEPAB,22581,2014-04-16,0,28,5.3,17.55,11.3,5.69,,266.6 SO,495.97,41.77,5.3,5.93,
CEPAB,22581,2014-04-17,0,25.4,14.6,19.75,9.4,4.37,289.4 O,228.2 SO,287.57,32.52,3,4.57,
CEPAB,22581,2014-04-18,0,27.2,7.6,18.73,9.4,3.22,118.9 E,155 SE,434.08,36.38,4.3,5.32,
