Nombre, Numero, Fecha, Pp, T_Max, T_Min, T_Med, VV_Max, VV, DWW, DV, Rag_G, HR, ET, EP 
CEPAB,22581,2014-04-19,0,28.9,9.4,19.76,8.8,3.19,303.1 O,230.1 SO,444.72,46.77,4.3,5.15,
CEPAB,22581,2014-04-20,0,29.1,10.5,20.55,6.8,2.16,66.4 NE,181.2 S,420.09,45.58,3.9,4.8,
CEPAB,22581,2014-04-21,0,29.5,9.7,20.11,6.9,2.54,118.4 E,126.9 E,445.1,44.32,4.1,5.07,
CEPAB,22581,2014-04-22,0,29.5,9.2,20.88,8.6,2.99,88.2 NE,187.3 S,506.16,42.03,4.9,5.58,
CEPAB,22581,2014-04-23,0,30.3,11.4,21.39,9.7,3.86,279.3 O,235.2 SO,534.79,35.52,5.6,6.16,
CEPAB,22581,2014-04-24,0,30.2,10,21.85,7.4,2.83,287.3 O,235.4 SO,561.76,21.76,5.8,6.5,
CEPAB,22581,2014-04-25,0,29.7,10.7,21.26,10.5,3.95,285.3 O,241.5 SO,495.03,27.53,5.1,6.12,
CEPAB,22581,2014-04-26,0,30.1,12,21.21,11.5,4.11,284.1 O,220.6 S,418.71,30.91,4.6,5.58,
CEPAB,22581,2014-04-27,0,28.8,10.2,21.02,12,4.86,294.4 O,244.5 SO,560.71,33.74,6,6.49,
CEPAB,22581,2014-04-28,0,30.1,8.5,20.63,6.6,2.96,225.5 SO,194.1 S,525.77,28.7,5,6.07,
CEPAB,22581,2014-04-29,0,30.8,10.4,21.18,7.3,3,194.6 S,192.9 S,445.7,22.92,4.7,5.8,
CEPAB,22581,2014-04-30,0,29.6,12.1,21.75,9.9,4.62,212.3 S,215.6 S,467.38,23.19,5.2,6.29,
CEPAB,22581,2014-05-01,0,27.7,11.1,19.49,13.9,5.52,232.6 SO,252.4 SO,375.79,38.56,4,5.21,
CEPAB,22581,2014-05-02,0,27.4,10.4,19.52,15.9,5.59,12.3 N,260.9 SO,340.22,31.79,4,5.25,
CEPAB,22581,2014-05-03,0,26.7,6.8,17.61,12.6,5.15,10.1 N,50.9 NE,530.97,34.44,5.1,6.32,
CEPAB,22581,2014-05-04,0,30,9.6,20.39,6.4,2.18,100.9 E,159.4 SE,498.25,39.24,4.5,5.55,
CEPAB,22581,2014-05-05,0,30.4,9.5,20.86,8.6,2.42,306.1 O,93.9 E,500.62,33.03,4.8,5.79,
CEPAB,22581,2014-05-06,0,30.5,9.5,21.63,9.7,3.74,203.5 S,194.6 S,465.45,29.75,5.2,5.96,
CEPAB,22581,2014-05-07,5.4,25.4,13.7,18.51,10.7,4.5,207.7 S,205.9 S,257.3,60.03,2.4,3.38,
CEPAB,22581,2014-05-08,0.4,24.1,13.4,17.85,8,4.02,205.2 S,196.1 S,349.12,71.14,3.2,3.59,
CEPAB,22581,2014-05-09,0,28.7,13.3,20.73,6.3,3.15,201.7 S,196.9 S,507.91,54.77,4.8,5.25,
CEPAB,22581,2014-05-10,0,30.1,11.1,21.16,6,2.04,220.9 S,180.7 S,526.82,39.56,4.8,5.69,
CEPAB,22581,2014-05-11,0,30,14.5,22.38,8.6,4.08,214.2 S,197.9 S,497.79,41.31,5.2,5.8,
CEPAB,22581,2014-05-12,0,30,14.8,22.64,8,3.13,204.1 S,201.5 S,475.57,39.94,5,5.42,
CEPAB,22581,2014-05-13,0,30.3,14.6,22.58,8.4,3.5,276.9 O,217.9 S,522.08,37.38,5.4,5.85,
CEPAB,22581,2014-05-14,0,26.3,12.9,19.72,14.4,4.98,12.3 N,63.4 NE,391.95,51.05,3.8,4.6,
CEPAB,22581,2014-05-15,0,25.1,11.1,17.4,8.8,4.54,52.9 NE,78 NE,480.48,49.08,4.3,5.21,
CEPAB,22581,2014-05-16,0,27.6,7.8,18.26,8.4,3.11,94.2 E,70.7 NE,506.91,37.45,4.7,5.69,
CEPAB,22581,2014-05-17,0,29.4,7.6,20.16,9.6,2.81,85.9 NE,60.2 NE,516.68,23.69,5.3,6.26,
CEPAB,22581,2014-05-18,0,30.2,9.7,21.32,7.2,2.74,158.2 SE,159.5 SE,491.04,24.36,5,6.09,
CEPAB,22581,2014-05-19,0,30.9,11.2,22.22,7.1,2.81,51.1 NE,136 SE,499.09,25.49,5.1,6.08,
CEPAB,22581,2014-05-20,0,30.4,12.3,22.08,16.7,3.34,312.2 O,214.2 S,445.44,28.04,4.7,5.69,
CEPAB,22581,2014-05-21,0,29,12.3,21.36,14,3.4,299 O,146.3 SE,385.19,34.69,4,4.99,
CEPAB,22581,2014-05-22,0.6,27.3,13.9,20.29,10.7,3.43,10.8 N,204.4 S,391.01,52.86,3.6,4.38,
CEPAB,22581,2014-05-23,11.6,26.9,14,18.48,8.4,2.5,234.5 SO,197.3 S,387.53,71.95,3.3,3.71,
CEPAB,22581,2014-05-24,3.8,25.6,13.5,18.53,9.6,3.12,303 O,243.5 SO,350.73,70.07,3.2,3.62,
CEPAB,22581,2014-05-25,0,28.1,12.7,19.52,7.9,2.12,261.9 SO,192.2 S,321.91,64.82,2.8,3.62,
CEPAB,22581,2014-05-26,0,27.4,14.1,19.62,7.6,2.71,209.5 S,223.2 S,364.21,65.15,2.9,3.95,
CEPAB,22581,2014-05-27,0.2,28.1,14.1,20.32,11.8,3.76,338.9 NO,183 S,385.65,59.08,3.7,4.4,
CEPAB,22581,2014-05-28,0,28,15.1,21.28,10.3,3.25,222.5 S,208.3 S,335.68,55.31,3.4,4.08,
CEPAB,22581,2014-05-29,0,26,15.2,20.12,8.3,3.77,221 S,199 S,312.24,60.85,2.9,3.7,
CEPAB,22581,2014-05-30,7,23.9,15.5,18.53,11.5,3.25,20.8 N,30.3 N,211.47,75.67,1.6,2.41,
CEPAB,22581,2014-05-31,0,28.7,13,20.01,9.8,3.74,23.6 N,51.4 NE,409.15,59.59,4.2,4.51,
CEPAB,22581,2014-06-01,0,29.2,11.9,21.05,11.1,3.72,43.1 N,76.5 NE,436.64,50.14,4.4,5.04,
CEPAB,22581,2014-06-02,0,29.3,12.4,21.4,13,4.38,,86.2 NE,448.12,48.09,4.5,5.28,
CEPAB,22581,2014-06-03,0,27.6,13.3,20.24,8.1,4.07,106.3 E,97.4 E,366.91,51.03,3.8,4.46,
CEPAB,22581,2014-06-04,0,29.2,13,21.21,7.7,3.36,112.2 E,72.5 NE,422.49,50.18,4,4.8,
CEPAB,22581,2014-06-05,0,30,14.3,22.18,10.1,3.34,128.1 E,147.7 SE,418,48.78,4.3,4.85,
CEPAB,22581,2014-06-06,1.2,29.5,15.2,21.84,11.6,3.06,48.7 NE,122.2 E,323.03,56.22,3.1,3.93,
CEPAB,22581,2014-06-07,0,30.8,16.9,22.61,7.2,3.11,75.4 NE,103.5 E,381.23,52.38,3.7,4.45,
CEPAB,22581,2014-06-08,0,29.9,15.1,22.84,6,2.51,215.8 S,182.3 S,379.07,52.11,3.6,4.28,
CEPAB,22581,2014-06-09,14.4,30.5,15,22.36,8.8,3.89,206.5 S,186.6 S,382.23,61.83,3.6,4.21,
CEPAB,22581,2014-06-10,0.2,29.6,15.1,21.57,8,4.34,64.4 NE,67.9 NE,402.56,55.07,4.2,4.58,
CEPAB,22581,2014-06-11,0,30.1,13.9,22,11,3.62,21.8 N,58.7 NE,406.23,47.9,4.2,4.77,
CEPAB,22581,2014-06-12,0,31.6,13,22.24,7.6,2.72,14.5 N,82.1 NE,422.12,40.84,4.2,5.02,
CEPAB,22581,2014-06-13,0,30.8,12.5,22.54,6.4,2.49,7.6 N,165.7 SE,373.37,37.01,3.8,4.74,
CEPAB,22581,2014-06-14,0,30.1,14.5,22.41,8.3,3.39,213.1 S,159 SE,387.45,44.05,3.9,4.74,
CEPAB,22581,2014-06-15,0.4,30.9,13.4,21.31,16.3,3.35,7.6 N,255.5 SO,415.66,52.52,4.1,4.67,
CEPAB,22581,2014-06-16,18.6,30.3,15.2,21.24,7.6,3.92,25 N,22.1 N,430.69,58.88,4,4.63,
CEPAB,22581,2014-06-17,7.4,27.2,15.5,19.9,6.9,3.2,139.9 SE,315.9 NO,359.92,68.91,3.3,3.67,
CEPAB,22581,2014-06-18,0,27.5,16.2,19.61,8.8,2.7,291.2 O,207.5 S,318.03,69.59,3,3.39,
CEPAB,22581,2014-06-19,3.4,26,15.5,18.86,10,2.81,334.2 NO,200.9 S,370.21,72.93,3.2,3.64,
CEPAB,22581,2014-06-20,6.6,25.5,13.7,18.86,5.7,2.33,147.8 SE,196.3 S,367.02,71.49,3.3,3.65,
CEPAB,22581,2014-06-21,7.2,25.4,14.6,19.3,8.7,2.99,99.9 E,158.4 SE,352.76,71.06,2.9,3.65,
CEPAB,22581,2014-06-22,1.4,26.2,14.6,19.86,7.9,2.37,,201 S,420.75,71.53,3.9,4.06,
CEPAB,22581,2014-06-23,18,23.2,15.8,18.85,8.2,2.93,289.3 O,194.9 S,274.28,78.64,2.1,2.81,
CEPAB,22581,2014-06-24,0.4,26.2,14.8,19.36,8.6,1.92,91.7 E,196.9 S,340.01,76.19,3,3.34,
CEPAB,22581,2014-06-25,0,25.2,14.8,19.65,7.2,3.04,357.3 NO,18.7 N,276.7,69.34,2.5,3.16,
CEPAB,22581,2014-06-26,0,26,15.4,20.52,8.6,3.09,349.6 NO,202 S,359.64,68.06,3.3,3.8,
CEPAB,22581,2014-06-27,0,26.7,15.5,19.84,8.2,3.7,212.8 S,209.2 S,384.43,69.38,3.3,3.97,
CEPAB,22581,2014-06-28,2.2,27.9,14.1,20.08,5.7,2.5,214.5 S,184.9 S,422.46,66.12,3.9,4.21,
CEPAB,22581,2014-06-29,4.4,28.1,13.3,20.2,7.8,2.55,183.3 S,174.7 SE,352.05,66.7,3.3,3.74,
CEPAB,22581,2014-06-30,2,25.7,15.3,19.96,8.2,2.78,113.2 E,168.1 SE,312.75,66.05,2.8,3.44,
CEPAB,22581,2014-07-01,0,26.4,14.7,19.46,5.2,2.36,212.5 S,199.4 S,301.62,68.85,2.5,3.27,
CEPAB,22581,2014-07-02,7.6,27.9,15.1,20.42,12.9,2.34,31.6 N,142.7 SE,396.03,63.65,3.7,4.1,
CEPAB,22581,2014-07-03,0,25.1,15.9,19.06,7.1,3.21,,92.6 E,287.52,63.38,2.8,3.38,
CEPAB,22581,2014-07-04,0,24.8,14.8,18.83,8.3,3.64,91.8 E,81.1 NE,229.55,62.64,2.2,3.06,
CEPAB,22581,2014-07-05,0,25.5,13.7,18.68,8.7,3.42,112.7 E,88 NE,269.88,61.13,2.7,3.4,
CEPAB,22581,2014-07-06,0,26.5,11.5,18.73,7.9,3.67,69.7 NE,48.8 NE,373.37,61.24,3.3,4.2,
CEPAB,22581,2014-07-07,3,26.7,13.5,19.88,9.2,3.13,303 O,181.9 S,398.56,59.45,3.8,4.37,
CEPAB,22581,2014-07-08,1.4,24.8,13.8,17.73,7.2,3,343.1 NO,190.4 S,291.44,76.26,2.2,3.06,
CEPAB,22581,2014-07-09,18.6,26.1,13.4,18.22,15.6,3.07,352 NO,,366.6,76.5,3.1,3.63,
CEPAB,22581,2014-07-10,20.6,24.4,13.3,17.42,9.2,3.5,35.4 N,189.3 S,370.11,79.51,2.9,3.57,
CEPAB,22581,2014-07-11,22.6,23,13.9,16.61,6.5,2.51,85.1 NE,187.2 S,251.31,83.55,1.9,2.59,
CEPAB,22581,2014-07-12,0,25.3,15.5,18.66,5.3,2.78,95.2 E,120 E,341.16,66.2,2.7,3.8,
CEPAB,22581,2014-07-13,0,25.6,12.8,18.68,5.5,2.84,138.6 SE,41.4 N,394.13,64.91,3.6,4.2,
CEPAB,22581,2014-07-14,0,26.8,11,19.14,8.2,3.02,42.1 N,57.4 NE,461.08,58.74,4.3,4.85,
CEPAB,22581,2014-07-15,0,28.3,12,20.18,5.9,1.67,79.4 NE,63.3 NE,444.79,56.2,4.3,4.61,
CEPAB,22581,2014-07-16,0,27.9,13.1,20.27,6.9,2.48,227.8 SO,184.2 S,379.77,59.27,3.4,4.17,
CEPAB,22581,2014-07-17,0,27.3,14.5,19.84,8.2,3.8,290.2 O,210.5 S,373.02,69.5,3.3,3.92,
CEPAB,22581,2014-07-18,59.8,27.5,12.6,18.84,8.3,3.35,180.2 S,231 SO,363.14,74.62,2.9,3.64,
CEPAB,22581,2014-07-19,1.8,25,14.1,18.4,5.7,2.81,205.8 S,187.9 S,301.85,73.73,2.4,3.16,
CEPAB,22581,2014-07-20,0.4,28.1,14.1,20.65,6,2.4,200.6 S,190.5 S,440.06,63.27,4.1,4.47,
CEPAB,22581,2014-07-21,0,29.2,12.9,21.02,5.5,2.83,342.9 NO,69.5 NE,456.7,54.62,4.3,4.9,
CEPAB,22581,2014-07-22,0,28.7,10.8,20.43,8,3.42,94.8 E,75.4 NE,468.25,49.09,4.6,5.17,
CEPAB,22581,2014-07-23,0,27.6,11.7,19.96,7.7,3.6,77.4 NE,97.8 E,435.25,52.72,4.2,4.79,
CEPAB,22581,2014-07-24,0,26,10.4,18.91,9,3.06,190.6 S,87.7 NE,419.21,54.86,3.9,4.49,
CEPAB,22581,2014-07-25,1.8,26.8,11,17.24,11.2,2.66,100.1 E,159.1 SE,436.81,72.55,3.5,4.13,
CEPAB,22581,2014-07-26,0.2,27.8,12,19.43,8,2.39,223.4 S,74.7 NE,481.18,66.94,4.1,4.64,
CEPAB,22581,2014-07-27,1.2,29,13.5,20.17,8.4,2.62,105.6 E,69.1 NE,464.26,61.18,4.2,4.77,
CEPAB,22581,2014-07-28,0,28.4,10.6,19.76,7.5,3.56,117.2 E,76.9 NE,519.91,56.86,5.2,5.34,
CEPAB,22581,2014-07-29,6,27.7,11.1,18.44,7.7,2.8,288.1 O,111.5 E,422.06,63.22,3.8,4.34,
CEPAB,22581,2014-07-30,0,28.8,13.7,20.21,5.1,2.22,292.5 O,256.7 SO,488.5,62.01,4.2,4.78,
CEPAB,22581,2014-07-31,0,29.9,12.7,21.12,5.3,1.74,138.3 SE,105.7 E,497.59,57.8,4.9,4.92,
CEPAB,22581,2014-08-01,0,29.9,13.2,21.5,6.5,2.02,133.4 E,129.5 E,523.95,56.18,4.9,5.14,
CEPAB,22581,2014-08-02,0,29.3,10,20.45,6.9,3.07,4.6 N,82.7 NE,506.43,44.01,4.8,5.48,
CEPAB,22581,2014-08-03,0,27.7,13.6,21.06,6,2.57,230.3 SO,133 E,456.73,41.94,4.3,5.05,
CEPAB,22581,2014-08-04,0,28.9,12.3,21.11,6.2,2.26,113.2 E,136.8 SE,522.35,46.41,4.9,5.34,
CEPAB,22581,2014-08-05,0,28.9,14.7,21.6,6.7,3.27,134 E,116.7 E,462.13,49.44,4.5,5.05,
CEPAB,22581,2014-08-06,0,28.9,13.9,21.69,6.3,2.88,204.6 S,154 SE,521.56,48.97,4.9,5.35,
CEPAB,22581,2014-08-07,4.2,27.7,11.7,18.4,9.3,3.32,285.7 O,204.7 S,506.56,70.82,4.1,4.61,
CEPAB,22581,2014-08-08,0,25.2,12.3,17.51,6.5,2.14,288.6 O,190.2 S,268.71,75.01,2.1,2.79,
CEPAB,22581,2014-08-09,3.4,25.3,12.7,16.93,10.1,2.45,109.5 E,197.3 S,382.28,78.61,2.9,3.59,
CEPAB,22581,2014-08-10,0.6,27.4,14.4,18.67,11.9,2.79,131.8 E,203.6 S,492.77,73.57,4.5,4.64,
CEPAB,22581,2014-08-11,0,27.4,12,19.26,8.3,3.36,111.7 E,68.2 NE,444.96,64.15,4.1,4.65,
CEPAB,22581,2014-08-12,0,28,16.1,21.06,6.5,3.36,90.7 E,102.8 E,451.44,57.44,4.1,4.88,
CEPAB,22581,2014-08-13,0,27.8,13.7,20.44,8,3.98,118.5 E,93.2 E,490.58,54.56,4.5,5.22,
CEPAB,22581,2014-08-14,4,27.7,12.3,19,7.7,2.88,112.8 E,133.3 E,441.28,64.44,4,4.41,
CEPAB,22581,2014-08-15,0.2,27.3,11.2,18.28,6.1,1.93,359 NO,176.7 SE,448.15,71.24,3.9,4.16,
CEPAB,22581,2014-08-16,1,28.6,11.9,19.49,9.5,2.03,10.5 N,197.9 S,468.79,65.67,4.3,4.54,
CEPAB,22581,2014-08-17,0.2,28.8,12.5,19.61,8.3,2.44,193.6 S,175.5 SE,527.34,65.81,4.8,4.99,
CEPAB,22581,2014-08-18,0.2,29.5,12,18.3,9.6,2.39,234.9 SO,165.9 SE,476.2,71.93,4.3,4.49,
CEPAB,22581,2014-08-19,1.2,27.1,12.2,18.81,8.9,2.68,308.5 O,208.6 S,466.58,68.87,4.2,4.48,
CEPAB,22581,2014-08-20,52.6,24,12.6,16.66,7.4,2.44,160.1 SE,184.6 S,329.98,82.4,2.5,3.12,
CEPAB,22581,2014-08-21,3.2,26.3,12.4,18.37,7.3,3.44,111.5 E,81.1 NE,478.05,68.04,4.4,4.73,
CEPAB,22581,2014-08-22,0,26.5,14.3,19.66,6.1,2.95,65.7 NE,68.4 NE,509,57.54,4.5,5.18,
CEPAB,22581,2014-08-23,0.2,26.7,12.5,18.18,5.2,2.19,46.6 NE,72.1 NE,422.91,70.49,3.5,4.15,
CEPAB,22581,2014-08-24,0,26.8,10.6,18.84,5.1,2.28,211.2 S,176.1 SE,514.79,66.81,4.2,4.84,
CEPAB,22581,2014-08-25,0,27.8,10.8,19.26,4.7,2.19,13.2 N,168.5 SE,538.24,62.66,4.7,5.1,
CEPAB,22581,2014-08-26,0,28.6,11.4,20.26,6.3,2.51,6.8 N,56.4 NE,556.95,55.28,5,5.49,
CEPAB,22581,2014-08-27,0,28.3,12.5,20.17,6.4,2.5,32.3 N,50.5 NE,512.76,58.64,4.5,5.06,
