Numero, Fecha, Temt, Dirv, Velv, Radg, Humr, Humh , Eto 
13472,2015-09-26,0,16.,58.7 NE,2.5,1,70,0,,
25422,2015-09-26,0,12.,64 NE,0.4,0,75,0,,
18848,2015-09-26,0,15.,,10,0,52,0,,
22474,2015-09-26,0,17.,185. S,0,0,58,,,
13468,2015-09-26,0,14.,60.7 NE,0,1,61,0,,
15977,2015-09-26,0,15.,84.8 NE,6.3,0,67,,,
22476,2015-09-26,0,10.,68.5 NE,0.4,0,75,0,,
22575,2015-09-26,0,16.,299. O,0.7,0,60,0,,
24478,2015-09-26,0,16.,182. S,0,0,64,0,,
13470,2015-09-26,0,17.,,0.1,0,62,0,,
48291,2015-09-26,0,14.,105. E,8.6,0,71,,,
24576,2015-09-26,0,15,86.1 NE,4.3,0,67,,,
25420,2015-09-26,0,15.,351. NO,0.4,0,68,0,,
25427,2015-09-26,0,17.,37.2 N,3,0,56,0,,
22476,2015-09-26,0,11.,48 NE,0.5,0,74,0,,
22575,2015-09-26,0,17,301. O,2.8,0,58,0,,
24478,2015-09-26,0,17.,182. S,0,0,62,0,,
13470,2015-09-26,0,18.,58.4 NE,0.1,0,59,0,,
48291,2015-09-26,0,14.,94 E,7.4,0,71,,,
24576,2015-09-26,0,15.,127. E,4.2,0,65,,,
25420,2015-09-26,0,15.,9.1 N,0.3,0,65,0,,
25427,2015-09-26,0,18.,26.5 N,3.1,0,52,0,,
13468,2015-09-26,0,15.,335. NO,0,1,60,0,,
15977,2015-09-26,0,14.,78.2 NE,3.3,0,69,,,
13466,2015-09-26,0,14.,50.8 NE,5.5,1,70,0,,
13472,2015-09-26,0,17,30.1 N,2.5,1.4,68,0,,
25422,2015-09-26,0,12.,60.5 NE,0.3,0,75,0,,
18848,2015-09-26,0,15.,52 NE,10,0,51,0,,
22474,2015-09-26,0,17.,168. SE,0,0,56,,,
22581,2015-09-26,0,16.,255. SO,0,0,66,0,,
22,2015-09-26,0,17.,33.8 N,6.5,0,55,0,,
13473,2015-09-26,0,17.,293. O,1.6,0.8,59,,,
13474,2015-09-26,0,16.,40.9 N,0.6,0.2,71,0,,
18818,2015-09-26,0,17.,4 N,0.2,0,65,0,,
48293,2015-09-26,0,16.,37.7 N,7.5,0.3,61,2,,
2,2015-09-26,0,16.,308 O,1.6,0,65,0,,
24588,2015-09-26,0,16.,37.2 N,0,0,63,0,,
25413,2015-09-26,0,16.,331. NO,4.6,0,56,0,,
25447,2015-09-26,0,17.,339. NO,5.7,0,61,,,
13471,2015-09-26,0,17.,31 N,0.5,1,57,0,,
13475,2015-09-26,0,15.,59.1 NE,0.1,0,68,0,,
24509,2015-09-26,0,15.,77.3 NE,29.,0,67,0,,
24583,2015-09-26,0,15.,52.5 NE,3.6,0,65,0,,
13476,2015-09-26,0,17,20.7 N,0.8,0,53,0,,
18787,2015-09-26,0,18.,57.9 NE,5,0,56,0,,
18833,2015-09-26,0,16.,9.1 N,1.2,0,65,0,,
13467,2015-09-26,0,17.,74.2 NE,0.5,0,61,0,,
13476,2015-09-26,0,18.,27.3 N,2.5,0,49,0,0,
18787,2015-09-26,0,18.,97.9 E,5.3,0,55,0,0,
18833,2015-09-26,0,16.,350. NO,1.2,0,64,0,0,
13467,2015-09-26,0,17.,74.2 NE,0.3,0,58,0,0,
13471,2015-09-26,0,17.,46.8 NE,1.3,0.5,58,0,0,
13475,2015-09-26,0,15,60.7 NE,0.2,0,72,0,0,
24509,2015-09-26,0,15.,100. E,23.,0,67,0,0.,
24583,2015-09-26,0,16,17.7 N,6.4,0,62,0,0,
2,2015-09-26,0,16.,359. NO,2.5,0,63,0,0,
24588,2015-09-26,0,17,0.3 N,0,0,62,0,0,
25413,2015-09-26,0,15.,329. NO,3.9,0,56,0,0.,
25447,2015-09-26,0,17.,8.6 N,2.9,0,62,,0,
13473,2015-09-26,0,17.,233. SO,1.9,0.8,60,,0,
13474,2015-09-26,0,16.,64.4 NE,2.4,0.2,69,0,0,
18818,2015-09-26,0,17,11.6 N,0,0,67,0,0,
48293,2015-09-26,0,17.,29 N,6.9,0.3,60,2,0,
22581,2015-09-26,0,16.,282. O,0,0,66,0,0,
22,2015-09-26,0,17.,23.4 N,10.,0,52,0,0.,
13466,2015-09-26,0,14.,55.4 NE,7.1,1.5,68,0,0,
13472,2015-09-26,0,17.,336. NO,2.1,1,66,0,0,
25422,2015-09-26,0,13.,49.7 NE,1,0,72,0,0,
18848,2015-09-26,0,15.,47.5 NE,8.6,0,51,0,0,
22474,2015-09-26,0,18,145. SE,0,0,55,,0,
13468,2015-09-26,0,15.,2.3 N,0,0.5,64,0,0,
15977,2015-09-26,0,15.,35.6 N,5.5,0,68,,0,
22476,2015-09-26,0,11.,105. E,0.9,0,72,0,0,
22575,2015-09-26,0,16.,295. O,0.2,0,59,0,0,
24478,2015-09-26,0,17.,182. S,0,0,60,0,0,
13470,2015-09-26,0,17.,37.4 N,0,0,60,0,0,
48291,2015-09-26,0,15.,78.1 NE,7.2,0,70,,0,
24576,2015-09-26,0,15.,25.6 N,4.9,0,63,,0,
25420,2015-09-26,0,15.,335. NO,0.3,0,65,0,0,
25427,2015-09-26,0,18.,22.8 N,4.1,0,52,0,0,
22476,2015-09-26,0,11.,62.1 NE,1.7,0,70,0,,
22575,2015-09-26,0,16.,245. SO,0.4,0,60,0,,
24478,2015-09-26,0,17.,182. S,0,0,59,0,,
13470,2015-09-26,0,17.,266. SO,0,0,66,0,,
48291,2015-09-26,0,15.,83 NE,10.,0,68,,,
24576,2015-09-26,0,16.,139. SE,3.9,0,61,,,
25420,2015-09-26,0,15.,335. NO,0.3,0,66,0,,
25427,2015-09-26,0,18.,6.6 N,3,0,51,0,,
13468,2015-09-26,0,15,91.8 E,0,1,63,0,,
15977,2015-09-26,0,15.,55.9 NE,8.1,0,64,,,
13466,2015-09-26,0,14.,66.1 NE,2.6,1,71,0,,
13472,2015-09-26,0,17.,70.8 NE,0.7,1.4,59,0,,
25422,2015-09-26,0,13.,,0.9,0,69,0,,
18848,2015-09-26,0,15.,53.6 NE,6.2,0,51,0,,
22474,2015-09-26,0,18.,145. SE,0,0,54,,,
22581,2015-09-26,0,17.,12.4 N,2.7,0,61,0,,
22,2015-09-26,0,17.,53 NE,9.2,0,52,0,,
13473,2015-09-26,0,15.,200 S,1.6,0.8,66,,,
13474,2015-09-26,0,17.,72.2 NE,8.9,0.2,66,0,,
18818,2015-09-26,0,17,40.4 N,0,0,68,0,,
48293,2015-09-26,0,17.,21.4 N,6.4,0.4,59,2,,
2,2015-09-26,0,16,277. O,0.8,0,71,0,,
24588,2015-09-26,0,17.,12.5 N,0,0,58,0,,
25413,2015-09-26,0,16.,1.1 N,5.8,0,53,0,,
25447,2015-09-26,0,17.,357. NO,3,0,61,,,
13471,2015-09-26,0,17.,36 N,0.4,1,58,0,,
13475,2015-09-26,0,15.,65.7 NE,0.3,0,70,0,,
24509,2015-09-26,0,15.,85.6 NE,17.,0,65,0,,
24583,2015-09-26,0,15.,7.6 N,6.3,0,63,0,,
13476,2015-09-26,0,20.,21.5 N,4.3,0,49,0,,
18787,2015-09-26,0,19.,68.8 NE,7.2,0,53,0,,
18833,2015-09-26,0,17,342. NO,1.5,0,62,0,,
13467,2015-09-26,0,18.,81.9 NE,1.7,0,54,0,,
13476,2015-09-26,0,19.,20 N,3.1,0,47,0,,
